;;;;;;;;;;;;;x,,,,,,,,
EVTDESC44830_NEWS_MEDIUM;Emperor Maximilian has never enjoyed popular support in Mexico, and now that insurgents led by Benito Juárez have captured him it seems his reign has come to an end. Court-martialed and executed by a firing squad, the new republic was declared only days after his death.;;;;;;;;;;;;x,,,,,,
EVTDESC44830_NEWS_SHORT;Insurgents led by Benito Juárez have captured Emperor Maximilian of Mexico. Court-martialed and executed by a firing squad, the new republic was declared only days after his death.;;;;;;;;;;;;x,,,,,,,
EVTDESC44835_NEWS_MEDIUM;Porfirio Díaz, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup. Planned in secret with several military officers and announced in Oaxaca, it has installed Diaz as a military-backed dictator.;;;;;;;;;;;;x,,,,,
EVTDESC44835_NEWS_SHORT;Porfirio Díaz, General of Mexico and considered a hero by some, has overthrown the democratic government of Mexico in a military coup and been installed as a military-backed dictator.;;;;;;;;;;;;x,,,,,,
EVTNAME46610_NEWS_TITLE;Argentine Civil War Looms;;;;;;;;;;;;x,,,,,,,,
EVTDESC46610_NEWS_LONG;Argentina: General Justo José de Urquiza, the governor of Entre Rios, has turned against the Rosas government and demanded that it submit to liberal demands for a new constitution. There are hints that neighboring governments might support Urquiza, and that should he rise up in rebellion they will intervene on his behalf. President Rosas will have to determine whether he should submit or fight a civil war against Urquiza and possibly others.;;;;;;;;;;;;x,,,,,
EVTDESC46610_NEWS_MEDIUM;Argentina: General Justo José de Urquiza, the governor of Entre Rios, has turned against the Rosas government and demanded it submit to liberal demands for a new constitution. There are hints that neighboring governments might intervene on Urquiza`s behalf if he rebels.;;;;;;;;;;;;x,,,,,,
EVTDESC46610_NEWS_SHORT;Argentina: General Justo José de Urquiza, the governor of Entre Rios, has turned against the Rosas government and demanded it submit to liberal demands for a new constitution.;;;;;;;;;;;;x,,,,,,
EVTDESC46611_NEWS_MEDIUM;With Rosas unable to defeat the Entre Rios rebellion, he has been forced to flee Argentina and General Urquiza has assumed temporary control of the government. Meeting with liberals in Santa Fe, they have drawn up a new constitution and created an Argentine Republic.;;;;;;;;;;;;x,,,,,,
EVTDESC46611_NEWS_SHORT;With Rosas unable to defeat the rebellion, he has been forced to flee Argentina. General Urquiza met with liberals in Santa Fe, drawing up a new constitution to create an Argentine Republic.;;;;;;;;;;;;x,,,,,,
EVTNAME60000_NEWS_TITLE;Communists Sieze Power in $COUNTRY$!;;;;;;;;;;;;x,,,,,,,,
EVTDESC60000_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced today that the communist party would be suspending voting rights and restricting reforms ‘to combat the current crisis’. While government ministers reassured many that the measures would be temporary, it appears obvious to outsiders that this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat. Many see this as having always been the goal of the ruling $COUNTRY_ADJ$ communist party: a peaceful overthrow of the current system and the installation of true communist principles.;;;;;;;;;;;;x,,,,,,
EVTDESC60000_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights ‘to combat the current crisis’. While giving reassurances that the measures are temporary, this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat.;;;;;;;;;;;;x,,,,,,
EVTDESC60000_NEWS_SHORT;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights ‘to combat the current crisis’, transforming $COUNTRY$ into a communist dictatorship.;;;;;;;;;;;;x,,,,,,
EVTNAME60010_NEWS_TITLE;Military Coup in $COUNTRY$!;;;;;;;;;;;;x,,,,,,,,
EVTDESC60010_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights ‘to combat the current crisis’. Many see this as a coup d’etat, an overthrow of the democratic government and installation of $COUNTRY$’s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military—and they would be correct. For all intents and purposes, $COUNTRY_ADJ$ democracy is now a thing of the past.;;;;;;;;;;;;x,,,,,
EVTDESC60010_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights ‘to combat the current crisis’. Many see this as an installation of $COUNTRY$’s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military—and they would be correct.;;;;;;;;;;;;x,,,,,,,
EVTDESC60010_NEWS_SHORT;The $COUNTRY_ADJ$ leadership announced the suspension of freedoms ‘to combat the current crisis’. Many see this as an installation of $COUNTRY$’s reactionary president as sole ruler and dictator—and they would be correct.;;;;;;;;;;;;x,,,,,,,,
EVTNAME60020_NEWS_TITLE;Anarcho-Liberals Sieze Power in $COUNTRY$!;;;;;;;;;;;;x,,,,,,,,
EVTDESC60020_NEWS_LONG;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship. It's only temporary, they say, a way to combat the current crisis… though many have doubts this is true, or that $COUNTRY$ will ever be restored to true democratic rule unless the radicals are someday overthrown.;;;;;;;;;;;;x,,,
EVTDESC60020_NEWS_MEDIUM;In the interests of protecting the principles of liberty from the crushing onslaught of democracy, plebeian aristocracy and mob rule, a committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a minimal government dictatorship.;;;;;;;;;;;;x,,,,,,
EVTDESC60020_NEWS_SHORT;A committee of concerned members of the ruling radical party have seized power in $COUNTRY$ and transformed the country into a government dictatorship. A temporary measure, they say, to combat the current crisis.;;;;;;;;;;;;x,,,,,,
EVTNAME60030_NEWS_TITLE;Fascists Sieze Power in $COUNTRY$!;;;;;;;;;;;;x,,,,,,,,
EVTDESC60030_NEWS_LONG;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the fascist ruling party has transformed $COUNTRY$ from a democracy into a fascist dictatorship. Already the $COUNTRY_ADJ$ government has been reported clamping down on protests, black-shirted enforcers visible on every block in every major city. All this, according to the ruling party, will see $COUNTRY$ achieve the destiny it so richly deserves.;;;;;;;;;;;;x,,,
EVTDESC60030_NEWS_MEDIUM;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the ruling party has transformed $COUNTRY$ into a fascist dictatorship.;;;;;;;;;;;;x,,,,,,
EVTDESC60030_NEWS_SHORT;The signs are clear: with the recent expansion of the fascist party’s executive powers, $COUNTRY$ has been transformed from a democracy into a fascist dictatorship.;;;;;;;;;;;;x,,,,,,,
EVTDESC60050_NEWS_LONG;The $COUNTRY_ADJ$ dictatorship is not what it used to be. Increased pluralism, combined with extended political reforms, has led to the dictatorship more and more taking on the trappings of a democracy. While this doesn't necessarily mean that the ruling party has given up its reign on power, with the recent calling of elections this does mean that the opposition now has some chance of making its voice heard. $COUNTRY$ has become a democracy, and crowds have gathered in $CAPITAL$ to celebrate the idea that their rulers might soon be peacefully removed from power.;;;;;;;;;;;;x,,,,
EVTDESC60050_NEWS_MEDIUM;The $COUNTRY_ADJ$ dictatorship is not what it used to be. While the ruling party has not yet given up power, increased pluralism, combined with extended political reforms and the recent call for new elections, has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;;;;;;x,,,,,
EVTDESC60050_NEWS_SHORT;While the $COUNTRY_ADJ$ ruling party has not yet given up power, the recent reforms and call for new elections  has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;;;;;;x,,,,,,,
EVTNAME60060_NEWS_TITLE;The $COUNTRY_ADJ$ Constitution;;;;;;;;;;;;x,,,,,,,,
EVTDESC60060_NEWS_LONG;The political reforms enacted in the past few years have led to a situation where the absolutism of the $COUNTRY_ADJ$ monarchy can now legitimately be called into question. No longer is the $COUNTRY_ADJ$ king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power. Some question the right of the monarch to override decisions by the newly-elected government, or even refuse to accept the results of an election entirely, but the fact that elections are being permitted at all is considered a sure sign of $COUNTRY$’s democratization.;;;;;;;;;;;;x,,,,,
EVTDESC60060_NEWS_MEDIUM;The reforms enacted in the past few years have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. No longer is the king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power.;;;;;;;;;;;;x,,,,,,,
EVTDESC60060_NEWS_SHORT;Political reforms have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. The king has accepted several constitutional restrictions on his exercise of power.;;;;;;;;;;;;x,,,,,,,,
EVTNAME60070_NEWS_TITLE;Democracy in $COUNTRY$;;;;;;;;;;;;x,,,,,,,,
EVTDESC60070_NEWS_LONG;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people. The $COUNTRY_ADJ$ monarch, now serving as a symbolic head-of-state, no longer has the power to personally control and determine the fate of the nation, but is instead forced to accept the mitigating influences of pluralism and limited democracy.;;;;;;;;;;;;x,,,,,
EVTDESC60070_NEWS_MEDIUM;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people.;;;;;;;;;;;;x,,,,,,,,
EVTDESC60070_NEWS_SHORT;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a fully-democratic government responsible to the people.;;;;;;;;;;;;x,,,,,,,,
EVTNAME60080_NEWS_TITLE;$COUNTRY_ADJ$ Voting Rights Rescinded;;;;;;;;;;;;x,,,,,,,,
EVTDESC60080_NEWS_LONG;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. Where before the free exchange of opinion and ideas could be heard, from street corners and bus stops to bars and universities, now only the sounds of silence gives echo. The conclusion that is becoming ever more evident, is that the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;;;;;;x,,,,,
EVTDESC60080_NEWS_MEDIUM;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. The tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;;;;;;x,,,,,,,,
EVTDESC60080_NEWS_SHORT;According to recent reports, the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;;;;;;x,,,,,,,
EVTNAME60160_NEWS_TITLE;$COUNTRY_ADJ$ Independence!;;;;;;;;;;;;x,,,,,,,,
EVTDESC60160_NEWS_LONG;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ independence from their former rulers. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. It is a heartfelt theme that speaks of better tomorrows, and while many privately wonder whether their independence can last in these uncertain times-- perhaps war might come to $COUNTRY$ to put an end to thoughts of freedom-- that is not on anyone’s mind today.;;;;;;;;;;;;x,,,,,,
EVTDESC60160_NEWS_MEDIUM;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ independence. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ anthem. While many privately wonder whether their independence can last, that is not on anyone’s mind today.;;;;;;;;;;;;x,,,,,,
EVTDESC60160_NEWS_SHORT;Today crowds gathered in $CAPITAL$ to celebrate $COUNTRY_ADJ$ long-awaited independence. $COUNTRY_ADJ$ flags wave from every window and corner, and jubilant citizens sing the $COUNTRY_ADJ$ national anthem.;;;;;;;;;;;;x,,,,,,,
EVTDESC80110_NEWS_LONG;A diplomat from Russia arrived in $COUNTRY$ to demand a readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier-- agreed upon almost two hundred years ago. The Russians expressed desire for a southern port upon the Sea of Japan, meaning all of Haishenwai would be turned over to them. This is surely a veiled threat by the Russians, capitalizing on $COUNTRY$`s perceived weakness… but the $COUNTRY_ADJ$ government knows that, if the Russians do not get what they want, it will mean war.;;;;;;;;;;;;x,,,,
EVTDESC80110_NEWS_MEDIUM;A diplomat from Russia arrived in $COUNTRY$ to demand a readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier. The Russians expressed desire for a southern port upon the Sea of Japan, a veiled threat capitalizing on $COUNTRY$`s perceived weakness.;;;;;;;;;;;;x,,,,,,,
EVTDESC80110_NEWS_SHORT;Russia has demanded readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier, expressing desire for a southern port upon the Sea of Japan.;;;;;;;;;;;;x,,,,,,,
EVTNAME80123_NEWS_TITLE;Panthay Rebellion Victorious!;;;;;;;;;;;;x,,,,,,,,
EVTDESC80123_NEWS_LONG;A rebellion of local $COUNTRY_ADJ$ minorities against the ruling Manchu of the Qing Dynasty in the south-western Chinese province of $COUNTRY$ has been victorious. The proclaimed leader of the rebels, Du Wenxiu, we don’t want to burden our readers with the Chinese notation of his name – confirmed the negotiated peace terms with its former sovereigns. An official of the British Diplomatic Corps in Singapore wouldn’t comment on the situation but indicated that the whole $COUNTRY_ADJ$ territory will be under close observation by foreign governments.;;;;;;;;;;;;x,,,,,,
EVTDESC80123_NEWS_MEDIUM;A rebellion against the ruling Manchu in the Chinese province of $COUNTRY$ has finally succeeded as the rebel leader, Du Wenxiu, confirmed the negotiated peace terms. According to a British diplomat $COUNTRY$ will be from now on under close observation by foreign governments.;;;;;;;;;;;;x,,,,,,
EVTDESC80123_NEWS_SHORT;A rebellion in the Chinese province of $COUNTRY$ has succeeded as the rebel leader, Du Wenxiu, confirmed the peace terms. $COUNTRY$ will be under close observation by foreign governments.;;;;;;;;;;;;x,,,,,,
EVTNAME80127_NEWS_TITLE;Dungan Revolt Victorious!;;;;;;;;;;;;x,,,,,,,,
EVTDESC80127_NEWS_LONG;A local revolt of the Hui people in the Chinese province of $COUNTRY$ has been successful. The proclaimed leader of the rebels finally confirmed the negotiated peace terms. According to local bamboo traders in $CAPITAL$, a Tajik adventurer by the name of Yaqub Beg has led the rebels to seize the capital of Kashgar and has driven the local governors away. The British Diplomatic Corps in Singapore, as usual, wouldn’t comment on the situation but indicated that the whole $COUNTRY_ADJ$ territory, as usual, will be under close observation by foreign governments.;;;;;;;;;;;;x,,,
EVTDESC80127_NEWS_MEDIUM;A revolt of the Hui people in the Chinese province of $COUNTRY$ has been successful. The proclaimed leader of the rebels, Yaqub Beg, confirmed the peace terms. According to a British diplomat $COUNTRY$ will be from now on under close observation by foreign governments, as usual.;;;;;;;;;;;;x,,,,,
EVTDESC80127_NEWS_SHORT;A revolt in the Chinese province of $COUNTRY$ has been successful as the rebel leader confirmed the peace terms. $COUNTRY$ will be under close observation by foreign governments, as usual.;;;;;;;;;;;;x,,,,,,,
EVTDESC85000_NEWS_LONG;There has been increasing violence against French missionaries in Korea, recently culminating in the execution of Bishop Siméon-François Berneux-- head of the fledgling Korean Catholic Church-- and the subsequent killing of almost all priests in the country as well as thousands of Catholic Koreans. One surviving priest fled to the Qing Empire, relaying his tale to a French war vessal which then launched a punitive expedition with the support of the French consul in Peking.;;;;;;;;;;;;x,,,,,,
EVTDESC85000_NEWS_MEDIUM;There has been increasing violence against French missionaries in Korea, recently culminating in the killing of thousands of Catholic Koreans. One surviving priest relayed his tale to a French war vessal, which then launched a punitive expedition against the Koreans.;;;;;;;;;;;;x,,,,,,
EVTDESC85000_NEWS_SHORT;There has been increasing violence against French missionaries in Korea, recently culminating in the killing of thousands of Catholic Koreans.;;;;;;;;;;;;x,,,,,,,
EVTDESC85010_NEWS_LONG;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal Korean fortress. In a fury, the $COUNTRY_ADJ$ ship returned fire and then landed a party to battle the Koreans on land. After victory, they returned home-- but word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;;;;;;x,,,,
EVTDESC85010_NEWS_MEDIUM;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was fired on by a coastal Korean fortress. In a fury, the $COUNTRY_ADJ$ ship returned fire-- and word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;;;;;;x,,,,,
EVTDESC85010_NEWS_SHORT;A $COUNTRY_ADJ$ vessel, damaged by a storm, was fired on by a coastal Korean fortress. Word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;;;;;;x,,,,,,
EVTDESC85020_NEWS_LONG;With increasing frustration against government corruption and foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology. They have been stirring up the $COUNTRY_ADJ$ peasant classes, forming poorly-armed if numerous armies to purge the capital and rid the country of Japanese and other foreign presences. $COUNTRY$ will need to move quickly if they wish to prevent these rebels from overthrowing the government or causing an incident with neighbouring powers.;;;;;;;;;;;;x,,,,,,
EVTDESC85020_NEWS_MEDIUM;With increasing frustration against foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology. They have been stirring up the $COUNTRY_ADJ$ peasant classes to rid the country of Japanese and other foreign presences.;;;;;;;;;;;;x,,,,,,,
EVTDESC85020_NEWS_SHORT;With increasing frustration against foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology.;;;;;;;;;;;;x,,,,,,,
EVTDESC85028_NEWS_LONG;Responding to rumors of $COUNTRY$’s intended intervention in Korea, $FROMCOUNTRY_ADJ$ forces entered Seoul and captured the Korean Imperial Palace in a swift coup. A pro-Japanese government has been installed, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal, with orders to end any agreements and alliances with $COUNTRY$ and ban $COUNTRY_ADJ$ forces from entering their nation. $COUNTRY_ADJ$ forces are massing on the border, possibly indicating war to come.;;;;;;;;;;;;x,,,,
EVTDESC85028_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ forces recently entered Seoul and captured the Korean Imperial Palace in a swift coup, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal, with orders to end any agreements and alliances with $COUNTRY$ and ban $COUNTRY_ADJ$ forces from entering their nation.;;;;;;;;;;;;x,,,,,,
EVTDESC85028_NEWS_SHORT;$FROMCOUNTRY_ADJ$ forces entered Seoul and captured the Korean Imperial Palace in a swift coup, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal.;;;;;;;;;;;;x,,,,,,,
EVTNAME90016_NEWS_TITLE;$COUNTRY_ADJ$ Heir Assassinated!;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90016_NEWS_LONG;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ and one of the most prominent members of $COUNTRY_ADJ$ aristocracy, has been murdered by a Serbian assassin, a member of a group of nationalists who seek to rejoin with the Serbian nation. Interviews with $COUNTRY_ADJ$ authorities revealed that there are definite suspicions that the Serbian government has been secretly helping these nationalists and is behind the event. A war with Serbia now does seem rather likely.;;;;;;;;;;;;;x,,,,,
EVTDESC90016_NEWS_MEDIUM;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ has been assassinated by a member of a group of Serbian nationalists who seek to rejoin with the Serbian nation. There are suspicions that the Serbian government is behind this plot and a war with Serbia does seem likely.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90016_NEWS_SHORT;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ has been assassinated by a member of a Serbian nationalist group seeking to rejoin with the Serbian nation. Suspicions are that the Serbian government is behind this plot and a war with Serbia does seem likely.;;;;;;;;;;;;;x,,,,,,,
EVTNAME90017_NEWS_TITLE;The Hungarian Question;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90017_NEWS_LONG;Many nations in the world have at least one minority group that claim their own cultural or national heritage. In these changing times some merely seek more political autonomy, whilst others want full-scale independence ? even through violent means. With the recent unrest in Hungarian lands, the local Hungarian government has now demanded greater autonomy from $COUNTRY_ADJ$ rule. One has to ask if a nation like $COUNTRY$ should truly become so bitterly divided between its ethnic groups that only a formal division can bring an end to its inner conflicts? ;;;;;;;;;;;;;x,,,,,,
EVTDESC90017_NEWS_MEDIUM;Cultural minority groups increasingly want political autonomy or full-scale independence ? even through violent means. The local Hungarian government now has demanded greater autonomy from $COUNTRY_ADJ$ rule. Should $COUNTRY$ truly become divided between its ethnic groups?;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90017_NEWS_SHORT;Cultural minority groups increasingly want political autonomy or even full-scale independence. The local Hungarian government now has demanded greater autonomy from $COUNTRY_ADJ$ rule.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90038_NEWS_LONG;According to reports, the French government has been approached by a Sardinian envoy-- the Count of Cavour-- who has made an interesting proposal: an alliance to make war against Austria, gaining Sardinia the Austrian-held provinces of Lombardy and paving the way for Italian unification. In exchange, Sardinia would hand over Savoy and Nice to France.;;;;;;;;;;;;;x,,,,,
EVTDESC90038_NEWS_MEDIUM;According to reports, the French government has been approached by a Sardinian envoy-- the Count of Cavour-- who has made an interesting proposal: an alliance to make war against Austria, gaining Sardinia the Austrian-held provinces of Lombardy and paving the way for Italian unification.;;;;;;;;;;;;;x,,,,,,
EVTDESC90038_NEWS_SHORT;According to reports, the French government has been approached by a Sardinian envoy-- the Count of Cavour-- who has made an interesting proposal: an alliance to make war against Austria.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90053_NEWS_MEDIUM;King Frederick VII has died and left no heir. According to the recently-drafted constitution, the crowns of both Denmark and Schleswig would pass to his heir—but the crown of Holstein does not. If the new consitution is signed, Schleswig-Holstein will be officially divided.;;;;;;;;;;;;;x,,,,,,
EVTDESC90053_NEWS_SHORT;King Frederick VII of Denmark has died and left no heir. According to the recently-drafted constitution, the crown of Schleswig would pass to his heir—but not that of Holstein.;;;;;;;;;;;;;x,,,,,,,
EVTNAME90054_NEWS_TITLE;Holstein Rebels!;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90054_NEWS_LONG;The duchies of Schleswig and Holstein have long been united and considered indivisible under the Danish crown, but a question of royal claim to the duchies combined with the Holsteinian desire to join in the larger German Confederation to the south has led to considerable difficulty for King Frederick VII. After a plan was announced to incorporate Schleswig into Denmark proper, German aristocrats in Holstein declared their intention to pursue a future with the German Confederation to the south-- and that Schleswig is an indivisible part of their territory.;;;;;;;;;;;;;x,,,,,,
EVTDESC90054_NEWS_MEDIUM;After a plan was announced to incorporate the Duchy of Schleswig into Denmark proper, German aristocrats in Holstein declared their intention to pursue a future with the German Confederation to the south-- and that Schleswig is an indivisible part of their territory.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90054_NEWS_SHORT;After a plan was announced to incorporate Schleswig into Denmark proper, aristocrats in Holstein have rebelled and declared their intention to join with the German Confederation to the south.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90055_NEWS_LONG;The question of Schleswig-Holstein's place within the German Confederation has now finally been resolved-- in $COUNTRY$’s favor. This will have larger repercussions, as the free German states will see that $COUNTRY$ has become the true leader of the confederation… and not Austria to the south. Some fear this will start a war as Austria and $COUNTRY$ vie for dominance.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90055_NEWS_MEDIUM;The question of Schleswig-Holstein's place within the German Confederation has now finally been resolved-- in $COUNTRY$’s favor. This will have larger repercussions, as the free German states will see that $COUNTRY$ has become the true leader of the confederation.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90055_NEWS_SHORT;The question of Schleswig-Holstein's place within the German Confederation has now finally been resolved-- in $COUNTRY$’s favor. $COUNTRY$ has become the true leader of the confederation.;;;;;;;;;;;;;x,,,,,,,,
EVTNAME90065_NEWS_TITLE;The Congress of $CAPITAL$;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90065_NEWS_MEDIUM;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans. While there was much contention," ultimately it was decided that the Ottoman Empire needed to be kept strong, and any demands placed on it should not weaken its interests unduly.;;;;;;;;;;;;;x",,,,,,,
EVTDESC90065_NEWS_SHORT;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans. Ultimately it was decided that the Ottoman Empire needed to be kept strong.;;;;;;;;;;;;;x,,,,,,,,
EVTDESC90066_NEWS_MEDIUM;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans. While there was much contention, ultimately it was decided that creating stability in the region was best even if it came at the expense of the Empire's power.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90066_NEWS_SHORT;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans, deciding that stability was best even if it came at the expense of the Ottoman Empire's power.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90076_NEWS_LONG;Egypt has been effectively independent of the Ottoman Empire for some time. Now that independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance once and for all or admit their power is little more than an illusion. There are those who feel that a peaceful solution is possible, and that the Egyptians might better serve as powerful allies than as implacable enemies, but that would require the Ottomans to surrender their claim to the Levant as well as be an affront to Ottoman pride.;;;;;;;;;;;;;x,,,,,
EVTDESC90076_NEWS_MEDIUM;Egypt has been effectively independent of the Ottoman Empire for some time. Now that independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance or admit their power is little more than an illusion.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90076_NEWS_SHORT;Egyptian independence has become all too apparent, and Ottoman mastery over the Orient is threatened. The Ottomans must either assert their dominance or admit their power is an illusion.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90080_NEWS_LONG;The Turks have proven unable to retake the Levant from Egypt since the first outbreak of war many years ago, despite all the assistance they received from the rest of Europe. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians, and that the 'Sick Man of Europe' has no claim over it.;;;;;;;;;;;;;x,,,,,,
EVTDESC90080_NEWS_MEDIUM;The Turks have proven unable to retake the Levant from Egypt, despite all the assistance they received from the rest of Europe. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians, and that the 'Sick Man of Europe' has no claim over it.;;;;;;;;;;;;;x,,,,,,
EVTDESC90080_NEWS_SHORT;The Turks have proven unable to retake the Levant, despite all the assistance they received. Even the great powers of the world now admit that the Levant rightfully belongs to the Egyptians.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90088_NEWS_LONG;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them. They have offered to abide by the original Convention of London and return both Crete and the majority of the Levant to Ottoman control—while leaving them nominally independent and Muhammad Ali as Egypt`s ruler. Should the Empire refuse this offer, it`s likely the rest of Europe will turn against it.;;;;;;;;;;;;;x,,,,,,
EVTDESC90088_NEWS_MEDIUM;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them. They have offered to abide by the original Convention of London and return both Crete and the majority of the Levant to Ottoman control.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90088_NEWS_SHORT;The Egyptians have raised the white flag, clearly unable to resist the combined forces of the Ottomans and the European powers supporting them.;;;;;;;;;;;;;x,,,,,,,
EVTDESC90115_NEWS_LONG;A riot by Cuban Spanish loyalists recently broke out in Havana. The battleship USS Maine was sent to Havana in response to fears expressed by the American consulate that Americans in Cuba might be endangered. Not long after arriving, the Maine was rocked by an explosion, killing 268 of the crew and sinking the ship in the harbour. American newspapers have leapt on the event, painting pictures of Spanish atrocities which have whipped up the public into a rage. People are calling for war against Spain and intervention in Cuba.;;;;;;;;;;;;;x,,,,,
