#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
build_maximilianstrasse_desc;The neo-Renaissance Maximilianstraße in Munich is one of the city's four royal avenues. It starts at Max-Joseph-Platz, where the Residenz and the National Theatre are situated, and runs from west to east. Principal was king Maximilian II of Bavaria, who started the project in 1850, the avenue is named for his honour. Leading architect was Friedrich Bürklein. With this project, the king also aimed to 'invent' a new architectural style which would combine the best features of historical models combined with then modern building technology. The avenue is framed by mostly neo-Gothic buildings influenced by the English Perpendicular style. With its palaces, monuments and hotels, the Maximilianstraße became one of the most attractive streets in Germany and Europe.;;;;;;;;;;;;x;
build_museum_title;An Archaeological Museum;;;;;;;;;;;;x;
build_museum_desc;Now that we have excavation rights for our expedition, we should establish a museum in our capital for our artefacts.;;;;;;;;;;;;x;
early_archaeology;Early Archaeology;;;;;;;;;;;;x;
early_archaeology_desc;Archaeology is the study of human activity, primarily through the recovery and analysis of the material culture and environmental data that they have left behind, which includes artifacts, architecture, biofacts and cultural landscapes (the archaeological record). Study of human antiquity date back in the days of the Renaissance, but in the 19th century, Archaeology evolved to a real science. Archaeologists began to investigate various areas around the world, with the study of ancient Aegean civilization being stimulated by the excavations of Heinrich Schliemann at Troy, and of Arthur Evans at Crete, whilst John Lloyd Stephens was a pivotal figure in the rediscovery of Maya civilization throughout Central America. However, the methodologies employed by these archaeologists were highly flawed by the standards of the 20th century.;;;;;;;;;;;;x;
modern_archaeology;Modern Archaeology;;;;;;;;;;;;x;
modern_archaeology_desc;Further advancements in archaeological field methodology arose in the late 19th century. One of the pioneering figures in this was Augustus Pitt Rivers, who meticulously excavated on Cranborne Chase in southern England, emphasising that it was not only items of beauty or value that should be recorded but mundane items as well. He therefore helped to differentiate archaeology from antiquarianism. Flinders Petrie introduced systematic methodology in archaeology and preservation of artifacts. Archaeologists - once nothing more than tomb raiders - became reputable scientists.;;;;;;;;;;;;x;
maya_excavations_title;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
maya_excavations_desc;When the Panama Canal was planned, several expeditions were send in the regions of Central America. The inhabitants of the large jungles of Yucatan narrate stories of old cities and treasures. Adventurers and tomb raiders crossed this area and found ruins or steles. What precious items and artefact may rest in the depth of the nature? We should outfit an expedition and search for some new artefacts - only in the name of science, naturally!;;;;;;;;;;;;x;
inca_excavations_title;The Golden Andes;;;;;;;;;;;;x;
inca_excavations_desc;The discovery of Machu Picchu has generated newly interest in affairs considering an archeological expedition in the Andes Mountains. The legendary tales of hidden cities, vast gold treasures and valuable artefacts are only an illusion, and an X never, ever marks the spot. But now, that Archaeology has become a high regarded science, we should send some experts to broaden our mind.;;;;;;;;;;;;x;
forced_maya_excavations_title;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
forced_maya_excavations_desc;When the Panama Canal was planned, several expeditions were send in the regions of Central America. The inhabitants of the large jungles of Yucatan narrate stories of old cities and treasures. Adventurers and tomb raiders crossed this area and found ruins or steles. What precious items and artefact may rest in the depth of the nature? We should outfit an expedition and search for some new artefacts - only in the name of science, naturally! And since we control this region, we can outfit an expedition immediately;;;;;;;;;;;x;
forced_inca_excavations_title;The Golden Andes;;;;;;;;;;;;x;
forced_inca_excavations_desc;The discovery of Machu Picchu has generated newly interest in affairs considering an archeological expedition in the Andes Mountains. The legendary tales of hidden cities, vast gold treasures and valuable artefacts are only an illusion, and an X never, ever marks the spot. But now, that Archaeology has become a high regarded science, we should send some experts to broaden our mind. Since we controll this region, we can begin directly.;;;;;;;;;;;;x;
maya_excavations;The Forgotten Cities of Yucatan;;;;;;;;;;;;x;
inca_excavations;The Gold of the Inca;;;;;;;;;;;;x;
forced_maya_excavations;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
forced_inca_excavations;The Golden Andes;;;;;;;;;;;;x;
EVTNAME201000;The Mysterious Lands of Guatemala;;;;;;;;;;;;x;
EVTDESC201000;When the Panama Canal was planned, several expeditions were sent into the regions of Central America. The inhabitants of the large jungles of Yucatan narrate stories of old cities and treasures. Adventurers and tomb raiders crossed and explored these remote areas and found ruins or steles. This news maybe interesting for $COUNTRY_ADJ$ Archaeologists.;;;;;;;;;;;;x;
EVT201000OPTA;Marcus, give me my bullwhip!;;;;;;;;;;;;x
EVTNAME201002;The Gold of the Inca;;;;;;;;;;;;x;
EVTDESC201002;The discovery of Machu Picchu has generated newly interest in affairs considering an archeological expedition in the Andes Mountains. The legendary tales of hidden cities, vast gold treasures and valuable artefacts are only an illusion, and an X never, ever marks the spot. However, prominent archaeologists advise, that it could be in our national interest to examine the things in the Andes carefully...;;;;;;;;;;;;x;
EVTOPT201002;It's time to fetch my fedora again!;;;;;;;;;;;;x;
EVTOPT201003OPTA;Odd people. What is so interesting about some stones in the jungle?;;;;;;;;;;;;x;
EVTOPT201003OPTB;That's our jungle!;;;;;;;;;;;;x;
EVTOPTSPLENDID;Splendid.;;;;;;;;;;;;x;
EVT201005OPTA;But I've bought this fine leather jacket!;;;;;;;;;;;;x;
EVT201005OPTB;Bribe them! Nobody interfers with my adventure!;;;;;;;;;;;;x;
EVT201006OPT;We are convinced. They shall have access.;;;;;;;;;;;;x;
EVT201007OPTA;They shall have access to our mountains, if they pay.;;;;;;;;;;;;x;
EVT201007OPTB;Our mountains, our heritage!;;;;;;;;;;;;x;
EVT201008OPT;Bye, Junior, I've got something to do...;;;;;;;;;;;;x;
EVT201009OPT;Bah, I don't even like climbing...;;;;;;;;;;;;x;
EVT201038OPTA;Showcase our splendor to the world!;;;;;;;;;;;;x;
EVT201038OPTB;Showcase our superiority to the world!;;;;;;;;;;;;x;
mesopotamian_excavations;The Cradle of Civilization;;;;;;;;;;;;x;
mesopotamian_excavations_title;The Cradle of Civilization;;;;;;;;;;;;x;
mesopotamian_excavations_desc;Mesopotamia, the lands of Babylonia, Akkadia and Assyria, are still a notable area for archaeological discoveries. Instead of the old methods of tomb raiding, or the largely nonprofessional excavations in Egypt, it is time for a modern expedition, with new methods and scientific standards.;;;;;;;;;;;;x;
forced_mesopotamian_excavations_title;The Cradle of Civilization;;;;;;;;;;;;x;
forced_mesopotamian_excavations_desc;Mesopotamia, the lands of Babylonia, Akkadia and Assyria, are still a notable area for archaeological discoveries. Instead of the old methods of tomb raiding, or the largely nonprofessional excavations in Egypt, it is time for a modern expedition, with new methods and scientific standards.;;;;;;;;;;;;x;
local_excavations;Local excavations;;;;;;;;;;;;x;
local_excavations_desc;Local excavations are held to train our archaeologists.;;;;;;;;;;;;x;
EVTNAME201020;Hidden Chamber Discovered;;;;;;;;;;;;x;
EVTDESC201020;Our archaeologists in Egypt have discovered a tomb, while at first the tomb was seemingly completely plundered by tomb raiders. Thanks to the diligence of $COUNTRY_ADJ$ archaeologists, the expedition managed to discover a hidden chamber behind a false wall - full with ancient artefacts.;;;;;;;;;;;;x;
EVTNAME201003;$FROMCOUNTRY_ADJ$ Archaeological Expedition;;;;;;;;;;;;x;
EVTDESC201003;A foreign power has asked for access to the jungle region of Yucatan.An expedition of archaeologists, lead by representative of the National $FROMCOUNTRY_ADJ$ Museum has arrived in $COUNTRY$. They are offering a substantial sum to be granted access to explore and document the old ruins.;;;;;;;;;;;;x;
EVTNAME201004;$FROMCOUNTRY$ gives access;;;;;;;;;;;;x;
EVTDESC201004;The government of $FROMCOUNTRY$ has decided to give full access regarding our expedition in the jungle of Yucatan. Our researches can begin.;;;;;;;;;;;;x;
EVTNAME201005;$FROMCOUNTRY$ denies access;;;;;;;;;;;;x;
EVTDESC201005;Unfortunately, $FROMCOUNTRY$ has refused to give us access to the jungle of Yucatan. That was an official statement of the $FROMCOUNTRY_ADJ$ Minister of foreign affairs. Nevertheless, there may be still a chance to get a permission. Our diplomats were able to talk with some deputies, who would talk with the $FROMCOUNTRY_ADJ$ head of state. But without bribing and a share of our research findings, it will be impossible to convince him. And if we succeed, we will be viewed as dishonest in the archaeological and international scene.;;;;;;;;;;;;x;
EVTNAME201006;Presents from $FROMCOUNTRY$;;;;;;;;;;;;x;
EVTDESC201006;$FROMCOUNTRY_ADJ$ diplomats made an offer that we can refuse. They are willing to pay the fivefold price, and will us give even more access to their examination. However, we will be seen as a corrupt country in the archaeological scene.;;;;;;;;;;;;x;
EVTNAME201007;$FROMCOUNTRY_ADJ$ Archaeological Expedition;;;;;;;;;;;;x;
EVTDESC201007;A foreign power has asked for access to the Andes Mountains. An expedition of archaeologists, lead by representative of the National $FROMCOUNTRY_ADJ$ Museum has arrived in $COUNTRY$. They are offering a substantial sum to be granted access to explore and document the old ruins.;;;;;;;;;;;;x;
EVTNAME201008;$FROMCOUNTRY$ gives access;;;;;;;;;;;;x;
EVTDESC201008;The government of $FROMCOUNTRY$ has decided to give full access regarding our expedition. Our researches can begin.;;;;;;;;;;;;x;
EVTNAME201009;$FROMCOUNTRY$ denies access;;;;;;;;;;;;x;
EVTDESC201009;Unfortunately, $FROMCOUNTRY$ has refused to give us access to the Andes.;;;;;;;;;;;;x;
EVTNAME201010;$FROMCOUNTRY_ADJ$ Archaeological Expedition;;;;;;;;;;;;x;
EVTDESC201010;A foreign power has asked for access to the old ruins of Mesopotamia. An expedition of archaeologists, lead by representative of the National $FROMCOUNTRY_ADJ$ Museum has arrived in $COUNTRY$. They are offering a substantial sum to be granted access to explore and document the old ruins.;;;;;;;;;;;;x;
EVTNAME201011;$FROMCOUNTRY$ gives access;;;;;;;;;;;;x;
EVTDESC201011;The government of $FROMCOUNTRY$ has decided to give full access regarding our expedition in the region of Mesopotamia. Our exploration and research can begin.;;;;;;;;;;;;x;
EVTNAME201012;$FROMCOUNTRY$ denies access;;;;;;;;;;;;x;
EVTDESC201012;The $FROMCOUNTRY_ADJ$ have refused to grant our explorers and archaeologists access to their country. This is a major setback to our archaeological ambitions.;;;;;;;;;;;;x;
EVTNAME201013;Archaeological exhibition;;;;;;;;;;;;x;
EVTDESC201013;$COUNTRY$ has become a leading nation in the field of Archaeology. Excavations are held in many exotic places, and our National Museum in $CAPITAL$ has become a major place of archaeological artefacts. A high regarded exhibition is held this week, to celebrate our newly made researchs in Africa, Asia and Southern America.  In fact, $COUNTRY_ADJ$ archaeologists are highly regarded in the world. Precious artefacts, amazing sarcophagues and ancient steles or sculptures are exposed by them on this occasion. People of our nation, neighbours, and even other great powers are guests. Our efforts cause recognition, pride and envy.;;;;;;;;;;;;x;
EVTNAME201014;Archaeological exhibition;;;;;;;;;;;;x;
EVTDESC201014;In $FROMCOUNTRY$, a major archaeological exhibition is held. Finest artefacts and spectacular items are exposed, and it seems, that it becomes a worldwide event. Our own scientists are ashamed.;;;;;;;;;;;;x;
EVTNAME201015;$COUNTRY$, a backward country?;;;;;;;;;;;;x;
EVTDESC201015;The last archaeological exhibition was not without it side effects. We were mocked as 'backward scientists'. Without excavations and expeditions, our prestige has suffered in the international scene. To make things worse: we lack even the basics of archaeological science. If we want to catch up, we must better our methods and educate a new generation of scientists. But without practice, we won't get further. As we can't get access to the exotic places of this world, a commission has proposed to gain experience in a local excavation. If we have an organized and professional troop of archaeologists, we may have more chances in the future.;;;;;;;;;;;;x;
EVTNAME201017;Local excavation;;;;;;;;;;;;x;
EVTDESC201017;It seems, that after years of practising and studying, our scientists have found an interesting place, which was mostly neglected in the past. After weeks of work, we have managed to find old tombs of a prehistoric times. Our archaeologists have gained experience and are looking forward. It seems, that we have started our own archaeological project.;;;;;;;;;;;;x;
EVTNAME201018;Archaeological society;;;;;;;;;;;;x;
EVTDESC201018;Modern science is on the rise. $COUNTRY$, a high regarded nation of historians, philologues and archaeologists, is well-known for its researches. The $COUNTRY_ADJ$ Archaeological Institute was founded today as an association of these groups to make our efforts even more effective.;;;;;;;;;;;;x;
EVTNAME201019;A famous Archaeologist;;;;;;;;;;;;x;
EVTDESC201019;A member of our Archaeological society has become a leading expert with worldwide reputation and many successful excavations all around the world. He introduced new methods and wrote a guide for future generations. He is seen as the most talented man in this field, and $COUNTRY$ is proud of his famous son.;;;;;;;;;;;;x;
EVTNAME201021;An old stele;;;;;;;;;;;;x;
EVTDESC201021;Deep in the jungle, our archaeologists have found an old stele of the classical period. This artefact is not only a wonderful piece of art, but will give us new insight in the ancient world of the Mayas.;;;;;;;;;;;;x;
EVTNAME201022;Mysterious Maya Pyramid;;;;;;;;;;;;x;
EVTDESC201022;Haze lays above the forests and hills of Yucatan. The mist clears up, as our expedition keeps going through the wild and awkward jungle. Jaguars and other ferocious beasts are living in this unspoiled nature. Savages has hunted a group of our team and injured many. They were doomed. Others were infected by Malaria, victims of the feared and bloodthirsty Mosquitos. Only a little grouplet of three persons has survived the exertions. The leader, a man with three-day stubble and a bull-whip in his hand, gives a sign to rest for a while. Steles and rocks with engravings. The whole territory is marked by them. The archaeologist's eyes flit over stairs, destroyed and mossy. The ancient ruin of a Maya pyramid. He pricks up his ears, as one of the heavers raises his hand and shouts: 'Hombre, I think I found the entrance!';;;;;;;;;;;;x;
EVTDESC201023;Our expedition has found an ancient Maya Pyramid in the middle of the jungle of Yucatan. And even more, our chief-archaeologist, René Emile Belloq, was able to get a holy idol, which was coincidentally in the hand of a fedora-wearing american archaeologist. Unfortunately, this poor man was slained by savages of the local Hovito tribe, as Belloq affirms. Now, this wonderful idol will be our new tourist attraction in the Mesoamerican section of the Louvre!;;;;;;;;;;;;x;
EVTNAME201025;Expedition members eaten by Dinosaurs?;;;;;;;;;;;;x;
EVTDESC201025;The members of our last expedition in the unexplored jungles of Yucatan have returned without success. The survivors, emaciated, pale and littered with scars, have lost even their equipment and are happy that they were able to return. But the director of the Archaeological Museum rose his eyebrows, when they were forced to tell, what happened to the other team members, the heavers and the equipment. The leading archaeologists shouted like a maniac, made wild gesticulations and told, that they were lost in a hidden valley, in the middle of the jungle, unknown to anyone. In this valley, prehistoric animals like dinosaurs and other extinct creatures lived and attacked the expedition. He continued his fantastic story, becoming even more exaggerated, and was finally brought in a sanatory. We don't know what happened, but this man has clearly lost his mind. Now we must start from the scratch. ;;;;;;;;;;;;x;
EVTNAME201026;El Mirador discovered;;;;;;;;;;;;x;
EVTDESC201026;Ruins in the jungle as far as the eye can reach. These remains are old - very old, as our archaeologists affirm. This huge city is one of the biggest places ever found in Yucatan, and it dates back to pre-classical times. El Mirador, one of the oldest and greatest settlements of the Mayan culture, was rediscovered by $COUNTRY_ADJ$ archaeologists.;;;;;;;;;;;;x;
EVTNAME201027;A Mayan Riddle;;;;;;;;;;;;x;
EVTDESC201027;Footsteps resound in the hall. Light is rare, only a torch illuminates engraved walls. Silence. You go farther, through a corridor. Observing the plates on the ground, the roots of enormous trees, which break through the collapsed ceiling. An amazing place. You take a breath. A breath of history, which floatens this atmosphere. Then, after minutes of walking through mossy corridors, you find a monumental gate, decorated with faces and hieroglyphs. A short view in your book later, you are able to read what the Mayas wrote centuries ago on this wall. It's a riddle: 'The farmer needs it/ the capitalist loves it/ and builds even factories/ but you hate it./ If you stockpile the/ most useless good in/ the world you will/ uncover the truth.';;;;;;;;;;;;x;
EVTNAME201028;The Idol;;;;;;;;;;;;x;
EVTDESC201028;You fetch your bag with fertilizer. (Every $COUNTRY_ADJ$ archaeologist has his bag with fertilizer with him, as everyone knows, because of the famous $COUNTRY_ADJ$ Fertilizer Decree, which enforces every archaeologist to take a bag of fertilizer with him, because nobody in the world wants to buy it and $COUNTRY$ searches ways to get rid of it.) In front of you stands an altar. Gold sparkles in the glimming light. An Mayan idol. A sceptical look to it. A look to the bag. You weigh the bag in your hand, estimating the weight of the idol. Fertilizer runs out of the bag. It is now lightier. You are waiting for the moment, staring at the idol, the bag with fertilizer in the left hand, your right hand on the head of the artefact.;;;;;;;;;;;;x;
EVTNAME201029;It's a trap!;;;;;;;;;;;;x;
EVTDESC201029;You are able to replace the idol. The bag of fertilizer lays on the altar. You look in the face of the strange idol, enjoying the beauty of Mayan art. Savouring this moment, only for a little while. Noises. Brutal, loud noises interrupt the scene. You look upward. Something has changed. The muffled noise becomes louder. Something is rolling. Something big. Very big. A gigantic stoneball!;;;;;;;;;;;;x;
EVTDESC201030;You escape through the corridors, the idol in your right hand, but the trap is triggered. A gigantic stoneball is rolling right behind you!;;;;;;;;;;;;x;
EVTNAME201031;An evil Frenchman;;;;;;;;;;;;x;
EVTDESC201031;With a last jump you are able to reach the exit of the pyramid, landing in the grass of the jungle - and cornered by mesoamerican Indios. A voice with a soft french accent sounds in the near. A man in white clothes looks at you, amused by your escape. 'It is nice to meet you. But I think, this artefact should be in better hands than yours.' You are forced to surrender, as the heavers were killed by the tribe. 'Too bad the Hovitos don't know you the way I do' is your only response. Your are able to flee - but without the idol.;;;;;;;;;;;;x;
EVTNAME201032;Leaving the Pyramid;;;;;;;;;;;;x;
EVTDESC201032;On your way out of the pyramid, you clatch at a root in the ceiling. The idol in the left, the root in the right, the stoneball rolls under your shoes, through the corridor, and crushs in the jungle. You slump down, following the devastation. As you reach the exit, you see smashed bodies of Indios, scattered spears and weapons. It seems, that someone prepared an ambush, which was dissolved by the huge ball. Not sure, what happened here, but now, that the expedition was a full success, it is time to return to $CAPITAL$!;;;;;;;;;;;;x;
EVTNAME201033;An archive of cuneiform tablets;;;;;;;;;;;;x;
EVTDESC201033;Clay tablets were used as writing medium in the ancient middle east. Imprinted cuneiform characters can give us a whole new viewing of the old times of Babylonia. Satisfyingly, our archaeologists have found a whole archive of old tablets on their last expedition. They believe, that this archive was part of a large palace of an unknown ruler.;;;;;;;;;;;;x;
EVTNAME201034;Sumerian palace found;;;;;;;;;;;;x;
EVTDESC201034;Today is an exceptional day for the $COUNTRY_ADJ$ archaeology. After months of researchs and excavations, our team has found an old palace, dating back to sumerian times. Our archaeologists estimate, that this structures are over 5000 years old!;;;;;;;;;;;;x;
EVTNAME201035;Mesopotamian expedition failed;;;;;;;;;;;;x;
EVTDESC201035;The archaeological team in Mesopotamia is in a bad crisis. It seems, that the place of research was miscalculated by the chief-archaeologists. In fact, they have searched for month at the false place, finding nothing and remaining only with dirt in their hands. That is a heavy setback for the $COUNTRY_ADJ$ archaeology.;;;;;;;;;;;;x;
EVTNAME201036;The Tower of Babel;;;;;;;;;;;;x;
EVTDESC201036;Scientific research and aerial photos leave no doubt: Babylon, once a myth and known in the west only as a decadent city mentioned in the bible, is now a well known place of modern archaeology. The Hanging Gardens of Semiramis and a large palace were found and carefully examined. Archivs full of clay tablets were translated. But the most prestigious trove was the discovery by an $COUNTRY_ADJ$ archaeologist, who confirmed that even the legendary Tower of Babel is not a fable, but has historical roots. A large building was found, believed as the example for the story in the bible. ;;;;;;;;;;;;x;
inca_excavations_interrupted;Contact to expedition lost;;;;;;;;;;;;x;
inca_excavations_interrupted_desc;The communication between our expedition in Peru and our archaeological society is interupted. Until the war goes on, our enemies will try to disturb every information exchange.;;;;;;;;;;;;x;
EVTNAME201040;Preparations;;;;;;;;;;;;x;
EVTDESC201040;The Andes are rough and dangerous. Our archaeologists should be well equipped before we send them in the mountains. A list of goods was made, which the expedition demands. We should prepare 1 airplane, 1 off-road vehicle, 2 units of canned food and 3 barrels of fuel.;;;;;;;;;;;;x;
EVTNAME201041;The expedition begins;;;;;;;;;;;;x;
EVTDESC201041;The Peruvian sun scorches our skin. We have left Cusco one week ago, entering the endless lands of mountains. The majesty of the Andes is overwhelming, and the ravines deep like the gorges of hell. Henry, my fellow student from twenty years ago, has joined this journey to undiscovered lands. His nose and eyes are deepened in a book. 'So, this was the way they took?', he asks en passant. 'No wonder they got lost.' My only response is a nod. Henry is an experienced archaeologist, a high regarded personality. Unlike me, he was able to climb the career ladder. They say, that he would be able to find Alexander's tomb in a second, only wandering in it's near - when others dug for centuries, only excavating some old chicken bones. 'The aeroplane is ready', I mention, wiping the sweat from my eyebrows. It's the moment, when Henry puts his book away. 'Aeroplane?', sounds his voice sceptically, 'I don't like them. You know, I get sick in these darn machines. What about the car the government offered us?';;;;;;;;;;;;x;
EVTNAME201042;An old bridge;;;;;;;;;;;;x;
EVTDESC201042;I follow Henry's advice. I'm the official leader of this expedition, but I know Henry's aversion against these new technologies. When we began with our studies at the university, our professors put us for days in dirty holes, only equipped with a rusty shovel and outdated instruments. Now, everything has changed. The methods, the equipment. Even a car. 'That's a fine kind of travelling', Henry says, leaning in the cushioned seat beside me, viewing the panorama. Maybe I must correct myself - some technologies seem to please even Henry. But than, we are forced to make a stop. A river cuts the hills in front of us, and only an old bridge connects both sides. It is obvious that we can't go on the other side with our vehicle. The bridge seems in a bad condition, only made of ragged ropes. I look in Henry's direction. 'And now? What shall we do?';;;;;;;;;;;;x;
EVTNAME201043;Crossing the bridge;;;;;;;;;;;;x;
EVTDESC201043;"The ropes make noises, as we have decided to left the car behind and cross the bridge. We have shouldered our equipment. We make one step after another, looking only forward. The noises become louder. 'Maybe that was not the the best idea', I suggest. Henry doesn't give an answer. His hands are trembling. His hands staring to the ropes. 'The ropes! The ropes are ripping - go back, before the whole bridge collapses!"" But his warnings are to late. It seems, that we have overloaded the old bridge, tearing the ropes in pieces. Yelling and cryings later, clutching the salvaging ropes with both hands, we dangle above the abyss, seeing our equipment falling in the depth of Andean valleys. We are save, hanging at the clip, but lost our equipment. An idea comes to our mind: this bridge was an Incan trap. And without our provisions we are forced to give up.";;;;;;;;;;;;x;
EVTNAME201044;Lost in the mountains;;;;;;;;;;;;x;
EVTDESC201044;Taking the vehicle wasn't the best thing we could do. Now, that we have been for days in the Andes, we realize that the steep and inhospitable mountains are not made for such a technology. There are no more streets we can take, and we are running out of fuel. Even our provisions are used up.;;;;;;;;;;;;x;
EVTNAME201045;Peruvian Sky;;;;;;;;;;;;x;
EVTDESC201045;It was not easy to persuade Henry, but after hours of discussion he indulges. We take the 'Atalanta', an aircraft which the government provided us. After the take-off, Henry takes his diary, searching the bookmark in it. 'Manco Capac', he notes. 'The $COUNTRY_ADJ$ state is searching for his remains? I didn't know that there are such optimists in the government.' His voice has turned in a sarcastical mood. Henry searched the last five years for a sign of the legends associated with Manco Capac. Manco Capac, the last glorious King of the Incas. He fought the Spanish in a rebellion. He moved from Cusco to Vilcabamba and made the latter city his new capital. The last capital of the free Incan people. The discovery of Machu Picchu made many archaeologists believe, that there could be more historical sides nearby. 'You should fly lower', Henry proposed, ' we can't see anything.' 'But there is fog, and the mountains are clouded. It is too risky', I reply. But Henry is not convinced: 'And what happens, if we overlook something?';;;;;;;;;;;;x;
EVTNAME201046;The crash;;;;;;;;;;;;x;
EVTDESC201046;Wreckages lay lounge around. The smell of fire comes from the motor. The aeroplane is battered, pieces of metal gleam in the Andean sun. I can rescue my colleague out of the wreck. Henry is unconscious, but alive. My manouver was a bit too confident,I wasn't able to see the rough cliffs in the clouds. Our journey is over, as I decide to return to Cusco.;;;;;;;;;;;;x;
EVTNAME201047;A temple? A temple!;;;;;;;;;;;;x;
EVTDESC201047;We have won hight. The scenery becomes miniature. Henry, who was at first against this decision, suddenly seems interested. 'Did you see that?' 'What?' 'I bet I saw a temple! Look! There! I'm sure, on this plateau', he points with his finger on the window. A temple! Henry was right. It was buried by the mountains, but here in the sky, from above, it is clearly to see. 'We must land!', Henry becomes excited. 'Immediately!' I see the look in his face. He is a rational and cold mind, but when it comes to an archaeological discovery, Henry changes. It seems, that he can smell this type of things. But I can't share his opinion. The plateau is not the best field to land. It is not very large, and it would cost me a lot of courage to do this bold step.;;;;;;;;;;;;x;
EVTNAME201048;Temple lost out of sight;;;;;;;;;;;;x;
EVTDESC201048;I searched for a better place to land, but when I found it, it was nearly impossible to find the place where the temple was. I made a second round to rediscover the Incan monument, but it was without success. Henry made his own expedition by foot, which resulted in failure. After weeks of useless search, we gave up hope to find the temple again.;;;;;;;;;;;;x;
EVTNAME201049;The Temple of the Sun;;;;;;;;;;;;x;
EVTDESC201049;I was able to land 'Atalanta', despite my concerns. The aeroplane landed softly on the plateau, and Henry jumped out of the machine when the airscrew were still moving. I follow him, looking up to the temple which is in a surprising good condition. Too untouched to be true. 'On my voyages in Peru, I never saw a Incan temple in such a good shape', Henry mentions. 'That is an extraordinary discovery. The archaeologists at home would be astonished.' I go forward, Henry waits instead, putting his hand on the stone. He observes the strange engravings. 'Any information?', I ask, but he denies. 'That seems to be a very strange place. I can't interpret this figures. It's a shame that the Incas have no writing or hieroglyphs as the Mayas do, so everything remains obscure.';;;;;;;;;;;;x;
EVTNAME201050;Breakfast with Llamas;;;;;;;;;;;;x;
EVTDESC201050;Manco Capac, eh? You two are searching for the remains of the famous last Incan ruler? Follow me!' A native offered his service. Now we travel through the Peruvian mountains, our equipment and ourself carried by llamas. Henry is convinced, that a voyage with this creature, which were domisticated to reach even the most inhospitable areas of the Andes, will be more useful than the new technologies. But when I turned to him, I saw his grim face. 'Henry, what is the matter?' 'I don't trust this man', Henry answers. 'It would be better if we buy the llamas and leave him instead. For me, he knows too much.';;;;;;;;;;;;x;
EVTNAME201051;Weren't we here once before?;;;;;;;;;;;;x;
EVTDESC201051;Days and weeks go by. It took this long time after I realized, that Henry was right with his assumption. This llama leader wanted to trick us. Unfortunately, it was to late. When we wanted to confront him, he escaped with the llamas. It took us days before we were able to return to Cusco, exhausted and without equipment or success.;;;;;;;;;;;;x;
EVTNAME201052;Through the Andes;;;;;;;;;;;;x;
EVTDESC201052;Without a leader, we are shift for ourself. The journey continues, but the problem of disorientation becomes obvious. Henry spent five years to examine Incan culture, chasing every evidence regarding the legendary capital of Manco Capac, Vilcabamba. But this area is unknown to him. Wandering through this inhabitated landscape drives us to despair. No ruins. No Incan remains. Nothing. Which direction should we take?;;;;;;;;;;;;x;
EVTNAME201053;Lost in the Andes;;;;;;;;;;;;x;
EVTDESC201053;The blue heaven. The golden sun. Grey stones and mountains. Nothing has sense. We don't find the way to a promising archaeological place. We don't even find back home. The Andes are our grave, and maybe one day we will be found by other archaeologists, in thousands of years, making a good sample for an exhibition...;;;;;;;;;;;;x;
EVTNAME201054;The Temple of the Sun;;;;;;;;;;;;x;
EVTDESC201054;The sunset brightens the sky in red colours, shining on stones. Stones of a building. On the top of a plateau, an old temple sits enthroned like an Incan god-king above the Andes. I tether the llamas, but Henry keeps going forward. 'On my voyages in Peru, I never saw a Incan temple in such a good shape', he mentions. 'That is an extraordinary discovery. The archaeologists at home would be astonished.' I go forward, Henry waits instead, putting his hand on the stone. He observes the strange engravings. 'Any information?', I ask, but he denies. 'That seems to be a very strange place. I can't interpret this figures. It's a shame that the Incas have no writing or hieroglyphs as the Mayas do, so everything remains obscure.';;;;;;;;;;;;x;
EVTNAME201055;War interrupts expedition;;;;;;;;;;;;x;
EVTDESC201055;The communication between our expedition in Peru and our archaeological society is interupted. Until the war goes on, our enemies will try to disturb every information exchange.;;;;;;;;;;;;x;
EVTNAME201056;Expedition in Peru responds again;;;;;;;;;;;;x;
EVTDESC201056;Immedietly after the end of the war, the expedition in Peru has contacted us again.;;;;;;;;;;;;x;
EVTNAME201037;Tutankhamun's Tomb discovered;;;;;;;;;;;;x;
EVTDESC201037;The discovery of this archaeological sensation is an international event. What should we do now, regarding the Great powers?;;;;;;;;;;;;x;
EVTNAME201038;El Mirador discovered;;;;;;;;;;;;x;
EVTNAME201039;The Tower of Babel discovered;;;;;;;;;;;;x;
EVTNAME201058;The Temple of the Sun;;;;;;;;;;;;x;
