Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
ARGTRAGICWEEKLOC;\n\nA series of riots and massacres is taking place in Buenos Aires. The riot is led by anarchists and communists, and is requiring the Argentine Federal Police under General Luis Dellepiane, commander of the 2nd Army Corps, and the intervention of the Argentine Army, Argentine Marine Corps and Argentine Navy to be crushed.;;;;;;;;;;;;;
SPATRAGICWEEKLOC;\n\nA week-long series of violent confrontations between the Spanish army and anarchists has taken place in Barcelona. Socialists, republicans, anarchists, anti-militarists and anti-colonialists of the city are the main perpetrators.;;;;;;;;;;;;;
can_ignore_cultural_core;Can Ignore Cultural Cores;;;;;;;;;;;;;
cotton_boom;Cotton Boom;;;;;;;;;;;;;
mexico_city_buff;Mexico City;;;;;;;;;;;;;
claim_nutka_title;Territorio de Nutca;;;;;;;;;;;;;
claim_nutka_desc;§RGain 3.5 infamy§! Now that we've seized the land up to the border with the Brits from the yanks, we may reclaim our rightful clay in the Nutca territory. Only under loose administration, the Spaniards gave it to the Brits via several treaties. Despite this, we must strive to regain it and undo the wrongs of the Spaniards. Viva Mexico!;;;;;;;;;;;;;
mexico_city_miracle_title;The Expansion of Mexico City;;;;;;;;;;;;;
mexico_city_miracle_desc;Mexico City has been the capital of the Viceroyalty of New Spain and Mexico for centuries. Despite multiple cities and towns having sometimes competed with it, not a single one has become as important, influential or populous as Mexico City. Our capital could be further improved if we awarded grants, allowed for the city's expansion and implemented the latest technological advances involving electricity in the streets!;;;;;;;;;;;;;
army_modernization_title;Modernize the $COUNTRY_ADJ$ Army;;;;;;;;;;;;;
army_modernization_desc;So far, the $COUNTRY_ADJ$ army has been hard pressed to defeat the prowess of its enemies, though our numbers and leadership win us many a battle. However, our guns are lacking and sooner or later, our men might be as well. It is time to reform the military and modernize our army so we don't fall behind.;;;;;;;;;;;;;
texan_retribution;Texan Pacification;;;;;;;;;;;;;
texan_compensation_title;The Pacification of Texas;;;;;;;;;;;;;
texan_compensation_desc;Many good Mexican men lost their lives during the Texan insurgency. To ensure this never occurs again, we must pacify the region and drive out any sense of difference of the Texan people. Settling more Mexicans there to replace those who flee to the USA would further integrate it into our great country.;;;;;;;;;;;;;
HUNZALOC;\n\nWhen Mortimer Durand, Secretary for State of India was appointed administrator of the Gilgit Agency, he opened up the region by building roads, telegraph and mail systems. He intended to improve the road from Kashmir through Hunza and Nagar and up to the frontier with Russia. The Mirs of Nagar and Hunza saw this as a threat to their natural advantage of remoteness. In 1890, Durand reinforced Chalt Fort that was near the border due to the rumor that Nagar and Hunza fighters were about to attack it, building up the road up to the fort. In May 1891, Nagar and Hunza sent a warning to Durand not to continue work on the road to the fort and to vacate the fort on the Gilgit side of the border, else they would regard it as an act of war. Durand reinforced the fort and accelerated the road construction to it, causing Nagar and Hunza to break relations. Britain regarded this as a breach of their 1889 agreement with Hunza, and after an ultimatum was issued and ignored they initiated the Hunza-Nagar Campaign of $YEAR$.;;;;;;;;;;;;;
HAVE_NO_BLOCKADED;Is not blockaded;;;;;;;;;;;;;
a_greater_german_destiny_title;A Greater German Destiny?;;;;;;;;;;;;;
a_greater_german_destiny_desc;Germany has long been split between petty fiefdoms, duchies and kingdoms. We must take the initiative to finally unify it.;;;;;;;;;;;;;
organic_instruction_law_title;The Organic Instruction Law;;;;;;;;;;;;;
organic_instruction_law_desc;The Organic Instruction Law is a new act proposed by our current $MONARCHTITLE$, Benito Juarez, which looks to improve education throughout the nation with a specific focus in Oaxaca, where the lack of education has been keeping the region stagnant for a long time.;;;;;;;;;;;;;
northern_ejido_system;The Northern Ejido System;;;;;;;;;;;;;
PUCKLOC;\n\nPuck was the first successful humor magazine in the United States of colorful cartoons, caricatures and political satire of the issues of the day. It was founded in 1871 as a German-language publication by Joseph Keppler, an Austrian-born cartoonist. Puck's first English-language edition was published in 1877, covering issues like New York City's Tammany Hall, presidential politics, and social issues of the late 19th century to the early 20th century.;;;;;;;;;;;;;
the_royal_agrarian_reform_title;The Royal Agrarian Reform;;;;;;;;;;;;;
the_royal_agrarian_reform_desc;One of our nation's main struggles is the unpopulated regions in the North, they remain unintegrated and lawless. To solve this, we can attract Mexican settles to our move there and incentivize it by granting them small, free patches of land called 'Ejidos' in such strategic boomtowns as Los Angeles, San Francisco and Las Vegas. It will be expensive, and the natives and unruly yanks sure won't be happy to hear about newcomers.;;;;;;;;;;;;;
GILDEDLOC;\n\nThe Gilded Age is an era occurring during the late 19th century, from the 1870s to about 1900. It is a time of rapid economic growth, especially in the Northern and Western United States. As American wages soar above those in Europe, especially for skilled workers, we are is seeing an influx of millions of immigrants. The rapid expansion of industrialization is leading to a real wage growth of 60% between 1860 and 1890 and spreading across the growing labor force. The average annual wage per industrial worker (including men, women, and children) will rise 48% between 1880 and 1890. Conversely, the Gilded Age is also an era of abject poverty and inequality, as millions of immigrants pour into the United States, and the high concentration of wealth becomes more visible and contentious. Politically, the gilded age is introducing more and more influence of business, with tycoons such as John D. Rockefeller, Andrew W. Mellon, Andrew Carnegie, J. P. Morgan, Meyer Guggenheim and Cornelius Vanderbilt, so-called 'robber barons' lobbying congress to follow their will.;;;;;;;;;;;;;
STANOILLOC;\n\nEstablished in 1870 by John D. Rockefeller and Henry Flagler as a corporation in Ohio, it is the largest oil refiner in the world. Its history as one of the world's first and largest multinational corporations will end in 1911, when the U.S. Supreme Court will rule, in a landmark case, that Standard Oil is an illegal monopoly, controlling 91% of oil refinement and 85% of final sales in the United States in 1904. John D. Rockefeller's Standard Oil stocks made him the richest man of all time.;;;;;;;;;;;;;
florida_rename_usa_title;Rename Florida;;;;;;;;;;;;;
florida_rename_usa_desc;Now that Florida is back under our control, we should rename it to its proper $COUNTRY_ADJ$ endonym.;;;;;;;;;;;;;
denver_rename_usa_desc;Now that Denver is under our control, we should rename it to its proper $COUNTRY_ADJ$ name.;;;;;;;;;;;;;
denver_rename_usa_title;Rename Denver;;;;;;;;;;;;;
MOBYLOC;\n\nMoby-Dick, or, The Whale, is an 1851 novel by American writer Herman Melville. The book is the sailor Ishmael's narrative of the obsessive quest of Ahab, captain of the whaling ship Pequod, for revenge on Moby Dick, the giant white sperm whale that on the ship's previous voyage bit off Ahab's leg at the knee. A contribution to the literature of the American Renaissance, Moby-Dick was published to mixed reviews, was a commercial failure, and was out of print at the time of the author's death in 1891.;;;;;;;;;;;;;
the_white_fleet_title;The White Fleet;;;;;;;;;;;;;
the_white_fleet_desc;The Great White Fleet is the popular nickname for the group of 16 United States Navy battleships which will complete a journey around the globe from December 16, 1907 to February 22, 1909 by order of United States President Theodore Roosevelt. Its mission is to make friendly courtesy visits to numerous countries while displaying new U.S. naval power to the world. The hulls of these ships are painted a stark white, giving the armada its nickname.;;;;;;;;;;;;;
lower_infamy_a;Lower Infamy;;;;;;;;;;;;;
lower_infamy_a_desc;An infamy reduction increase.;;;;;;;;;;;;;
lower_infamy_b;Lower Infamy;;;;;;;;;;;;;
lower_infamy_b_desc;An infamy reduction increase.;;;;;;;;;;;;;
lower_infamy_c;Lower Infamy;;;;;;;;;;;;;
lower_infamy_c_desc;An infamy reduction increase.;;;;;;;;;;;;;
lower_infamy_d;Lower Infamy;;;;;;;;;;;;;
lower_infamy_d_desc;An infamy reduction increase.;;;;;;;;;;;;;
send_a_boat_to_tokugawa_title;Send the Kanko Maru;;;;;;;;;;;;;
send_a_boat_to_tokugawa_desc;Japan is a rapidly progressing nation. It will be a great investment to send them a warship as a gift now and have good relations in future, though it will be costly. The Soembing, a barque built in 1850, would be the ideal gift.;;;;;;;;;;;;;
ecuador_colombia_treaty_title;Muñoz Vernaza-Suárez Treaty;;;;;;;;;;;;;
ecuador_colombia_treaty_desc;We have an opportunity to resolve our border disputes with our neighbor Ecuador once and for all. Both of our countries respectively, claimed the Putumayo, Caqueta, and Napo rivers. Our politicians are unsure of what to do with this problem at hand. It hinders potential trade and income to each other, making this issue more severe than it seems. We will share the border equally with each other, dividing the border between the Napo and the Putumayo Rivers. Our generous treaty not only ensures a breath of relief for both of the participants, but it will also open potential trade agreements between each other and start the investment of the region.;;;;;;;;;;;;;
peru_colombia_treaty_title;Salomón-Lozano Treaty;;;;;;;;;;;;;
peru_colombia_treaty_desc;We have the opportunity to settle our territorial disputes in the Amazon region with our neighbor in the south. Our clashing claims in the region not only us in a bothersome relationship, it worsens our relationship with our neighbors as well. We will have the guidance and support of the USA to mediate the conference, however, our neighbors might take this negatively. We must tread on a thin rope and make sure that they will not be left satisfied. Under the counseling of the US, we drew the border to Putumayo River and will be gifted the land that is north of it. They will lose considerable influence and control of the rivers in the Amazon Region. However, we wish to partake in the control of the region as well. Some caricaturists, particularly Ricardo Rendón, poked fun at the resulting border, but every Colombian at heart knows this is only good for the Fatherland.;;;;;;;;;;;;;
HOLMESLOC;\n\nCreated by author Sir Arthur Conan Doyle, famed fictional detective Sherlock Holmes first appeared in print in 'A Study in Scarlet' in $YEAR$. His stories were usually told from the perspective of Dr. John H. Watson, who accompanies Holmes on his investigations.;;;;;;;;;;;;;
EMUWARLOC;\n\nThe Emu War, also known as the Great Emu War, was a nuisance wildlife management military operation undertaken in Australia over the later part of 1932 to address public concern over the number of emus said to be running amok in the Campion district of Western Australia. The unsuccessful attempts to curb the population of emus, a large flightless bird indigenous to Australia, employed soldiers armed with Lewis guns—leading the media to adopt the name 'Emu War' when referring to the incident. While a number of the birds were killed, the emu population persisted and continued to cause crop destruction.;;;;;;;;;;;;;
MISERABLELOC;\n\nLes Misérables is a French historical novel by Victor Hugo, first published in 1862, that is considered one of the greatest novels of the 19th century. It elaborates upon the history of France, the architecture and urban design of Paris, politics, moral philosophy, antimonarchism, justice, religion, and the types and nature of romantic and familial love.;;;;;;;;;;;;;
DOROTHYLOC;\n\nThe Wonderful Wizard of Oz is an American children's novel written by author L. Frank Baum and illustrated by W. W. Denslow, published by the George M. Hill Company in May 1900. In 1902, it will receive a Broadway musical adaptation as well as a iconic live-action film in 1939. The story chronicles the adventures of a young farm girl named Dorothy in the magical Land of Oz after she and her pet dog Toto are swept away from their home in Kansas by a cyclone. The book is one of the best-known stories in American literature and has been widely translated. The Library of Congress has declared it 'America's greatest and best-loved homegrown fairytale'. Its groundbreaking success, and that of the Broadway musical adapted from the novel led Baum to write thirteen additional Oz books that serve as official sequels to the first story.;;;;;;;;;;;;;
first_choshu_expedition_title;The First Choshu Expedition;;;;;;;;;;;;;
first_choshu_expedition_desc;After Choshu's attempt to capture the emperor and use him to topple the Shogunate, we must decisively act to punish them. However, declaring all-out war would be unwise as Satsuma may come to their aid. If we simply send them a demand that they turn over their leaders to us, we may yet avoid bloodshed.;;;;;;;;;;;;;
take_libya_title;Claim Libya;;;;;;;;;;;;;
take_libya_desc;The Ottoman Empire is at its weakest, and we lack African colonies. They will be unable to defend Libya if we demand it from them.;;;;;;;;;;;;;
nav_treaty_brz_vnz_title;A navigation treaty with Venezuela;;;;;;;;;;;;;
nav_treaty_brz_vnz_desc;Our northern border is undefined, with a growing dispute over the area around Forte Sao Joaquim. To resolve this dispute and end smuggling along the northern river, we should propose this treaty to Venezuela.;;;;;;;;;;;;;
clm_const_five_title;The Colombian Constitution of $YEAR$;;;;;;;;;;;;;
clm_const_five_desc;The Regeneracion movement has agitated for a conservative replacement for the constitution of Rionegro, calling for exile to Ecuador and Venezuela of liberal politicians, professionals public employees, censorship by the church of professors and public employees who favor secularism and making divorce illegal by passing marriage from a the civil sphere to that of the Catholic church.;;;;;;;;;;;;;
clm_const_four_title;The Constitution of Rionegro;;;;;;;;;;;;;
clm_const_four_desc;There has been significant opposition to the last constitution, leading to support for a new one, transforming Colombia into a federation, guaranteeing individual freedoms of commerce, opinion, printing, teaching and association, abolishing the death penalty and consolidating the separation of church and state.;;;;;;;;;;;;;
clm_const_three_title;Constitution of the Granadina Confederation;;;;;;;;;;;;;
clm_const_three_desc;After a great deal of backlash against the last constitution, the conservatives are pushing for the imposition of confederalism, the organization, direction and maintenance of public forces, the creation of new states, and the arrangement of official weights, weights and measures.;;;;;;;;;;;;;
clm_const_two_title;The Constitution of $YEAR$;;;;;;;;;;;;;
clm_const_two_desc;Calls for reform have led to the proposition of a new liberal constitution to finally purge slavery from our lands, make ballots secret, separate the legislative branches in twain and allow for freedom of press.;;;;;;;;;;;;;
clm_const_one_title;The New Granada Constitution;;;;;;;;;;;;;
clm_const_one_desc;The proposed new constitution extols the control of the Catholic clergy over Colombia and places the provinces under harsh unitary rule of the central government. The election of the office of president, senators and representatives would be promulgated for a period of 4 years in each parish district.;;;;;;;;;;;;;
french_outside_italy_title;Organize Italy under strict French Supervision;;;;;;;;;;;;;
french_outside_italy_desc;§RGain 10 infamy§! Italy may be but a geographical expression, but it's an expression of strategic importance to $COUNTRY$. With the peninsula under our thumb, it might be time to reorganize the duchies and republics of Italy into more manageable kingdoms. We will also be able to take lands in Piedmont with a French minority, such as Savoia, Nice and Aosta in return for Parma and Modena, thereby appeasing expansionists.;;;;;;;;;;;;;
inherit_sgf;SGF Inherited;;;;;;;;;;;;;
austrian_destiny;Austrian destiny;;;;;;;;;;;;;
austrian_greater_germany;Interested in forming Germany;;;;;;;;;;;;;
ai_demand_sigmaringen;Peace of Prague;;;;;;;;;;;;;
ems_dispatch_sent;Ems Dispatch sent;;;;;;;;;;;;;
finnish_assimilation;Finnish Assimilation;;;;;;;;;;;;;
finnish_assimilation_desc;We are pushing towards the teaching of the Finnish language and its restoration as a language of culture.;;;;;;;;;;;;;
owed_artillery;Owed artillery;;;;;;;;;;;;;
owed_canned_food;Owed canned food;;;;;;;;;;;;;
i_have_gotten_bogota_event;Has gotten the treaty event;;;;;;;;;;;;;
i_no_longer_have_cores_in_tonantins;No longer has cores in Tonantins;;;;;;;;;;;;;
equal_rule_title;Equal Rule;;;;;;;;;;;;;
equal_rule;Equal rule of all races will lead us to prosperity.;;;;;;;;;;;;;
declare_caliphate_title;Declare a Caliphate;;;;;;;;;;;;;
declare_caliphate_desc;Following our conquest of Meccah, many in our court think we should take this opportunity to declare ourselves a Caliphate, a protector of all Muslims. However, the Ottomans have held this position for centuries, so no doubt they won't take fondly to us usurping the title.;;;;;;;;;;;;;
VNRCONGRESSLOC;\n\nPresident José Tadeo Monagas has been becoming ever friendlier with the liberals recently, which is why the conservative congress attempted to prosecute him with accusations of treason. This enraged the liberal mobs outside the congress who rushed in to Monagas' aid, thus granting the liberals power.;;;;;;;;;;;;;
arosemena_treaty_title;The Arosemena-Guzmán Treaty;;;;;;;;;;;;;
arosemena_treaty_desc;The time has come to settle our long and bitter border dispute with Venezuela over Inrída. The proposed treaty has already been approved by our foreign minister Justo Arosemena and Venezuelan foreign minister Antonio Guzmán, hence the name.;;;;;;;;;;;;;
FWTHREEDEATHLOC;\n\nBorn in 1770 and crowned King of Prussia and Margrave of Brandenburg in 1797, Frederick William III died of a fever today at the age of 69. His steady and confident rule saw Prussia through the Napoleonic Wars and the collapse of the Holy Roman Empire. He was seen as a homely and down-to-earth ruler due to his purely love-motivated marriage to Luise of Mecklenburg-Strelitz, a member of the low nobility. Under his leadership, Prussia progressed from an absolutist, agrarian caste society to an enlightened and industrial nation.;;;;;;;;;;;;;
FWFOURDEATHLOC;\n\nBorn in 1795 and crowned King of Prussia in 1840, Frederick William IV passed away today at the age of 65 due to a stroke. He had already suffered several strokes in 1857 that slurred his speech, signing the official regency of his brother William I and effectively resigning from power. Another stroke in 1859 paralyzed his left side, and a further one permanently robbed him of consciousness in Novemeber of 1860. His last stroke ended the suffering. His legacy includes his handling of the revolutions of 1848 and the many castles and monuments he had constructed.;;;;;;;;;;;;;
WILONEDEATHLOC;\n\nBorn in 1797 and crowned King of Prussia in 1860 having held the regency for the incapacitated Frederick William IV since 1858, Wilhelm I left us today at the age of 90 after a short period of illness. His last words were 'Ich habe keine Zeit müde zu sein.' or 'I have no time to be tired.'. A man of great vigor and tenacity even in his high age, he survived 4 assassination attempts, one only because of the protection of his Pickelhaube. Deeply loved by the people for his dignity, friendliness and compassion, he will have the most memorials of any German monarch.;;;;;;;;;;;;;
FTHREEDEATHLOC;\n\nBorn in 1831 and crowned King of Prussia in 1888, Frederick II only wore the crown for 99 days. A strong smoker, he had been suffering from hoarseness since 1887, when in May a carcinoma in his throat was identified. He initially refused being operated on and instead went to a mountain resort in Italy, hoping the climate would improve his condition. Meanwhile his doctors were hiding the fact that the carcinoma was increasingly growing. Shortly before William I's death, he could barely breathe, leading to a tracheotomy which robbed him of his voice. His 3-month reign was severely limited, his plans for limiting monarchical power and strengthening the constitution never coming to fruition. His last diary entry was: 'What's happening to me? I must get well again, I have so much to do!'.;;;;;;;;;;;;;
ALFONSODEATH;\n\nAlfonso XII, known as 'El Pacificador' or 'The Peacemaker' has died at the young age of 28 after a brutal case of dysentery combined with tuberculosis. He ascended to the throne after the failure of the republic put in place by the Glorious Revolution, restoring the Spanish Bourbon dynasty of his mother who remained in exile in Paris. His capacity for dealing with men was considerable, and he never allowed himself to become the instrument of any particular party. During his short reign, peace was established both at home and abroad, finances were well regulated, and the various administrative services were improved. His unborn son will be the heir to the throne, but he will only come of age in 1902. Maria Christina of Austria will act as Queen regent until her son is ready for the crown.;;;;;;;;;;;;;
wilhelm_denkmal_title;Kaiser-Wilhelm-Nationaldenkmal;;;;;;;;;;;;;
wilhelm_denkmal_desc;A memorial has been proposed to our dear recently deceased monarch William I. It would consist of a massive bronze equestrian statue in front of the Berlin Palace on a raised base of polished red granite from Sweden surrounded by statues of lions, eagles and four Goddesses of Victory at the corners. The front the pedestal would bare the inscription 'William the Great, German Emperor, King of Prussia 1861-1888' and on the back 'in gratitude and true love, the German people.'.;;;;;;;;;;;;;
GUTPRESSLOC;\n\nSüße heilige Censur \n lass uns gehn auf deiner Spur \n Leite uns an deiner Hand \n Kinder gleich am Gängelband! \n\n Agitation for free press has been a key demand of the revolutionaries. The censored press has become increasingly reactionary, causing even more rebel anger.;;;;;;;;;;;;;
mar_chiquita_tourism_boom_title;The Mar Chiquita Tourism Boom;;;;;;;;;;;;;
mar_chiquita_tourism_boom_desc;The Mar Chiquita lake ("Little Sea"), known since colonial times, has never had any real population around its coast, with the only nearby settlements being the town of Morteros. During recent times, a large quantity of immigrants have been establishing towns in the area, seeing large quantities of tourism and settlement from neighboring locations, and even developing a large tourist industry due to a number of mineral spas utilizing the lake's natural properties.;;;;;;;;;;;;;
murwik_school;Marineschule Mürwik;;;;;;;;;;;;;
murwik_school_desc;The naval academy in Mürwik is an excellent place for our growing admiralty corps.;;;;;;;;;;;;;
marine_murwik_title;Marineschule Mürwik;;;;;;;;;;;;;
marine_murwik_desc;State secretary of the Reichsmarineamt Admiral Alfred von Tirpitz has proposed we construct a new naval academy for officers in Mürwik-Flensburg since our growing need isn't covered by the old naval academy in Hamburg.;;;;;;;;;;;;;
form_provence_title;Form Provence;;;;;;;;;;;;;
form_provence_desc;The Provencial people have long been oppressed, torn between Italy and France. We are the only country that truly gives them the rights they deserve. Therefore, we might as well gain legitimacy by proclaiming ourselves a provencial nation.;;;;;;;;;;;;;
unite_occitania_title;Unite Occitania;;;;;;;;;;;;;
unite_occitania_desc;The Occitan people have long been oppressed by the French northerners. Our position of owning their core lands enables us to gain legitimacy by proclaiming ourselves an Occitan nation.;;;;;;;;;;;;;
gfm_imperial_college_title;Establish the Imperial College of Engineering;;;;;;;;;;;;;
gfm_imperial_college_desc;In support of Japan's rapid industrialization it is time we establish an institution to help train young Japanese engineers.;;;;;;;;;;;;;
imperial_college_modifier;The Imperial College;;;;;;;;;;;;;
WILLIAMTWOINTERVIEW;\n\nIn a recent interview of Kaiser Wilhelm II by the Daily Telegraph, our monarch had several emotional outbursts. These scandalous remarks have now been published, greatly diminishing our foreign relations. Especially the British were enraged by the quote: 'You English are mad, mad, mad as March hares. What has come over you that you are so completely given over to suspicions quite unworthy of a great nation? What more can I do than I have done?';;;;;;;;;;;;;
ABEISDEAD;\n\nAbraham Lincoln, the 16th president of the United States, was assassinated by well-known stage actor John Wilkes Booth, while attending the play Our American Cousin at Ford's Theater in Washington, D.C. Shot in the head as he watched the play, Lincoln died the following day at 7:22 AM, in the Petersen House opposite the theater. He was the first U.S. president to be assassinated, with his funeral and burial marking an extended period of national mourning.;;;;;;;;;;;;;
colonize_chatham_title;Colonize the Chatham Islands;;;;;;;;;;;;;
colonize_chatham_desc;The New Zealand Company has seen much success in settling and exploiting New Zealand. 650km East, another smaller island lies undisturbed: Rekohu, or the Chatham Islands. This is our chance for colonial glory!;;;;;;;;;;;;;
inherit_zaf;Za'faranlu is ready for integration;;;;;;;;;;;;;
remove_bismarck_title;Dropping the pilot;;;;;;;;;;;;;
remove_bismarck_desc;Von Bismarck, whilst a competent diplomat and administrator, has come to blows with Kaiser William II over foreign policy. His days as prime minister are numbered, we must pressure him to resign.;;;;;;;;;;;;;
wilhelminism;Wilhelminism;;;;;;;;;;;;;
wilhelminism_desc;Wilhelminism is the ideology proclaimed by William II: Its main tenets are the desire for a 'place in the sun' as a world power and rigidly conservative attitudes relying on the Prussian Junker landowners;;;;;;;;;;;;;
februar_erlasse_title;The Februarerlasse;;;;;;;;;;;;;
februar_erlasse_desc;To show his 'Social Monarchy', Kaiser William II has made several decrees relating to workers' safety conditions. This follows a massive miner's strike in the Ruhrgebiet.;;;;;;;;;;;;;
BANCAROMANALOC;\n\nThe Banca Romana, one of the six national banks authorized to issue currency has gone bankrupt. The scandal revealed much deep-rooted corruption in our government administration and discredited both ministers and parliamentarians, in particular those of the historical left, threatening the constitutional order. The crisis prompts a new banking law, tarnishes the prestige of the prime ministers Francesco Crispi and Giovanni Giolitti, the latter of whom has resigned.;;;;;;;;;;;;;
NAMAMUGILOC;\n\nCharles Lennox Richardson, a British merchant, has been killed by the armed retinue of Shimazu Hisamitsu, the regent of the Satsuma Domain, on a road in Namamugi near Kawasaki. Shimazu was heading in the opposite direction to Lennox and his party, who continued to ride along the side of the road without dismounting until they reached the main body of the procession, which occupied the entire width of the road. Richardson, leading his party rode close to Shimazu's procession and did not dismount despite being gestured repeatedly to do so. Richardson had disrespected Shimazu and was justifiably killed under the Kiri-sute gomen rule, the right of Samurai to kill any commoner who disrespects him.;;;;;;;;;;;;;
fort_ross_rename_title;Rename Fort Ross;;;;;;;;;;;;;
fort_ross_rename_desc;Fort Ross has been successfully brought under our control, hence we should name it according to our language instead of keeping an exonym.;;;;;;;;;;;;;
france_wadai_title;The Wadai War;;;;;;;;;;;;;
france_wadai_desc;If we are to link French West Africa and our holdings in the Congo, we must move establish a protectorate on the Wadai Empire to connect North and South. Its armies are unorganized and its monarchy unstable, so the war will be a piece of cake.;;;;;;;;;;;;;
french_bagirmi_title;Establish a protectorate over Baguirmi;;;;;;;;;;;;;
french_bagirmi_desc;Seeing the conquest of its neighbors, the Sultan of Baguirmi has sought to be peacefully protected by France to avoid bloodshed and be shielded from raiders.;;;;;;;;;;;;;
invade_nye_title;The Yemeni Expedition;;;;;;;;;;;;;
invade_nye_desc;§RGain 2 infamy§! Local Zaidi nobles who are irritated by the alleged incompetence of the Zaidi imam have invited us to depose him and integrate the Imamate of Zaydi into the Ottoman Empire.;;;;;;;;;;;;;
sudeten_treaty_title;The Sudeten Treaty;;;;;;;;;;;;;
sudeten_treaty_desc;Our recent acquisition of the Sudetenland has brought a dispute with the former owners and an unadministrable and undefendable panhandle into their territory. Our ministers propose we return said panhandle to them with a mutual agreement on those borders as final.;;;;;;;;;;;;;
form_bnf_title;Reunite with the Dutch;;;;;;;;;;;;;
form_bnf_desc;§RGain 7 infamy§! With our conquest of the Netherlands, Lucien Jottrand, a politician, has proposed we reunite, this time under Belgian leadership. This way we can gain our legitimacy in our occupation of the Netherlands and justify an intervention to end the Dutch rump state in Indonesia.;;;;;;;;;;;;;
chusan_treaty_port_title;The Chusan Islands Treaty Port;;;;;;;;;;;;;
chusan_treaty_port_desc;Found off the coast of Ningpo, the Chusan archipelago is strategically located a short distance from Shanghai and the mouth of the Yangtze. Outfitted with several natural harbors, these defensible islands would make an excellent outpost to project power on the Chinese coastline without having to defend a boundary on land.;;;;;;;;;;;;;
EVTDESC130671;\n\nAs per the Treaty of Nanking, we were given control over the Chusan Islands 5 years ago to ensure that the Chinese would uphold their end of the deal. Now that the five years are up, the treaty dictates that we must return the archipelago. We can simply decide to ignore the terms of the treaty, but that course of action will risk a war breaking out and will surely significantly worsen our relations with Peking.;;;;;;;;;;;;;
EVTDESC130672;\n\nAs per the Treaty of Nanking, we relinquished control over the Chusan Islands, because $FROMCOUNTRY$ insisted that they be given a concession for the next five years to ensure that we abide by the treaty. With that period of time drawing to a close, $FROMCOUNTRY$ has, evidently somewhat reluctantly, agreed to hand the archipelago back, upholding their end of the deal.;;;;;;;;;;;;;
EVTDESC130673;\n\nAs per the Treaty of Nanking, we relinquished control over the Chusan Islands, because $FROMCOUNTRY$ insisted that they be given a concession for the next five years to ensure that we abide by the treaty. Now, five years later, $FROMCOUNTRY$ has informed us of their refusal to return the archipelago, thus violating the terms of the treaty. While some at our court insist that this brazen affront can only be answered by a declaration of war, others cautiously advise against any rash decisions. It would certainly be an uphill battle, especially considering that a naval victory over the $FROMCOUNTRY_ADJ$ would be required to retake the islands.;;;;;;;;;;;;;
sanmen_treaty_port_title;The Sanmen Bay Treaty Port;;;;;;;;;;;;;
sanmen_treaty_port_desc;Sanmen Bay is very large, 390 square kilometers and 9 meters deep even at low tide, thus perfectly suitable for a harbor that can house dozens of ships at a time. The coast on both sides of the bay is very steep, making it very defensible. Up the Fuchun River, it gives excellent access to Qiandao Lake and further trading within China. The strategic advantages are self-evident.;;;;;;;;;;;;;
sanmen_treaty_port_ita_title;Demand Sanmen Bay;;;;;;;;;;;;;
sanmen_treaty_port_ita_desc;§RGain 1 infamy§! Sanmen Bay is very large, 390 square kilometers and 9 meters deep even at low tide, thus perfectly suitable for a harbor that can house dozens of ships at a time. The coast on both sides of the bay is very steep, making it very defensible. Therefore our ministers have suggested that we send an ultimatum to the Qing threatening armed action if they don't lease us the concession. If Britain and Portugal own ports in China, we too have a right to a place in the sun.;;;;;;;;;;;;;
tsushima_incident_title;Forcibly lease Tsushima;;;;;;;;;;;;;
tsushima_incident_desc;§RGain 1 infamy§! The island of Tsushima holds an extremely strategic position. Mountainous and located in the middle of the straight between Korea and Japan, it would make a perfect outpost and coaling station for us to extend our influence. However, perfidious Albion may attempt to foil our ambitions.;;;;;;;;;;;;;
barcelona_rail_title;The Barcelona-Mataro railroad;;;;;;;;;;;;;
barcelona_rail_desc;For too long has our country been lagging behind industrially. We must invest in railroads if we are to progress! A businessman has proposed constructing a line from Barcelona to Mataro. While unambitious, this will set the precedent for a veritable railway boom throughout our entire nation.;;;;;;;;;;;;;
sulfur_contract_title;Renegotiate the Sulfur Contract;;;;;;;;;;;;;
sulfur_contract_desc;In 1814, as Britain liberated us from Napoleonic occupation, they signed a contract granting them trade rights on the masses of sulfur extracted daily from the island of Sicily. This contract however greatly favors the British in terms of profits, and Franch businessmen have proposed a more favorable contract that would give France a monopoly on Sicilian sulfur exports. This would however unquestionably anger the Brits.;;;;;;;;;;;;;
british_blockade;British blockade;;;;;;;;;;;;;
british_blockade_desc;In the so-called 'Sulfur War', Britain is blockading our coast to prevent outflow of sulfur.;;;;;;;;;;;;;
wilkes_expedition_title;The Wilkes Expedition;;;;;;;;;;;;;
wilkes_expedition_desc;The United States House of Representatives passed a resolution on May 21, 1828, requesting President John Quincy Adams to send a ship to explore the Pacific. Adams was keen on the resolution and ordered his Secretary of the Navy to ready a ship, however the bill stalled in the US Senate in February 1829. Now Congress has finally voted to dispatch a squadron of ships with botanists, geologists, botanists and philologists on board to map parts of the Pacific, visit the islanders and plan possible colonization.;;;;;;;;;;;;;
claim_samoa_title;Lay claim to Samoa;;;;;;;;;;;;;
