 Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
AUSTINFOUNDING;The Founding of Austin;;;;;;;;;;;;;
QINGZHETYSU2;\n\nAfter a period of rapid expansion into the Zhetysu region, an envoy from China has arrived detailing the establishment of a formal border between our two peoples. The resulting border would have us lose control over the grazing lands currently inhabited by the Eastern Nayman tribe, but would also grant us a claim over the tribes of the Senior Jüz not under Chinese rule.;;;;;;;;;;;;;
KYRGYZRAIDS;The continued existence of the Kara-Kyrgyz Khanate has lead to an increase of hostile raids on our borders. Our poor relations with the Kyrgyz may be to blame for their hostility towards us.;;;;;;;;;;;;;
KYRGYZRAIDS2;Recent raids against our neighbours have brought back a great deal of wealth and prestige for the Khanate.;;;;;;;;;;;;;
KAZQNG1;\n\nTrouble brews in the west! The conquest of the Khanate of Kokand at the hands of the recently revived Kazakh Khanate has brought unwelcome disruption to the stability and trade networks of our western frontier. Kokand, a favoured trading partner of ours, served a vital link between the Celestial Empire and the commercce of Central Asia. Now, with Kazakh banners flying over the fertile Ferghana Valley and its cities, our court must consider the new order.\nThe Imperial Diet advises that the Khanate be made to pay tribute to the Empire and formally recognize the supreme authority of the Son of Heaven in compensation for the interruption of trade. In return, the Kazakh Khan may be acknowledged as the rightful ruler of his people and reaffirmed as the Shah of Turan -a title our realm once granted to the last Kazakh Khan, Ablai Khan, many years ago. Such recognition would also be followed by the formalization of our border with the Kazakhs, granting them lands inhabited by Kazakhs in exchange for strategic holdings in the Eastern Pamir mountains.;;;;;;;;;;;;;
KAZQNG2;\n\nThe conquest of Kokand has finally attracted the attention of the Chinese Empire. The arrival of an Imperial envoy has stirred deep debate among our elders and warriors alike. They demand compensation for our disruption of trade in the area as a consequence of our campaign against the Khanate of Kokand in the form of tribute, along with our symbolic acknowledgment of the supreme authority of the Chinese Emperor -a bitter price, for it wounds our pride and places the Steppe beneath the eyes of a new foreign entity. Yet this visit also come to us as an offer of peace and stability: In return for our submission, they offer to recognize our Khan as the rightful ruler of the Kazakhs and the Shah of Turan -a title once bestowed upon the great Ablai Khan himself. This deal would also settle our frontiers with the Chinese, granting them their claims in the Eastern Pamir mountains in exchange for recognizing our sovereignty over all Kazakh lands held by the Empire.\nWhile acceptance may be difficult, to refuse is to invite war with the vast realms of China, a force of immense strength and order. While victory would certainly propel our fledgling nation to heights never before seen in our history, to lose could threaten our people's hard fought survival to its very core.;;;;;;;;;;;;;
KAZQNG3;\n\nThe Kazakh barbarians, blinded by arrogance and emboldened by their recent victories, have spurned the Middle Kingdom's gracious offer. Instead of humility, they chose defiance. Instead of friendship, they embrace insolence. Such betrayal of harmony cannot be tolerated. Our banners now move towards the Kazakh Steppe to restore balance, to discipline the ungrateful, and to remind all who exist between Heaven and Earth that the grace of the Dragon Throne is matched only by its power.\nAs it was with the Dzungars, who once defied the Middle Kingdom and were sweapt away by our righteous fury, so too shall it be with these Kazakh upstarts. Let them know what became of those who mistake leniency for weakness -entire nations erased, their banners burned, and their lands brought under the Son of Heaven's mandated domains.;;;;;;;;;;;;;
KAZQNG4;\n\nAgainst all odds and to the astonishment of many, our great Khanate has added a mighty crack to the crumbling facade of Chinese invincibility, Their legions, once thought as endless as the sky and powerful as the heavens, lie broken, scattered across the wind-swept plains of old Dzungaria. Our riders now thunder through the great cities of the western frontier -Tsarkent, Kulja, Kashgar, Urumtsi- where Chinese banners have been torn down and replaced with the proud standards of the Kazakh army. The Eemperor, once distant and untouchable, at the behest of his court now sues for peace, humbled by the fury of the Steppe.\nAnd before the Khan lies a choice heavy with destiny: shall we only claim the lands settled by our kin and solidify the heart of our nation? Shall we press onwards into Altishar, ancient cradle of empires, where jade and blood flow freely, or conquer it entirely? Or shall we seize the full domains of the accursed Dzungar Khanate, not as looters, but as rightful conquerors and carve an imperial legacy from the bones of the old not seen since the days of Chagatai Khan?\nThe wind sings with prophecy, and the steppe waits for the Khan's word to echo across all of Central Asia!;;;;;;;;;;;;;
KAZQNG4;\n\nThe wild Kazakh Steppe, once filled with boastful cries of defiance and delusions of grandeur, now lies broken and humbled beneath the might of the Middle Kingdom. The Khanate, in its arrogance, dared not only to reject the gracious hand of peace extended by the Son of Heaven but to also raise its hand in defiance -and for that insolence, they have paid dearly. Their riders, once so proud, flee before the thunder of Chinese arms and the unyielding advance of Imperial armies. Their primitive strongholds lie in ruin, their Khan brought low. Order has triumphed over disharmony.\nNow, with victory secured, the Emperor must decide the fate of this unruly frontier. Shall we impose once more the original terms between our peoples -peace through submission, tribute, and recognition of Imperial supremacy? Or shall we press farther, extending defacto authority into the fertile Zhetysu Valley, long claimed by right of conquest over the Dzungars, while restoring the Kokand Khanate as a loyal trader partner and overseer of order in the region? Or perhaps the time has come to dissolve the Kazakh Khanate entirely, scattering its clans and placing all the Steppe under Imperial governance, as it was for the Dzungars who came before and as is a fitting fate for those who defy Heaven.\nThe Dragon has stirred -and the world will remember who commands the winds!;;;;;;;;;;;;;
HAZARAAUTONOMY;\n\nDespite fierce resistance, our occupation of the Hazarajat can finally come to an end as the tribes of the area have agreed to acknowledge our suzerainty over the whole of the Hazarajat in exchange for autonomy.;;;;;;;;;;;;;
kaz_conquer_kyrgyz_title;Put an end to the Kyrgyz raids;;;;;;;;;;;;;
kaz_conquer_kyrgyz_desc;§RGain 3 infamy§ Ever since Omron Khan's revolt against the Khan of Kokand, the Kyrgyz have begun raiding the Kazakh Steppe wholesale. With our backs against the wall against the Kokand to the south and the Russians to the north, the Kyrgyz see this as a golden opportunity to pounce on a weak and defenseless neighbour. Let us mount a proper campaign against them and show them just how wrong they are!;;;;;;;;;;;;;
kaz_conquer_kokand_title;Conquer the Khanate of Kokand;;;;;;;;;;;;;
kaz_conquer_kokand_desc;§RGain 5 infamy§ The Khanate of Kokand once stood as an ally in our stuggle against the Russian Empire's relentless advance across the Kazakh Steppe. But through a string of losses against them in near memory, Kokand faltered under pressure. Rather than continue to resis alongside us, they chose cowardice and betrayal. Their fear turned to treachery when they struck against our people, culminating in the brutal murders of the family of Kenesary Qasymuly - Brothers, wives, and children - This act of cruelty has cannot go unanswered as now, the Kazakh banners gather for war against the traitorous Kokand! Yet we know §Bsuch a campaign will not go unnoticed by the Chinese§W who favour Kokand for their trade. If we do not act in a diplomatic manner in the aftermath of our righteous war, §Rwe may find ourselves facing the might of another great Empire.§W The Kazakh Steppe has not forgotten its pride, nor will it suffer betrayal without vengeance...;;;;;;;;;;;;;
great_tartaria1_title;Reclaim the Former Tatar Homeland;;;;;;;;;;;;;
great_tartaria1_desc;The collapse of the Ulug Ulus's authority over the Slavs led to the greatest catastrophe in our history. Following Kulikovo, the Khanates fell one by one to their savagery, as we were stripped of our faith and our ways of life. With Kazan finally free from Russian tyranny, we find ourselves in a position to return the favour to those who pretended to turn our people into helots. Let Moscow weep, for the Tatars ride again, and this time our yoke shall last forevermore.;;;;;;;;;;;;;
great_tartaria2_title;Proclaim the Empire of Great Tartaria;;;;;;;;;;;;;
great_tartaria2_desc;Against impossible odds, the Russians have been expelled from our ancient domains. Not only have we managed to avenge centuries of brutality and humiliation, our brethren to the South have coalesced under our flag, finally safe from the foreigners who circled them with rapacious eyes. Yet they remain a threat, and the folly of their ambitions must be destroyed once and for all. We’ll ride further than Temüjin, our revenge more swift and brutal than that of Timur, and succeed where our forefathers failed, as Tartaria shall triumph over the test of time, Eurasia eternally subjugated to our hegemony.;;;;;;;;;;;;;
junior_colonize_steppe_title;Consolidate the Syr Darya delta;;;;;;;;;;;;;
junior_colonize_steppe_desc;With the Junior Jüz Kazakhs a free and independent people once again, we can consolidate the remaining disorganized territories in the Syr Darya delta and bring the Kazakhs living there into the fold.;;;;;;;;;;;;;
unite_kazakhstan_title;Unite the Kazakh Steppe;;;;;;;;;;;;;
unite_kazakhstan_desc;The Kazakh people are divide. No longer! We have established dominance over the disparate tribes of the Kazakh steppe and can claim the mantle of Shah-i Turan and Khan of All-Kazakhs. May our people remain united, may our people remain strong!;;;;;;;;;;;;;
build_zhanqala_title;Build the Zhanaqala Fortress;;;;;;;;;;;;;
build_zhanqala_desc;The situation in the Syr Darya delta has improved since the capture and destruction of the Babajan Fortress in 1835 at the hands of Zhankozha Batyr enough so that we may attempt to construct a second fortress in the area to extend our influence along the Aral coast once more.;;;;;;;;;;;;;
invade_the_steppe_khi_title;Invade the Kazakh Steppe;;;;;;;;;;;;;
invade_the_steppe_khi_desc;With the Zhanaqala Fortess built over the ruins of the old Babajan Fortress, we have regained a stable enough footing to once again start projecting power into the Kazakh Steppe. While the recently arrived Russians may be powerful, their hold on these lands is still loose enough for us to attempt an incursion into the right bank of the Syr Darya. May God be with us!;;;;;;;;;;;;;
found_kopal_title;Establish the Bailiff of the Senior Horde Kazakhs in Kopal;;;;;;;;;;;;;
found_kopal_desc;In order to exercise more control over our southern frontier in the Kazakh Steppe, we can establish the position of The Bailiff of the Senior Horde Kazakhs centered on the new Kopal fortification in the northeastern part of Semirechye. The Bailiff System, as a transitional stage, will become the first administrative body of imperial authorities in the territory of Semirechye, §Bexpanding our influence in the Senior Jüz§W;;;;;;;;;;;;;
colonize_pamir_title;Send an expedition into the Eastern Pamirs;;;;;;;;;;;;;
colonize_pamir_desc;The Eastern Pamirs have always been a desolate backwater at the edge of every local Empire's frontiers. Recent advances in our country have finally allowed us to send for an expedition into this uncharted corner of the world for the purpose of establishing a permanent foothold and cementing our claims to the region as most legitimate.;;;;;;;;;;;;;
kazqng_war_qng_victory_title;A Peace with China;;;;;;;;;;;;;
kazqng_war_qng_victory_desc;With our decisive victory over the Chinese armies, the time has come to collect the spoils of war.;;;;;;;;;;;;;
kazqng_war_kaz_victory_title;A Peace with The Kazakhs;;;;;;;;;;;;;
kazqng_war_kaz_victory_desc;The Kazakh barbarians have finally been brought to heel in the face of our overwhealming might. All that's left is to dictate the exact terms of peace.;;;;;;;;;;;;;
restore_faizabad_mines_title;Restore the Sar-e Sang Lapis Lazuli Mines;;;;;;;;;;;;;
restore_faizabad_mines_desc;Ever since Mir Muhammad Murad Beg of Kunduz sacked Faizabad and relocated a massive portion of its population to the desolate swamps of Kunduz, the formerly world-renowned Sar-e Sang lapis lazuli mines of Badakhshan have fallen to disrepair. Repairing these mines will require both major reforms to local land distribution and a heafty investment of from our treasury, but the reestablishment of these mines would be a massive boon for our nation.;;;;;;;;;;;;;
kyrgyz_raids;Raided by the Kyrgyz;;;;;;;;;;;;;
SKEAKYQUOTE;Abbas Mirza's irrevocable losses have affected him severely and his health began to suffer (LOC FOR ABBAS MIRZA);;;;;;;;;;;;;
alexandropol_desc;\n\nEver since our nation's victory over the Qajar Empire in The Second Russo-Persian war, Gyumri has become one of the many developing cities in the Transcaucasus, bolstered further by the influx of around 3,000 Armenian families from numerous Ottoman cities on our border in the aftermath of the 1829 Russo-Turkish War. During a recent visit to Gyumri, Tsar Nicholas has passed a decree to rename the city to Alexandropol, in honor of his wife, Princess Charlotte of Prussia, who has changed her name to Alexandra Fyodorovna after converting to Orthodox Christianity.;;;;;;;;;;;;;
