
famine;Provincial Famine;;;;;;;;;;;;;
DIM_NET_zilveren_verbond_desc;\n\nDisturbing reports are reaching the colonial government from Makassar. When the old king of Boni died, his successor, his widow, professed her desire for warmer relations between the Boni and the $COUNTRY_ADJ$, yet her recent actions speak otherwise. She has ordered all trading ships to fly the $COUNTRY_ADJ$ flag upside down, as well as inciting local heads to revolt against us, and has already succeeded in turning some inlander auxiliaries to revolt. Furthermore she has resurrected the old 'Zilverenverbond' (Silver Alliance) of the Buginese kingdoms. It is all but certain she is preparing for war against us.;;;;;;;;;;;;;
DIM_zilveren_verbond_event_title;The Zilverenverbond;;;;;;;;;;;;;
DIM_colonial_question;The Koloniale Kwestie;;;;;;;;;;;;;
DIM_colonial_question_event_desc;\n\nA weighty responsibility lies on the people blessed with such history as ours. Contemporaries and progeny might rightfully question, what we, sons of such a dearly bought freedom, have done with this freedom? Can we, after three centuries, with a clean conscience and our heads held high answer: We are worthy descendants of such heroes? Is it but lies and slander that we exploit the Javanese?\n\nIt has made our country the disgrace of the world. We have surrendered the honor of being a civilized nation: because even the Spanish did not treat our forefathers so unchristian. That a moral nation pur sang like ours, which does not rely on brute force but moral superiority in international politics, should allow for her subjects to be exploited, has started to create a feeling of unease in society.;;;;;;;;;;;;;
DIM_colonial_question_desc;Elements of society are unhappy about our current colonial policies.;;;;;;;;;;;;;
EVTOPTA211411;The matter is being discussed with ever vigor.;;;;;;;;;;;;;
DIM_maatschappij_javaan_title;Maatschappij tot Nut van den Javaan;;;;;;;;;;;;;
DIM_maatschappij_javaan_desc;\n\nA new 'Society to the Benefit of the Javanese' has been founded with the purpose to combat injustice against the Javanese, no matter the source. The society considers it a great sin that, in our name, that the Javanese should be exploited. Being the foremost Christian nation under God, it should fall to us to uplift the inlanders! Perhaps under our guidance can the Javanese can do away with their superstitions and join the ranks of civilized peoples. The society has started to raise money to fund Christian schools in the East.\nThe paternalistic nature of the society, however, has not fallen well with more liberal elements of our society. Multatuli, perhaps the foremost 'friend of the Javanese,' has published a damning commentary of their work: 'He who does indeed value Civilization does not ridicule her by spreading more or less illustrated school books, prints and atlases to those who he systematically exploits, abuses and murders.' ;;;;;;;;;;;;;
EVTOPTA211900;And Multatuli is right;;;;;;;;;;;;;
EVTOPTB211900;We are all sinners under God!;;;;;;;;;;;;;
DIM_cultuurstelsel_hoevell_title;Baron Van Hoevell;;;;;;;;;;;;;
DIM_cultuurstelsel_hoevell_desc;\n\n'People of the Netherlands, does a bloodguilt not burn on your consciousness? For two centuries has your flag flow on Java: For two centuries you have waived the scepter of domination: Millions upon millions have flowed to your treasure on the toiling of the inlanders: And you have returned nothing to them.' \n\nMember of Parliament Wolter Robert Baron van Hoevell has emerged as one of the strongest critics of our colonial administration of Java and the Cultuurstelsel in particular. Originally serving as a minister in Batavia, he was forced to leave the Indies due to his liberal and anti-governmental tendencies. Very popular in the Indies: it is said that when he left, he was sent of by 'half of Batavia.' As one of the few MPs who has actually visited the Indies, he described the situation there with great expertise and 'disturbing eloquence.';;;;;;;;;;;;;
EVTOPTA2114110;The chief of the colonial opposition indeed.;;;;;;;;;;;;;
DIM_BEL_nederlands_belgisch_taalcongress_title;A Belgian-Dutch Language and Literature Congress;;;;;;;;;;;;;
DIM_BEL_nederlands_belgisch_taalcongress_desc;\n\nWhile a large part of our population speaks Dutch, it has never been a very important language. At court, in government and among the bourgeoisie French is 'la langue preferee,' and Dutch is looked down onto with some disdain. This has left precious little room in our country for the development of the language. The situation is different of course by our neighbor to the north. The Dutch have proven more supportive of the Flemish, and both Dutch and Flemish scholars have now come together in Gent to discuss the language. The hope is to form a more unified and standardized language, and in imitation of German and French efforts, create an extensive dictionary.;;;;;;;;;;;;;
EVTOPTA210460;It is a done deal;;;;;;;;;;;;;
DIM_NET_nederlands_belgisch_taalcongress_title;The Nederlansch Congress;;;;;;;;;;;;;
DIM_NET_nederlands_belgisch_taalcongress_desc;One of the causes of the Belgian Revolution was our language policy. The majority of the elites, being Francophone, disdained Dutch and our efforts to make it the national language. It should thus come as no surprise that, after independence, French was swiftly elected as the official language. This has caused some resentment among the Flemish, who find it gives precious little room for their own cultural expression.\nIn an effort to strengthen the cultural base of Dutch in Belgium, Flemish language scholars have joined up with Dutch language scholars in Ghent for an international language and literature congress. The development and unification of the Dutch language is one of the main goals of the congress.;;;;;;;;;;;;;
EVTOPTA211590;A mental bridge of rapprochement and reconciliation;;;;;;;;;;;;;
DIM_NET_thorbecke_intro_title;Johan Rudolph Thorbecke;;;;;;;;;;;;;
DIM_NET_thorbecke_intro_desc;\n\nWith the newly published book 'Annotations to the Constitution' a young man by the name of Johan Rudolph Thorbecke has started making a name for himself in Liberal circles. The book, containing a detailed study of the nature and history of the constitution, has already sold over 1000 copies: an exceptionally large amount. It promises to be a standard work on the constitution for many years to come.;;;;;;;;;;;;;
EVTOPTA211551;It seems a new Liberal foreman has arisen;;;;;;;;;;;;;
DIM_NET_negenmannen_title;The Negenmannen;;;;;;;;;;;;;
DIM_NET_negenmannen_desc;\n\nDisappointed by our lack of constitutional reform, a group of 9 prominent Liberals have come together to propose their own constitution. Led by renowned statesman Thorbecke, they propose, among other things, a directly elected House of Representatives, based on census suffrage, full ministerial responsibility, reform of the senate, and better protection for the freedom of religion.;;;;;;;;;;;;;
EVTOPTA211550;This proposal, never, even if were next to the scaffold.;;;;;;;;;;;;;
EVTOPTB211550;I went to bed a conservative and woke up a liberal.;;;;;;;;;;;;;
DIM_NET_liberal_blackmail_title;Royal Blackmail;;;;;;;;;;;;;
DIM_NET_liberal_blackmail_desc;\n\nFor years now, 'a special kind of friend' of the King has been sending out letters to the elites pertaining to the King's 'private experiments.' So far, we have managed to protect the privacy of the king and contain the damage, generous bribes and occasional threats go a long way in this regard. \n\nUnfortunately the information has now found its way into the hands of radical liberals. While they themselves are not particularly interested or disturbed by the King's aristocratic vices, they apparently see it as leverage to effect political change. Unless we agree to institute a liberal constitution, they have warned the papers will quickly fill up with intimate stories of our King.;;;;;;;;;;;;;
EVTOPTA211552;Closet? What Closet?;;;;;;;;;;;;;
DIM_NET_willem_ii_outed_title;Willem II Ousted as a Bisexual;;;;;;;;;;;;;
DIM_NET_willem_ii_outed_desc;\n\nThe outrageous adventures of the King Willem II have been outed, and as to be expected, the people are not yet ready to accept such behavior. They are demanding for abdication of the King. He might claim that he loves both sexes, but the royal line has become suspect. It is unlikely people will accept one of the royal princes, as they may very well be a bastard.;;;;;;;;;;;;;
NEWS_willem_2_bi_title;Dutch King outed and ousted;;;;;;;;;;;;;
NEWS_willem_2_bi_long;Chaos and confusion as King Willem II of the Netherlands has been forced to abdicate following revelations in the newspapers about his 'private experiments.' As the king's 'unnatural tendencies' have caused the line of succession to become suspect, a succession crisis looms. The Kings' brother, Prince Frederik, has been suggested as successor, but the damage to the monarchy may have too great. Radical liberals are suspected to have leaked the information after failing to blackmail the king into accepting a liberal constitution.;;;;;;;;;;;;;
NEWS_willem_2_bi_medium;Chaos and confusion as King Willem II of the Netherlands has been forced to abdicate following revelations in the newspapers about his 'private experiments.' Radical liberals are suspected in an plot to blackmail the king to enforce political change.;;;;;;;;;;;;;
NEWS_willem_2_bi_short;Chaos and confusion as King Willem II of the Netherlands has been forced to abdicate after being outed in the newspapers. Radical liberals are implicated in plot to enforce political change.;;;;;;;;;;;;;
EVTOPTA211553;The blemish on the line is too great.;;;;;;;;;;;;;
EVTOPTB211553;What about the King's brother, Prince Frederik?;;;;;;;;;;;;;
DIM_PAP_herstel_bisschoppen_title;Restore the Ecclesiastical Hierarchy to the Netherlands;;;;;;;;;;;;;
DIM_PAP_herstel_bisschoppen_desc;Calvinism is the dominant faith in the Netherlands, and while perhaps Catholics have not faced the same level of prosecution as seen elsewhere (or indeed, Protestants have faced from Catholics elsewhere), they are discriminated against. The new Dutch constitution, however, attempts to right this wrong, and protects all religions, Catholics included, from discrimination. Under the constitution we can restore our bishops to the country, and restore the Catholic faith to its rightful place!;;;;;;;;;;;;;
DIM_afscheiding_1834_end_prosecution_title;Prosecution of the Secessionists;;;;;;;;;;;;;
DIM_afscheiding_1834_end_prosecution_desc;\n\nSome years ago a schism happened in the Dutch Reformed Church, with the more orthodox part seceding to form their own congregation. Spurred on by those following the official (liberal) doctrine, we have taken extreme measures to try and 'curb the evil.' The leader of the secessionist, dominee de Cock, has been imprisoned, and we have dispersed every sermon we could, fined those in attendance and billeted soldiers in their homes. All to no avail, as the movement is still going strong. Perhaps it is time to end this prosecution, and accept they are going their own way.;;;;;;;;;;;;;
EVTOPTA211532;It is time to recognize them as a separate church;;;;;;;;;;;;;
EVTOPTB211532;This will not stop until they have all returned to the fold;;;;;;;;;;;;;
DIM_NET_herstel_bisschoppen_title;Ex Qua Die Arcano;;;;;;;;;;;;;
DIM_NET_herstel_bisschoppen_desc;\n\nThe constitution of 1815 provided, in theory, for freedom of religion, but in practice Calvinism maintained the dominant faith. To keep Catholics subdued and away from power, barriers remained in place right up until the new constitution with its famous anti-discrimination clause.\n\nTaking advantage of the new constitution, the Pope has issued a Papal Bull, the 'Ex Qua Die Arcano,' to right the 'great injustices and evils' Catholics had suffered under the 'frenzy of the Calvinistic heresy' in our country. With this Bull the Pope ends the status of our country as target for missionaries, and restores the Ecclesiastical Hierarchy in our country. Five new Bishoprics have been created. In honor of Saint Willibrord, apostle of the Low Countries, the Pope has selected Utrecht as the site of the archbishopric of the Netherlands.;;;;;;;;;;;;;
EVTOPTA211560;Amen?;;;;;;;;;;;;;
NEWS_dutch_bishops_title;First Catholic Bishop in almost 300 Years in the Netherlands;;;;;;;;;;;;;
NEWS_dutch_bishops_long;Catholics in the Netherlands rejoice following the issuing of a Papal Bull restoring the Catholic episcopal hierarchy. The Pope had lost his flock in the 16th century as Calvinists rebelled against the Catholic Spanish king. Taking advantage the passing of a liberal constitution in the country, the Pope names the first Dutch Catholic bishop in almost 300 years.;;;;;;;;;;;;;
NEWS_dutch_bishops_medium;Catholics rejoice in the Netherlands as the Pope restores the Catholic episcopal hierarchy in that country. Catholicism has long been repressed in the Netherlands, yet this restoration promises to be a step in the right direction. All made possible by the new liberal constitution.;;;;;;;;;;;;;
NEWS_dutch_bishops_short;Catholics rejoice as the Catholic episcopal hierarchy is restored in the Netherlands. Pope reacts to passing of liberal constitution by 'returning the Word of God.';;;;;;;;;;;;;
DIM_NET_aprilbeweging_title;The April Movement;;;;;;;;;;;;;
DIM_NET_aprilbeweging_desc;\n\nA public storm of protest has gripped the Netherlands after the restoration of the Ecclesiastical Hierarchy in the Netherlands. In his Bull, the Pope had made many tactless moves, such as to claim to protect the Catholics from 'the frenzy of the Calvinistic heresy,' and naming Utrecht, the bastion of the Reformation, as the archbishopric. \n\nProtestants have not taken kindly to this, some even claiming the bull makes the 'King a slave of the Pope, even more than King Philip of Spain, murderer of William the Silent, would have wanted to be.' A motion sponsored by the conservatives, supported by over 200.000 signatures from the public, has now passed parliament asking the King to condemn this act of the Pope.;;;;;;;;;;;;;
EVTOPTA211561;If only we weren't tied to the Constitution...;;;;;;;;;;;;;
EVTOPTB211561;Condemnation it is! §RGain 1 infamy§!;;;;;;;;;;;;;
DIM_aprilbeweging;Aprilbeweging;;;;;;;;;;;;;
DIM_aprilbeweging_desc;The April Movement (Aprilbeweging) was the protestant and conservative protest against the restoration of the episcopal hierarchy in the Netherlands by Pope Pius IX. With this recovery is actually meant the re-establishment of the Dutch Roman Catholic church province with five dioceses, each headed by a bishop . The movement was also directed against the cabinet of Thorbecke I, which did not obstruct the Roman Catholic Church, on the grounds of the separation of church and state and the freedom of religion.;;;;;;;;;;;;;
NEWS_aprilbeweging_title;Religious tensions in the Netherlands;;;;;;;;;;;;;
NEWS_aprilbeweging_short;The recent restoration of the Catholic episcopal hierarchy has stirred up strong emotions as Pope call Calvinism heresy, and protestants question Catholic loyalty.;;;;;;;;;;;;;
NEWS_aprilbeweging_medium;The Dutch king recently took possession of 200.000 signature protesting the restoration of the Catholic episcopal hierarchy, claiming it makes 'the king a slave of the pope, more than even King Phillip II, murderer of William of Orange, ever wanted to be.';;;;;;;;;;;;;
NEWS_aprilbeweging_long;Deeply aggrieved the recent Papal Bull to restore the Dutch Catholic bishops, who also called the Dutch Calvinists 'heretics,' prominent politicians have, supported by 200.000 signatures, offered the king a petition asking to condemn the Papal bull. '[This bull makes] the king a slave of the pope, more than even King Phillip II, murderer of William of Orange, ever wanted to be,' says protester foreman. The king has taken possession of the signatures and declared his sympathy with the protesters, further polarizing the situation.;;;;;;;;;;;;;
DIM_NET_a_visit_to_Utrecht_title;A Visit to Utrecht;;;;;;;;;;;;;
DIM_NET_a_visit_to_Utrecht_desc;\n\nThe King's recent visit to Utrecht has been quite a sight! The local newspapers had called upon the populace to reject the liberal constitution and come out to hail the king. Fireworks was sent up into the sky, the streets were decorated triumphal arches, the Prinsenvlag (Prince's Flag) flying from the homes, while children sang praise to the King. The entire city turned out to greet the King, except the Catholics, who wisely chose to remain at home. Even so there were rumors about a possible coup d'etat, which the King's entry into the city as a triumphant general certainly did not quell.\n\nThe choice of Utrecht as archbishopric is particularly painful for the Protestants: it is where the Union of Utrecht was signed in 1579, liberating the country from the Catholic domination of the Spanish.;;;;;;;;;;;;;
EVTOPTA211562;It was a pleasant, festive and quiet day.;;;;;;;;;;;;;
EVTOPTB211562;Thank the people for their support.;;;;;;;;;;;;;
DIM_NET_the_end_of_thorbecke_title;An Indiscreet King;;;;;;;;;;;;;
DIM_NET_the_end_of_thorbecke_desc;\n\nAccording to journalists, the King has made some 'undiplomatic' statements in regard to the anti-Catholic sentiment sweeping the nation. He is reported to be of the opinion that this sentiment has caused: "the bond between the House of Orange and the Fatherland to be closer and dearer to his heart." He is also reported to have said that there have been 'many tense moments' between himself and the government.\n\nThis is a clear violation of the trust between King and the government. To preserve the illusion of concord between King his government, this can only end in one of two ways: either the King retracts, or the government falls.;;;;;;;;;;;;;
EVTOPTA211563;The Government Falls;;;;;;;;;;;;;
EVTOPTB211563;The King Retracts;;;;;;;;;;;;;
NET_jacobs_university_app_con_title;Women in Universities?;;;;;;;;;;;;;
NET_jacobs_university_app_con_desc;\n\nWhile women have been enrolled in education for some time now, universities have always remained reserved for men. And with good reason - Women are undoubtedly not of the intellectual caliber to excel at the academic level, so what would they be doing at university? Distracting the male students, that's what! Better to teach them knitting. Who would marry a women who could not knit? No, women are better off not going to university.\nNow oddly enough, you received a letter from a young woman, a certain miss Aletta Jacobs, who would like to challenge that assumption. She has already completed a lower education to apothecary, and has now expressed her desire to attend university and become a physician. A physician! The nerve! Well granting her permission would satisfy the more liberal elements in society, and when she fails, point proven!\nSo we'd better send a letter to her father informing him his daughter is to...;;;;;;;;;;;;;
EVTOPTA211500;...prepare for classes.;;;;;;;;;;;;;
EVTOPTB211500;...start learning knitting.;;;;;;;;;;;;;
NET_jacobs_university_app_lib_title;Women attending universities?;;;;;;;;;;;;;
NET_jacobs_university_app_lib_desc;\n\nWhile women have been enrolled in education for some time now, universities have always remained reserved for men. There is this odd presumption that women lack the intellectual caliber to excel at the academic level, and would thus be nothing more than a distraction for the male students. Furthermore it is thought it is better to educate women in more practical matters - making it easier for them to be wed and care for children.\n\nNow as it happens, you recently received a letter from a young woman, a certain miss Aletta Jacobs, asking permission to attend university and study to become a physician. She has already successfully completed an lower education as apothecary, and she shows potential. This might be the perfect opportunity to try and improve the prospects of women.\nWe'd better send a letter to her father informing him his daughter is to...;;;;;;;;;;;;;
NET_jacobs_university_gra_con_title;Aletta Jacobs Graduates?!;;;;;;;;;;;;;
NET_jacobs_university_gra_con_desc;\n\nA few years ago, a certain Miss Aletta Jacobs started studying at University of Groningen, the first woman to do so in $COUNTRY$. Expecting her to drop out shortly, she was allowed to do so, as her dropout would have silenced any voices questioning the rightful place of women. Not only did she not fail, Miss Jacobs went on to get her Doctorate as well. Today, she presented her dissertation to the Queen - 'On the Localization of Physiological and Pathological Phenomena in the Cerebrum', it is called. She has expressed her wishes to open a women's clinic in Amsterdam, but has opted to move to London first to gain working experience in a women's clinic.;;;;;;;;;;;;;
EVTOPTA211502;What is next? Voting for women?;;;;;;;;;;;;;
NET_jacobs_university_gra_lib_title;Aletta Jacobs Graduates!;;;;;;;;;;;;;
NET_jacobs_university_gra_lib_desc;\n\nA few years ago we granted permission to a certain Miss Aletta Jacobs to study Medicine at the University of Groningen. The first female student on any university in the country. Succeeding beyond our wildest expectations, she presented her dissertation to the Queen - 'On the Localization of Physiological and Pathological Phenomena in the Cerebrum', it is called. She has expressed her wishes to open a women's clinic in Amsterdam, but has opted to move to London first to gain working experience in a women's clinic.;;;;;;;;;;;;;
EVTOPTA211503;Her example should serve as an inspiration to all women!;;;;;;;;;;;;;
NET_jacobs_voting_title;Aletta Jacobs demands voting rights!;;;;;;;;;;;;;
NET_jacobs_voting_desc;\n\nAs voting requires a certain tax rate to be paid, voting has always been a male privilege. There are no women who earn enough to qualify. That is, except for a certain miss Aletta Jacobs. After graduating from the University of Groningen, she opened a women's clinic in Amsterdam. She now unequivocally satisfies the wealth criterion, and has asked the city of Amsterdam to add her name to the voting register. Which the city of Amsterdam naturally declined, the spirit of the law is clear: it was ever only intended to grant men the right to vote. Unsatisfied, Miss Jacobs has now taken the issue up to the highest court, arguing the letter of the law makes no distinction between men and women. As such she should be allowed to vote.\n\nThe High Court has reached its verdict. What does it decide?;;;;;;;;;;;;;
EVTOPTA211504;If the law meant to include women, it would have explicitly said so.;;;;;;;;;;;;;
EVTOPTB211504;The law can only be taken to mean women should be allowed to vote.;;;;;;;;;;;;;
NET_jacobs_voting2_title;Suffragettes Rally!;;;;;;;;;;;;;
NET_jacobs_voting2_desc;\n\nWith the recent granting of universal suffrage the fight for women suffrages has intensified. On a recent suffragette rally miss Aletta Jacobs has once again called for the right to vote. She is cited as saying: 'It is from the difference between men and women that we derive the primary and strongest argument for the opinion both should be involved in the discussion concerning the public good, on the treatment of societal questions, on the formulation of laws [...] for only then are we ensured questions of public good are not judged one-sidedly.';;;;;;;;;;;;;
EVTOPTA211505;Can't she just shut up...?;;;;;;;;;;;;;
EVTOPTB211505;...Perhaps if we grant them voting rights.;;;;;;;;;;;;;
EVTOPTC211505;The real mistake was allowing them to study in the first place.;;;;;;;;;;;;;
NET_vvkr_title;The Vereeniging voor Vrouwenkiesrecht;;;;;;;;;;;;;
NET_vvkr_desc;The recent granting of universal suffrage has spurred on the creation of the Vereeniging voor Vrouwenkiesrecht ('Society for Woman-suffrage'). Founded by Aletta Jacobs and Wilhelmina Drucker, they are already taking to the streets demonstrating their cause. The newspapers are calling it scandalous: 'For one to obtain the privilege of voting, one first has to respect the law!';;;;;;;;;;;;;
EVTOPTA211497;Indeed they do!;;;;;;;;;;;;;
NET_vrouwtentoon_title;National Women's Crafts Fair;;;;;;;;;;;;;
NET_vrouwtentoon_con_desc;The preposterous proposition of women's rights has reached new heights. The various suffragette movements have decided to come together and organize a Woman's Crafts Fair! This exhibition will form a display of women's ideas, works and products, 'celebrating' their 'accomplishments' in the arts, literature, science and industry. The fair is intended to raise support for gender equality and inspire young women to take up the cause.\n\nCompletely run by women, how can it be anything but a complete failure?;;;;;;;;;;;;;
EVTOPTA211498;In fact, 100,000 people would visit it in less than 2 months.;;;;;;;;;;;;;
NET_vrouwtentoon_lib_desc;The noble, yet slightly misguided, ideal of women's rights has reached a new level. The various suffragette movements have decided to come together and organize a Woman's World's Fair! This exhibition will form a display of women's ideas, works and products, celebrating their accomplishments in the arts, literature, science and industry. Completely run by women, the fair is intended to raise support for gender equality and inspire young women to take up the cause.;;;;;;;;;;;;;
DIM_knaud_kris_title;A Historic Kris;;;;;;;;;;;;;
DIM_knaud_kris_desc;In South Asian culture, a Kris, an asymmetrical, usually curvy, dagger, is a spiritual and sacred object. Imbued with magical powers, they are thought to be inhabited by spirits and as such are 'almost alive.' Care of Krisses is subject to great ceremony and ritual. Should the owner be negligent, the Kris might kill him in his sleep. Should the owner, however, be generous, the Kris will protect him and imbue him with valor.\nRecently, the crown-prince of one of our Princely States fell ill. Neither our western physicians, nor the local Dukun proved capable of helping. In a desperate move, the prince asked the renowned 'White Dukun,' a Dutchman educated in both western and indigenous medicine, for help. Finding it as a case of guna-guna, the White Dukun worked his magic and managed to cure the crown-prince. For his efforts in securing the succession, the prince awarded the White Dukun with his most precious pusaka: an ancient Kris.;;;;;;;;;;;;;
EVTOPTA211490;A beautiful gift.;;;;;;;;;;;;;
DIM_NET_uitbreiding_amsterdam_title;The Expansion of Amsterdam;;;;;;;;;;;;;
DIM_NET_uitbreiding_amsterdam_desc;\n\nThe city of Amsterdam has reached the limits of its population capacity, the green courtyards behind the mansions and even the alleyways between them are filling up with slums. The squalor of these slums is so great that inhabitants rarely see the sun, or smell fresh air. Unsurprisingly, the city is prone to outbreaks of disease such as tuberculosis or cholera.\n\nWith the expectation of even further growth of the city, a new plan has been presented for the expansion of the city, promising large sweeping green-spaces, wide avenues and room for spacious mansions. Unfortunately, it is also a very expensive plan, a more modest plan has also been presented, providing vastly superior housing compared to the slums, but sacrifices the large green spaces and avenues for more houses and cheaper execution. Which plan shall be implemented?;;;;;;;;;;;;;
EVTOPTA211489;Plan Kalff - The Limited Option.;;;;;;;;;;;;;
EVTOPTB211489;Plan Van Niftrik - the Full Plan.;;;;;;;;;;;;;
EVTOPTA211488;Very interesting.;;;;;;;;;;;;;
EVTOPTA211474;Well at least we got a few updated maps out of it.;;;;;;;;;;;;;
DIM_NET_etna_expedition_returns_title;The Etna Expedition Returns;;;;;;;;;;;;;
DIM_NET_etna_expedition_returns_desc;The expedition sent to explore the coast of New Guinea has returned. In the past few months they have made extensive maps of the coast of New Guinea - not only of the currents and water depths, but also of suitable locations for future colonial outposts, invaluable information to us should we decide to expand our colonial holdings. On the naturalist side, the expedition was less successful - A large number of hitherto unknown species of birds were discovered, and promptly killed for preservation, aside from those samples, a large collection of stones and minerals was also brought back. However, no grand discoveries were made. \n\nRather unexpectedly, the expedition ran into the English naturalist Alfred Russel Wallace at an isolated German mission post. The man is doing research into the development of species, and claims to be on the verge of a major scientific breakthrough.;;;;;;;;;;;;;
DIM_NET_etna_expedition_returns_success_desc;The expedition sent to explore the coast of New Guinea has returned. In the past few months they have made extensive maps of the coast of New Guinea - not only of the currents and water depths, but also of suitable locations for future colonial outposts, invaluable information to us should we decide to expand our colonial holdings. On the naturalist side, the expedition was fairly routine - A few new bird species discovered, some interesting rocks, but nothing to get to excited about. That is until, rather unexpectedly, the expedition ran into the English naturalist Alfred Russel Wallace at an isolated German mission post. The man had been traveling the archipelago to research the introduction of new species. Impressed by our expedition, he saw an opportunity for collaboration and joined the expedition. Claiming to be on the verge of a major scientific breakthrough, he has promised to give credit where credit is due.;;;;;;;;;;;;;
DIM_NET_etna_expedition_failure_success_desc;The expedition sent to explore the coast of New Guinea has returned, early. The expedition started off well, successfully mapping the currents and depth of the western half of the island, gathering naturalist samples. \n\nHowever, on one of the naturalist excursions into the forest, the expedition members disappeared! The soldiers went into the forest after them, but were unable to locate them. Later that night, bright fires could be seen from deep within in the forests. \n\nWe can only assume the worse...;;;;;;;;;;;;;
DIM_socialist_colonial_protest_title;Anti-Colonial Protest;;;;;;;;;;;;;
DIM_socialist_colonial_protest_desc;\n\nAnti-Colonial sentiment is rising among the socialist sections of our populace. Strong opponents of $COUNTRY_ADJ$ rule in the East, they feel our system amounts to little more than oppression of the natives: with virtually all production factors in the hands of either our citizens or the inlander Heads, it is in direct contrast to their ideal of social ownership. They are furthermore abhorred by our use of violence against the inlanders to maintain and extend our rule. The compare our colonial campaigns, the inlander struggles against them, to our own struggle against the Spanish, or to that of our brothers, the Boers, against the British.;;;;;;;;;;;;;
EVTOPTA211487;Traitors I say, traitors.;;;;;;;;;;;;;
EVTOPTB211487;Their argument does have some merit.;;;;;;;;;;;;;
DIM_socialist_end_war_title;End of the Atjeh War;;;;;;;;;;;;;
DIM_socialist_end_war_desc;The socialists have long been opponents of our colonial rule in the East. Especially offensive to them are our colonial campaigns to extend our rule. They have compared the Atjehnese resistance to our own struggle against the Spanish, or the struggle of the Boers against the British. As such the socialists have taken it upon themselves to negotiate a peace with the Atjehnese.;;;;;;;;;;;;;
EVTOPTA211486;End the war.;;;;;;;;;;;;;
DIM_batavia_revolutie_title;The Batavian Revolution;;;;;;;;;;;;;
DIM_batavia_revolutie_desc;\n\nInspired by events in Europe, a group of prominent citizens has gathered in Batavia to protest the educational policy, or more specifically the lack thereof, in the East Indies, leaving most without any education whatsoever. Only those who can afford it, Europeans and Indo-Europeans alike, resort to sending their children to the motherland for an expensive private education. This is almost a legal requirement, as only those who have studied at the Royal Academy in Delft are eligible for official posts in the East. The protesters are demanding the revision of the educational system: the end of the 'Delft Monopoly,' the opening of more and better schools, and the end of the discrimination against Indo-Europeans. Furthermore they are demanding more personal and economic freedoms: freedom of the press, the end of the autocratic government, a liberalization of trade, the end of slavery, and the revision of the local currency.;;;;;;;;;;;;;
EVTOPTA211482;Who do they think they are?;;;;;;;;;;;;;
EVTOPTB211482;It is time for reform.;;;;;;;;;;;;;
batavian_revolt;The Batavian Reforms;;;;;;;;;;;;;
NEWS_batavian_revolution;Tensions erupt in the Dutch East-Indies;;;;;;;;;;;;;
NEWS_batavian_revolution_short;As revolutions sweeps Europe, her colonies are not spared the upheaval. In the Dutch East Indies, police recently had to be sent in to disperse crowds protesting discrimination polices there.;;;;;;;;;;;;;
NEWS_batavian_revolution_medium;Long a loyal and willing outpost of the Dutch Empire, the atmosphere has recently turned sour in Batavia. Inspired by the events in Europe, liberals have gathered to demand an end to discriminatory practices from the Dutch government against her colonial citizens.;;;;;;;;;;;;;
NEWS_batavian_revolution_long;As revolutionary spirit grips Europe, it is important keep on reporting the news from the world around us. The Dutch East Indies, for example, would appear to be at the verge of revolution. Outraged by the lack of democracy and educational opportunities in the Dutch colony, a large group of prominent businessmen and other social elites recently gathered in anger Batavia. Such was the anger of those gathered that police forces had to be called in to contain it and disperse the crowds. The situation has quiet down since then, but a tense situation remains.;;;;;;;;;;;;;
DIM_NET_buitenzorg_paleis_title;The Buitenzorg Palace;;;;;;;;;;;;;
DIM_NET_buitenzorg_paleis_desc;The Buitenzorg Palace has served as main administrative center for the East Indies since the middle of the 18th century, but was destroyed by an earthquake in 1834. We have finally finished rebuilding the palace. The original palace had three floors, but, as future protection against earthquakes, the new palace only has one. Of particular importance is ''s Lands Plantentuin' (the botanical gardens) surrounding the palace. Originally founded as a forest for rare species of plants during the Sunda Kingdom, they currently serve a primary research institute for the development and cultivation of new species of plants. As such, it is one of the most important institutes of tropical research in the world, and of vital importance to the plantation economy on Java.;;;;;;;;;;;;;
DIM_kina_aanplant_failed_title;Cinchona Tree crop fail;;;;;;;;;;;;;
DIM_kina_aanplant_failed_desc;\n\nThe Cinchona plants we smuggled out of Peru have failed to take hold in the East. It might be because they did not survive the trip, the care they received was inadequate, they were planted in the wrong location, or the Indies may very well be unsuited for the growth of the plant. Either way, without this plant it will be impossible to establish our own malaria medicine industry, and we will be subject to the whims of other powers.;;;;;;;;;;;;;
DIM_kina_aanplant_success_title;Cinchona Tree takes hold;;;;;;;;;;;;;
DIM_kina_aanplant_success_desc;\n\nThe Cinchona plants smuggled from Peru have been successfully planted in the botanical garden at Buitenzorg. Of the 500 cuttings, only 75 survived the trip, but they have provided enough cuttings to establish a viable culture. The Netherlands now control a supply of malaria medicine..;;;;;;;;;;;;;
DIM_kina_new_species_title;New Species of Cinchona;;;;;;;;;;;;;
DIM_kina_new_species_desc;\n\nA new species of Cinchona has been imported to the Indies. The bark of this species contains a significantly higher percentage of quinine (up to 10% of the bark, instead of 3%), the active ingredient in malaria medication.;;;;;;;;;;;;;
EVTOPTA211480;We'll try again. §RGain 0.5 infamy§!;;;;;;;;;;;;;
