schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
RGADEADAF;With our newfound victory over the Algerians, we must continue the fight against the tribesmen who are holding out, rallying in the hinterland against colonial rule. Hussein Bey, the former ruler of Algeria has fled to his strongholds in the East surrounding Constantine, as the populace has lost all confidence in his rule due to his defeat. In this power vacuum, a new figure has emerged: Abdelkader ibn Muhieddine, a minor sharif and islamic scholar has rallied the tribes to resist us in unison. We know, however that such backwards, unorganized rabble cannot stop us! Soon, all of Algeria shall be ours! Vive la France!;;;;;;;;;;;;;
FRANCETROLLED;France has pathetically attempted to conquer our great nation, and they have failed, as they had failed in Egypt in 1800, Haiti in 1804, and Russia in 1812. It is time to choose to either move forward as an independent nation or reapproach the Ottoman Empire for protection.;;;;;;;;;;;;;
ANDOURENA;It is time to decide our policy of on the new settlers in Algeria and what they shall recive from the French state.;;;;;;;;;;;;;
TUZCUOGLUREVOLTS;A rebellion has risen within the Sanjak of Lazistan, resisting the installment of derebeys--local governors--who are cruel and care most about consolidating Ottoman control. This comes as a result of a blood feud between the Hazinedaroglu and Tuzcuoglu families, both of whom have vied for control of Lazistan as derebeys. Derebey Adjara Osman Hazinedaroglu has used his authority to levy large taxes on his subjects, which contributed to food scarcity in 1829 and 1830. Locals have now begun to stop paying taxes and rebel, with rival Derebey Tahir Aga Tuzcuoglu as their leader. We cannot allow Tuzcuoglu to continue his defiance. We must put an end to the rabble.;;;;;;;;;;;;;
TUZCUOGLUCRUSHED;Lazistan has been pacified and plundered by our army. With the Tuzcuoglu family removed from power, we can tighten our grip on the province and ensure its governors will be unconditionally loyal to us.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_PLS_EGY;The Peasants' revolt in Palestine;;;;;;;;;;;;;
NORMAL_WAR_NAME_PLS_EGY;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
AGRESSION_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
NORMAL_WAR_NAME_ALA_EGY;The Alawite Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Laz Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_TUR_PNT;The Laz Uprising;;;;;;;;;;;;;
uruguay_const_1830_title;The Uruguayan Constitution of $YEAR$;;;;;;;;;;;;;
uruguay_const_1830_desc;Inspired by the liberal ideas of the American and French revolutionaries, calls for a constitution firmly establishing Uruguay as a representative democracy are echoing within the government. Under this constitution, Uruguay will be represented by a president and a two-chamber legislative branch consisting of the Chamber of Representatives and the Chamber of Senators. Meanwhile, supreme legal power will be put in the hands of the Supreme Court of Justice. The constitution will also strengthen the federal government's authority--so much so that our country will be considered a unitary republic. Nevertheless, the constitution's passing will be a firm, welcomed step in the direction toward equality and justice.;;;;;;;;;;;;;
anglo_ashanti_treaty_title;The Anglo-Ashanti Treaty;;;;;;;;;;;;;
anglo_ashanti_treaty_desc;Border conflicts with the Ashanti Empire have been a constant occurrence since we first established our colony on the Gold Coast. With it obvious, though, that the Ashanti cannot fully repel our troops and retake that land, perhaps we should send them an ultimatum. We shall force an agreement that our borders will lie on the opposite banks of the Pra River, the natural boundary of the Gold Coast colony. Of course, there's nothing stopping us from eventually breaking this treaty and conquering them entirely.;;;;;;;;;;;;;
EVTDESC16051835;Border conflicts with the British are continuing with no end in sight, lest one of us falls entirely or agrees to peace terms. Britain has come to us with an ultimatum: that we recognize their sovereignty over the Gold Coast colony and share a natural border along the Pra River. This will put us at peace for the meantime and, unfortunately, leave our brethren on the coast at Britain's whim. But war is tiring, and we've certainly had our share of it.;;;;;;;;;;;;;
EVTDESC16051836;The Ashanti have accepted our peace offer. We can lay down our arms and rest assured that the next time we go to war with them, they will stand no chance.;;;;;;;;;;;;;
EVTDESC16051837;Our peace offer to the Ashanti Empire is dead in the water. If we ever felt guilt over killing these poor tribespeople--well, think back to how they turned Colonel Governor McCarthy's skull into a gold-plated drinking cup. Now we can look forward to drinking wine aplenty from their skulls.;;;;;;;;;;;;;
romania_semiconst_1831_title;The Regulamentul Organic;;;;;;;;;;;;;
romania_semiconst_1831_desc;While the Romanian principalities of Wallachia and Moladvia are Ottoman vassals, we have retained garrisons in them since the war of 1828-29. The populace is becoming increasingly resentful of this, especially as we have confiscated Wallachia and Moldavia's treasuries for the time being. It is up to us to shape their governments for the better and hand them back control over their finances. The proposed Organic Regulation would form the organic law, or legal system forming the basis of government, of the principalities. It would establish a national assembly in Iasi and Bucharest elected by no more than 3000 of the most influential citizens. Furthermore, the Organic Regulation would, among other things, ensure the independence of the judiciary and establish a poll tax in place of the old indirect taxes.;;;;;;;;;;;;;
REGULAMENTULORGANIC;Russia has imposed a legal system forming the basis of government on us:  the so-called Regulamentul Organic, or "Organic Regulation." This semi-constitutional document returns to us the Russian-confiscated treasury, establishes a national assembly elected by the three thousand most influential citizens, ensures the independence of the judiciary and replaces the old indirect taxes with a poll tax among many other reforms.;;;;;;;;;;;;;
REFORMISTREVOLUTION;The government of José María Vargas has become opposed by a growing movement for the restoration of Gran Colombia. The rebels are led by heroes of the war of independence, including Santiago Mariño, Diego Ibarra and José Laurencio Silva, all formerly loyalists to the bolivarian cause. They have rallied their forces in the city of Maracaibo and begun marching East to take Caracas. Now, in turn, José Antonio Páez, the man who split Venezuela from Gran Colombia and spelled its doom has returned from retirement and assembled militia to join the struggle on the government's side. It seems that the old rivalry between proponents and detractors of Gran Colombia is to play out one final time--on the battlefield.;;;;;;;;;;;;;
peru_const_1834_title;The Peruvian Constitution of $YEAR$;;;;;;;;;;;;;
peru_const_1834_desc;Now that the Bermudists have been defeated, we can finally set about finishing the new constitution. The proposed draft mostly reiterates the 1828 constitution and follows its liberal spirit but makes some adjustments to combat instability which has been experienced since. For example, the post of vice-president would be removed due to the bad contact of former VP Antonio Gutiérrez de la Fuente. Another example is the prohibition of immediate presidential reelection, a tactic used by Augustín Gamarra to elongate his presidency.;;;;;;;;;;;;;
CONSTITUTIONALCONGRESSPRU;The 1828 Constitution had agreed that in 1833, five years later, a new constitution would be formulated to adapt to the new situation of our country and possibly implement a federal system. Thus, a constitutional congress has gathered and heald a vote to elect a provisional president until the new constitution is finished. Pretenders for the position were the liberal Luis José de Obregoso, the conservative Pedro Pablo Bermúdez and the independent Domingo Nieto. Obregoso won with 47 votes to Bermúdez's 36 and Nieto's 1.;;;;;;;;;;;;;
CONSTITUTIONALCIVILWAR;Pedro Pablo Bermúdez has rejected the result of the constitutional convention's election of José de Obregoso and risen up in revolt, beginning a civil war. While Bermúdez enjoys the support of most of the army, the populace of Lima and Arequipa are on the side of Obregoso, forcing Bermudist troops to retreat from the cities, unable to capture them with the adamant opposition of the populace.;;;;;;;;;;;;;
eventtwo_bermudists;The Civil War of 1834;;;;;;;;;;;;;
belgium_const_1831_title;The Belgian Constitution;;;;;;;;;;;;;
belgium_const_1831_desc;Belgium's existence is extraordinary, considering how divided along linguistic and cultural lines our two major ethnic groups are. Nevertheless, it is our duty to consolidate our brand-new nation, uniting the Flemish, the Walloons and the small German minority. We shall create a constitutional monarchy, a compromise between liberals and the conservatives. The state will have three branches of government and afford privileges to the Catholic Church. Basic freedoms such as that of expression, worship, and the press will be guaranteed. However, only landed subjects will be able to vote.;;;;;;;;;;;;;
BELGIANANTHEM;La Brabançonne, the song that has become a rallying cry and source of Belgian nationalism, was not, in fact, been written by a Belgian. A French mercenary serving in Brussels, known by the alias Jenneval, composed the original poem the song is based on before dying in action. The title refers to inhabitants of the region of Brabant, where Brussels is located. The poem originally scolded rioters during the revolution and claimed the Dutch Prince of Orange would be the "example of kings" and "father of Belgians" if he granted Belgium independence. However, following the bombardment of Antwerp, he wrote a second version condemning the Dutch for their brutality. An arrangement with the second version's lyrics, set by François van Campenhout to the tune of "L'Air des lancers polonais" ("Song of the Polish Lancers"), has immediately gained popularity among our people.;;;;;;;;;;;;;
BELGIUMNEEDSAKING;Although our constitution declares us a constitutional monarchy, as of yet we lack a monarch. Three options have been debated: Firstly, the Duke of Nemours, son of revolutionary king Louis-Philippe of France. Secondly, Leopold of Saxe-Coburg-Gotha, a member of the British royal house. Thirdly, a minor noble. The French candidate, while ensuring French protection would surely be concerning to the UK and Prussia who would see it as an increase in revolutionary influence in Europe. On the other hand, the British candidate would probably have some strings attached.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRANCE;Belgium has sent us an emissary to propose the coronation of the Duke of Nemours, son of king Louis-Philippe as king of Belgium. While this would give us much influence over Belgium, it would surely attract the ire of the British and Prussians. Additionally, Belgium's industry, which is larger than ours, would, by increased interaction with our economy, hurt French artisans.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRBEL;King Louis-Philippe has given the go-ahead to the coronation of the Duke of Nemours. Celebrations have begun amid his arrival in Brussels. Belgium finally has a king, and a popular one at that!;;;;;;;;;;;;;
BELGIUMNEEDSABONKFR;The Duke of Nemours, son of king Louis-Philippe of France, has been crowned king of Belgium at the bequest of the provisional government. This act spreads the influence of the French revolution further throughout Europe and endangers the old order. With the Louis-Philippe's son on the throne, Belgium is now a French protectorate in all but name.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRNO;Louis-Philippe has refused to let his son become king of France. The reason he gives for this is twofold: On the one hand, he does not wish to raise the ire of the other European powers, specifically Prussia and the UK, by extending his influence. On the other hand, Belgium's industry far outmatches France's and economic intermingling between the two would hurt French artisans.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGBRIISH;Belgium has sent us an emissary proposing the coronation of Leopold of Saxe-Coburg-Gotha as their king. While it would definitely increase our influence on Belgium, we would get mixed up in their ongoing conflict with the Dutch. An agreement called the "Treaty of the Eighteen Articles" has been proposed which would agree to the coronation of Leopold under the condition that the matters of Limburg and Luxembourg are for Britain to decide.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGFRNOBLE;The British have outright refused to let Leopold of Saxe-Coburg-Gotha become our king, wanting to have nothing to do with our revolutionary state.;;;;;;;;;;;;;
BELGIUMNEEDSAKINGENGYES;The British have given the OK to the coronation of Leopold of Saxe-Coburg-Gotha. He has already arrived in Brussels amid much jubilation. Belgium finally has a king, and a popular one at that!;;;;;;;;;;;;;
BELGIUMAKINGENGTROLL;The British have agreed to have Leopold be crowned king of Belgium. However, they have demanded that we first sign the so-called "Treaty of the Eighteen Articles." This document would give Britain ultimate authority to decide the fate of Limburg and Luxembourg.;;;;;;;;;;;;;
BELGIUMAKINGENGTROLLNO;Belgium has agreed to sign the Treaty of the Eighteen Articles in faith that we will make a fair judgement over the issue of Limburg and Luxembourg. Leopold of Saxe-Coburg-Gotha will, after all, be king of Belgium.;;;;;;;;;;;;;
BELGIUMAKINGENGTROLLYES;Belgium has refused to sign the Treaty of the Eighteen Articles, for they lack faith that we will make a fair judgement over the issue of Limburg and Luxembourg. Leopold of Saxe-Coburg-Gotha will not, after all, be king of Belgium.;;;;;;;;;;;;;
BELGIUMINDEPENDENCE;Rebel leaders have formed a provisional government to cooperate and organize the revolt into a formidable united force. Today, they have finally declared the independence of "Belgium," a Catholic state encompassing Luxembourg, Wallonia, Flanders and Limburg. All these lands are, aside from a few forts still held by our troops, in the hands of the rebels. They have already begun reaching out to other European powers in pursuit of recognition. After the disaster in the September Days, our army is in too much disarray to fight. Our only option is biding our time and invading once we have built up our strength and licked our wounds.;;;;;;;;;;;;;
SEPTEMBERDAYS;A force of 12,000 soldiers under the leadership of Prince Frederick marched into Brussels, determined to restore order. Yet they were completely unprepared for the challenge they faced: seemingly every inhabitant is on the side of the rebellion. The soldiers were embattled from all sides and constantly under fire. The raw ferocity and determination of the populace brought the organized army to its knees, unable to hold in face of such opposition. After four days of fighting, they were routed and fled North in disarray. This humiliating defeat has solidified the rebels' position and cast doubt on whether we shall ever be able to retake the south.;;;;;;;;;;;;;
BRUSSELSRIOTS;Tensions have long been rising in our Catholic southern provinces due to grievances, including but not limited to the following: underrepresentation of Catholics in the General Assembly, the south having to pay for the larger debt of the north, Protestant domination of government ministries, and inadequate freedoms of press and assembly. With news of the successful recent revolution in France, the situation has escalated. A large group of opera-goers began rioting in the streets after attending The Mute Girl of Portici, a sentimental and patriotic opera set during an Italian 17th-century uprising against Spanish rule. Droves of inhabitants joined the mob, which proceeded to storm government offices. Now, a day later, the mayhem has only worsened, spreading across the south and driving our forces into retreat.;;;;;;;;;;;;;
THEFLAHAUTPLANENG;France has proposed that we partition Belgium instead of recognizing it. We would receive Ghent and Antwerp, while France would get Wallonia and Brussels, Prussia would be given Luxemburg and Liège, and the Dutch would receive Limburg and Hasselt. Antwerp's port would be the most likely to be used to launch an invasion of our isles with its large, close port. Thus, its control would be immensely beneficial to our defense.;;;;;;;;;;;;;
THEFLAHAUTPLANPRU;France has proposed that we partition Belgium instead of recognizing it. We would receive Luxemburg and Liège, while France would get Wallonia and Brussels, the UK would be given Ghent and Antwerp, and the Dutch would receive Limburg and Hasselt. Luxemburg and Liège have a large German population that would gladly join us in the future pursuit of German unification. The area is also rich in coal and iron.;;;;;;;;;;;;;
THEFLAHAUTPLANFAILS;Other powers in Europe have refused to agree to the Flahaut plan, denouncing it as unjust to the Belgian cause and unfairly imbalanced to favor us. Thus, without support of the others, the plan cannot go ahead.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDS;With the other powers enthusiastically agreeing, Belgium is soon to be no more. As they have no chance against our combined might, the partition is already proceeding without opposition.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDSBEL;France, the UK, Prussia and the Netherlands have agreed to partition us in the so-called Flahaut Plan. Faced with the might of all Western European great powers working together, we have no choice but to surrender.;;;;;;;;;;;;;
THEFLAHAUTPLANSUCCEEDSNET;France, the UK and Prussia have worked out a deal to partition Belgium in the so-called Flahaut Plan. Faced with the might of all Western European great powers working together, Belgium has no choice but to surrender. We will receive Limburg and Hasselt--a fraction of the territory lost, but still better than nothing.;;;;;;;;;;;;;
flauhaut_plan_title;The Flahaut Plan;;;;;;;;;;;;;
flauhaut_plan_desc;Belgium has no right to exist. Its people speak Dutch, French and German, an amalgamation utterly undeserving of a nation-state of its own. Therefore, it would be best to divide its lands. With us receiving Wallonia and Brussels, Prussia getting Luxembourg and Liège, the UK being given Antwerp and Ghent, and the Netherlands receiving Limburg and Hasselt, the Western European great powers would surely all be on board.;;;;;;;;;;;;;
ASSAMQUESTION;The Assamese kingdom of Kachari was assisted by British forces in its liberation from Burmese occupation in the Anglo-Burmese War. It makes up part of the larger region of Assam, a strip of land above Bengal comprising the fertile Brahmaputra river valley. The previous king of Kachari, Govinda Chandra Hasnu, has died and is succeeded by an heir friendly to British interests. This heir, Senapati Tularam Thaosen, is willing to give up the throne in exchange for British protection--allowing us to annex Kachari into the East India Company.;;;;;;;;;;;;
assam_puppetted_title;Install Purandar Singha;;;;;;;;;;;;;
assam_puppetted_desc;We would love nothing more than to control all of Assam for its rich farmland and the expansion of Britain's markets in India. The locals, however, do not easily consent to foreign rule. There is a way around this: we could restore native autonomy in the region by installing a king as tributary. The king we have in mind is Purandar Singha, a prince of the Ahom Kingdom. Under our plan, he will be installed as a ruler in Upper Assam, guaranteeing our undisputed dominance in the region without directly governing it.;;;;;;;;;;;;
AGRESSION_HUMILIATE_NO_INFAMY_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
NORMAL_HUMILIATE_NO_INFAMY_NAME_BEL_NET;The 10 Days' Campaign;;;;;;;;;;;;;
ten_days_campaign_title;A Campaign against Belgium;;;;;;;;;;;;;
ten_days_campaign_desc;We are creeping further and further toward losing the Southern Provinces due to the increasingly widespread revolution. The revolutionaries have even coronated their first king, making their nationhood already apparent and their independence seemingly inevitable. This nation-building must halt. We will need to commit as many troops as possible to destroying the revolution. This is all-out war.;;;;;;;;;;;;;
OHWELLDUTCHNVASION;The Dutch have crossed into Antwerp province, ready to engage our forces and crush our noble revolution. As of now, they are advancing into the forests around Ravels, and Zondereigen has been taken at the cost of 400 Belgian troops being repelled. These troops are clearly better trained and equipped than our own, and their leadership includes the Prince of Orange himself, eager to see his kingdom's reunification through by any means. We must not resign to possible defeat. Our future lies in our own hands, not the House of Orange's.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONFRA;The separatist Kingdom of Belgium requests our support in fighting off the Dutch for independence. Helping them is tempting, as it weakens the Netherlands and allows us to possibly place a new country on our border under our thumbs. Our people will also doubtlessly sympathize with Belgium's Walloons, who speak a Gallo-Romance dialect similar to French and were made our subjects during Napoleon I's rule.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONET;The rebels now have French backing. Should we continue our counterrevolution, we will need to contend with possible war with France, which would mean digging a hole for ourselves we may not be able to climb out of. Yet our dream of the Low Countries' unification still burns in our hearts. Is it worth surrendering that righteous dream now?;;;;;;;;;;;;
OHWELLDUTCHNVASIONREPLY;The French have accepted our plea for support! We shall charge together at the Dutch menace, humming La Marseillaise as we fire every round in the name of our liberation.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGO;The dastardly Dutch would rather flee than face us alongside the French on the battlefield. They have retreated from Belgium and all but surrendered our land to its inevitable liberation!;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGOO;The Dutch would rather flee than face us on the battlefield. They have retreated from Belgium and all but surrendered her Southern Provinces to their liberation.;;;;;;;;;;;;;
SAM_prov_gov_liberal;Military-Political System of Samos;;;;;;;;;;;;;
samoa_imean_samos_title;Impose Tributary Status on Samos;;;;;;;;;;;;;
samoa_imean_samos_desc;Samos, an archipelago of culturally Greek islands just off the Turkish side of Ionia, did not join Greece after the 1821 revolt, despite having fought against our invasions of the islands. Instead, Samian rebel leader Lykourgos Logothetis declared Samos an independent state that nonetheless would not accept Ottoman suzerainty. Well, words are meaningless if they cannot be backed up on the battlefield.;;;;;;;;;;;;;
GRE_prov_gov_liberal;Hellenic State;;;;;;;;;;;;;
the_cauca_war_title;The Cauca War;;;;;;;;;;;;;
the_cauca_war_desc;The newly-independent state of Ecuador under conservative president Gabriel García Moreno has become socially unstable. This combined with unsettled border disputes can provide a pretext for military action in the country, in hopes of gaining valuable territories for reuniting the old borders of Gran Colombia.;;;;;;;;;;;;;
pasto_treaty_title;The Treaty of Pasto;;;;;;;;;;;;;
pasto_treaty_desc;Our invasion of Cauca can now end with the signing of a treaty. We shall negotiate the acknowledgement of a border between Colombia and Ecuador along the Carchi River, with the province of Pasto annexed into our territory. With this being our final agreed-upon borders after the dissolution of Gran Colombia, we will no longer have any hostilities with each other and can begin meaningful diplomatic relations.;;;;;;;;;;;;
DAINVASIONTOTHECAUCA;Troops from $FROM$ have crossed into the Valley of Cauca, presumably looking to start a fight over our disputed northern border. It is no secret that the New Granadans wish to reunite Gran Colombia, whose ashes we emerged from as a free nation. We must prepare our military to respond decisively and turn the tides of this new war.;;;;;;;;;;;;;
LONDONPROTOCOL;The Western great powers have convened to recognize the independence of Greece and organize it in their image as a European-style monarchy. They have agreed that Greece's borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state friendly to Western Europe's interests in the Mediterranean. However, we will still keep a large majority of ethnically Greek lands, including Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLYESGRE;The Ottoman Empire has agreed to the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. Both the Ottomans and the West agree that our borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state that will provide a buffer to Ottoman expansion. However, the Ottomans will still keep a large majority of ethnically Greek lands, including Thessaly, Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLNOGRE;The Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. We had hoped to win our independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now our fight has become all the more dire. The revolution must not die!;;;;;;;;;;;;;
LONDONPROTOCOLNOGPS;The Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize Greece's independence and organize it into a monarchy. The Greeks had hoped to win their independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now their fight has become all the more dire. As a signatory of the London Protocol, it is our duty to save Greece.;;;;;;;;;;;;;;;;;;;;;;;;;;
LONDONPROTONOGPSTUR;Greece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies in their futile struggle.;;;;;;;;;;;;;
LONDONPROTOYESBUTNOGPS;Greece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies.;;;;;;;;;;;;;
KUNMINGQUAKE;An earthquake has struck Kunming, Yunnan, bringing catastrophic damage to the provincial capital. 48,888 houses collapsed, while many bridges and temples were reduced to rubble. 6,700 people are confirmed to have been killed.;;;;;;;;;;;;;
spanish_inquisition_title;End the Spanish Inquisition;;;;;;;;;;;;;
spanish_inquisition_desc;§GLose 1 infamy§! The Tribune of the Holy Office of the Inquisition, commonly called the Spanish Inquisition, is the police force responsible for enforcing strict observance of Catholicism in the Spanish Empire. Established at the end of the Reconquista, it oversaw the mass conversion and expulsion of Jews and Muslims from Spain, and since then it has been responsible for enforcing the consolidation of the Spanish crown's rule by ensuring Catholicism unites its disparate subjects. But the Inquisition is not what it used to be. It was temporarily abolished under Joseph Bonaparte's reign and was reinstated by Ferdinand VII in 1814. Liberalism continues to weaken the Inquisition's strength to eradicate Christian heteroodoxy. The organization has been reduced to a censorship committee, rarely overseeing prosecutions anymore. Perhaps it is time to disband the Inquisition and bury its legacy in the sand dunes of history.;;;;;;;;;;;;;
BATTLEOFPESHAWAR;Sudden as a lightning strike, Ranjit Singh has conquered Peshawar and made it part of his Sikh Empire. The defenders, separated from our other forces by the Khyber Pass which was blocked by snow, were hard-pressed to ward the attackers off. Though they fought valiantly, due to the lack of reinforcements they were overwhelmed by the Sikh horde and Peshawar quickly fell.;;;;;;;;;;;;;
seize_peshawar_title;Seize Peshawar;;;;;;;;;;;;;
seize_peshawar_desc;Peshawar has been a part of our nemesis, the Barakzai Emirate, since the fall of the Durrani Empire. It is regarded as the breadbasket of Afghanistan, one of the few fertile regions that are key to the Afghan food supply. It would be easy to conquer due to its relative separation from the rest of Afghanistan: The only way to get from Kabul to Peshawar is via the Khyber Pass which is blocked by snow in Winter. Thus, the defenders would easily be overwhelmed before reinforcements could arrive. It is, however, possible that an Afghan force will arrive over the pass after Peshawar is in our hands to recapture it.;;;;;;;;;;;;;
july_ordinances_title;The July Ordinances;;;;;;;;;;;;;
july_ordinances_desc;Liberalism is a scourge upon the monarchy. It must be put down through a heavy-handed approach to ruling France's subjects, lest we fail to save the French people from their naive ideas of how they wish to be governed. Chief Minister Jules Armand de Polignac, an ultraroyalist who has long been targeted by the liberals, proposes a set of royal ordinances meant to reign France in: they include limitation of press freedom, a newly appointed set of reactionary Councillors of State, the dissolution of the Chamber of Deputies, and the exclusion of the middle class from future elections.;;;;;;;;;;;;;
SEIZUREOFLENATIONAL;In response to the July Ordinances' restrictions on press freedom, staff writers at the liberal newspaper Le National published a petition demanding restoration of their rights. Agents of the prince de Polignac then promptly raided the journal's offices. Le National originated as a liberal mouthpiece in light of de Polignac's rise to power, patronized by liberal officials such as the prince of Talleyrand and the duke of Broglie. The paper's existence proves a thorn in the state's backside. We maintain that the government acted fully in its authority.;;;;;;;;;;;;;
JULYREVOLUTION;The Bourbon monarchy is no longer in France as of today. After the surge of reactionary behavior under Chief Minister de Polignac--who was narrowly re-elected after having been voted out in a motion of no confidence--the French people were ignited to relaunch a revolution in the spirit of the first. De Polignac foolishly attempted to singlehandedly alter France's constitution by passing the draconian July Ordinances, attempting to create a newly authoritarian monarchy. Rioting and looting has dragged on for three days, until the people finally captured the Hôtel de Ville in Paris and declared a provisional government, after wholly defeating the last of the royalists' forces. A new monarchy is expected to emerge with Louis Philippe of Orléans, a former Republican general, as king.;;;;;;;;;;;;;
LOUISPHILLIPETROLLS;France's new king has taken the throne: Louis Philippe of Orléans. As duke of Chartres and a former general of the Revolutionary Wars, he served with distinction but later broke with the revolutionaries after they decided to kill King Louis XVI. He later exiled himself to Switzerland in 1793 after it was discovered he was conspiring to restore the monarchy. \n\nCharles X had named Louis Philippe his lieutenant general, though he not-so-secretly held ambitions to succeed Charles as king. Already popular among the masses, the Chamber of Deputies has appointed Louis Philippe I as the first in the Orléans dynasty--hopefully marking a return to the center-right policies of Napoleon.;;;;;;;;;;;;;
ADDRESSOFTHETWOTWOONE;'Sire, it is with deep gratitude that your loyal subjects and the deputies of the departments, together around your throne, heard from your prestigious mouth the flattering testimony to the confidence that you granted them. [...] However, Sire, in the midst of the unanimous feelings of respect and affection with which your people surround you, there is manifested in people's minds a deep anxiety which disturbs the security which France had begun to enjoy, alters the sources of its prosperity, and could, if it were prolonged, become disastrous to his rest.'\nPresident of parliament Royer-Collard opened its new session with an address to Charles X approved by a 221 deputies, the liberal majority. This address demands that Chief Minister Polignac resign and that future ministers pledge to act in accordance with the wishes of Parliament.;;;;;;;;;;;;;
JUNEREBELLION;Fighting has broken out between the National Guard and republican rebels, who have conspired to overthrow the July Monarchy. After the funeral of former army commander and anti-monarchist Jean Maximilien Lamarque, riots emerged as citizens sympathetic to his beliefs attempted to make their opinions against the government heard. Attacks against our forces were swift and well-organized, carried out by secret societies such as the infamous Society of the Rights of Men, whose members stockpile weapons as if building an army. Their fighters were reinforced by disaffected Parisien youth and refugees from Germany, Poland, and Italy, each of whom were being pursued by their respective governments for participating in republican activism.;;;;;;;;;;;;;
PROVINCEUNITEITALIANE;Ever since the July Revolution in France, pro-unification rebellions in Italy have spread across each of the peninsula's domains--leaving us to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if we will have to intervene to crush that dream.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEITS;Ever since the July Revolution in France, pro-unification rebellions in Italy have spread across each of our peninsula's domains--leaving Austria to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if Austria will have a hand in that dream's crushing.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEWAR;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. Austrian troops will need to mobilize immediately to quell this uprising, lest Italy become more than just a geographic term and threaten Europe's power balance.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEOK;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nBut Austria and the states in its sphere of influence on the peninsula cannot allow this to go unchallenged. They are coming--and will destroy the new state without hesitation in the name of preserving the Concert of Europe.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEWARFU;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nAustria has let events take their course, not intervening to prevent Italy from uniting. Modena, Tuscany and the Papal States will have to fight the uprising on their own to preserve their rule.;;;;;;;;;;;;;
