EVTNEWS660025_TITLE;STILLMAN RAN!;;;;;;;;;;;;;x
EVTNEWS660025_LONG;Tensions between Indians and American settlers in Illinois have been rising steadily of late, as Indian chief Black Hawk and his British Band -so called because they fight under a British banner gifted to them for their support in the War of 1812- have been making their way across northern Illinois. Combat was neigh unavoidable, but has resulted in a humiliating defeat for the Illinois militia, who ran after facing an Indian force 1/6th their size.;;;;;;;;;;;;;x
EVTNEWS660025_MEDIUM;Humiliating defeat inflicted on the Illinois militia by Black Hawk and his English Band of native soldiers after the militia killed emissaries under a flag of truce. May the place be forever remember as there where Stillman Ran.;;;;;;;;;;;;;x
EVTNEWS660025_SHORT;Commander of the Illinois militia Stillman beat a hastly and panicked retreat after being set upon by Black Hawk and his British Band of Indian warriors.;;;;;;;;;;;;;x
EVTNEWS675036_TITLE;Californian Gold;;;;;;;;;;;;;x
EVTNEWS675035_LONG;California may now very well be renamed the Golden State, for all along its rivers and mountains easily recoverable gold is to be found in great quantities. From all over the American nation and the world, and from all walks of life, hundreds of thousands have left their old lives behind and are heading for the mountains of California, hoping to strike it rich. ;;;;;;;;;;;;;x
EVTNEWS675035_MEDIUM;Gold has been found in considerable quantities on the American River. One person brought thirty dollars worth to the mint, gathered there in a short time. $STATENAME$, no doubt, is rich in mineral wealth: Great chances here for scientific capitalists.;;;;;;;;;;;;;x
EVTNEWS675035_SHORT;California may now very well be renamed the Golden State, for all along its rivers and mountains easily recoverable gold is to be found in great quantities: opportunities abound.;;;;;;;;;;;;;x
indian_removal_act_NEWS_LONG;An act passsed by the U.S. Congress has authorised the President to enter into negotiations with Indian tribes with the aim of securing their removal from their traditional homelands to new lands west of the Mississippi. An act of mercy, the U.S. President argues, as their homelands are encroached upon by settlers. Under this march of progress, the Indians are sure to dissappear anyway. West of the Mississippi, away from civilisation, they can at least preserve their way of life and maintain self-determination.;;;;;;;;;;;;;x
indian_removal_act_NEWS_MEDIUM;Under a newly passed Act of Congress, the U.S. President has been authorised to negotiate with Indian tribes for their removal to federal territory west of the Mississippi. An act of mercy, the U.S. President argues, as under the march of progress they would face extinction.;;;;;;;;;;;;;x
indian_removal_act_NEWS_SHORT;Today the U.S. Congress passed an act authorising the President to negotiate with Indian tribes for their removal to federal territories west of the Mississippi.;;;;;;;;;;;;;x
