KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
KLE;Kleves;Clèves;Kleve;Kleves;Cleves;Cleve;Kleves;Kleves;Kleves;Kleves;Cleves;Êëåâå;Kleves;z
KLE_ADJ;Clevian;Clévois;Kleve-;Kleve;Clevesa;di Cleve;Clevian;Clevian;Clevian;Clevian;Clevian;Êëåâñê.;Clevian;y
KLM;Kalimantan;Kalimantan;Kalimantan;Kalimantan;Kalimantan;Kalimantan;Kalimantán;Kalimantan;Kalimantán;Kalimantan;Kalimantan;Êàëèìàíòàí;Kalimantanin;x
KLM_ADJ;Kalimantan;du Kalimantan;Kalimantan-;Kalimantan;Kalimantan;del Kalimantan;Kalimantán;Kalimantan;Kalimantán;Kalimantan;Kalimantan;Êàëèìàíòàí;Kalimantanin;x
KLN;Keladi;Kéladi;Keladi;Keladi;Keladi;Keladi;Keladi;Keladi;Keladi;Keladi;Keladi;Êåëàäè;Keladi;z
KLN_ADJ;Keladi;du Kéladi;Keladi-;Keladi;Keladi;di Keladi;Keladi;Keladi;Keladi;Keladi;Keladi;Êåëàäèéñê.;Keladi;y
KMK;Kalmykia;Kalmoukie;Kalmückien;Ka³mucja;Kalmukia;Calmucchia;Kalmykia;Kalmykia;Kalmykia;Kalmukkië;Kalmykia;Êàëìûêèÿ;Kalmykia;x
KMK_ADJ;Kalmyk;Kalmouk;Kalmückisch;Ka³muków;Calmuca;Calmucca;Kalmyk;Kalmyk;Kalmyk;Kalmyk;Kalmyk;Êàëìûêñê.;kalmukki;y
KMT;Kuomintang China;Chine Kuomintang;Kuomintang-China;Kuomintang Chiny;China Kuomintang;Cina Kuomintang;Kuomintang Kína;Kuomintang Æína;Kuomintang Kína;Kwomintang China;Kuomintang China;Ãîìèíüäàí Êèòàé;Kuomintang Kiina;x
KMT_ADJ;Chinese;Chinois;Chinesisch;chiñski;chino;Cinese;kínai;Æínština;kínai;Chinese;chinês;Êèòàéñê.;Kiinalainen;x
KNG;Kong;Kong;Kong;Kong;Kong;Kong;Kong;Kong;Kong;Kong;Congue;Óàòòàğà;kong;y
KNG_ADJ;Kong;de Kong;Kong-;Konga;Kong;di Kong;Kong;Kong;Kong;Kong;Congue;Óàòòàğñê.;kong;y
KNI;The Knights;Les Chevaliers;Die Ritter;Rycerze;los Caballeros;I Cavalieri;lovagok;rytíri;lovagok;de Ridders;Os Cavaleiros Hospitalários;Ğûöàğè;ritarit;z
KNI_ADJ;Knights';Chevalier;Ritter-;Rycerze;Caballeros;Cavaliera;Knights_;Knights_;Knights_;Knights_;Cavaleiros;Êíèãõòñ_;Knights_;x
KNI_democracy;Saint John;Saint-Jean;Sankt Johannes;Œwiêty Jan;San Juan;San Giovanni;Saint John;Saint John;Saint John;Saint John;São João;Ñâÿòîé Èîàíí;Saint John;x
KNI_democracy_ADJ;Saint John's;de Saint-Jean;Sankt Johannes-;Œwiêtego Jana;Sanjuanés;Sangiovannina;Szent János;Saint John je;Szent János;Saint John's;São João;Ñâÿòîé Èîàíí;Saint Johnin;x
KNI_proletarian_dictatorship;The Hospitaller Proletariate;Le Prolétariat Hôpital;Hospitalproletariat;Szpitalny Proletariat;El Proletariado Hospitalario;Proletariato Ospitaliero;A Kórházi proletariátus;Hospitaller Proletariate;A Kórházi proletariátus;de Hospitaal proletariaat;O Proletariado Hospitalar;Ïğîëåòàğèàò Ãîñïèòàëüåğà;Hospitaller Proletariate;x
KNI_proletarian_dictatorship_ADJ;Hospitaller;Hôpital;Hospitaliter-;Szpitalny;Hospitalario;Ospitaliera;Máltai lelkész;Hospitaller;Máltai lelkész;hospitaler;Hospitalar;Ãîñïèòàëüåğ;Hospitaller;x
KNY;Kenya;Kénya;Kenia;Kenia;Kenia;Chenia;Kenya;Keòa;Kenya;Kenia;Quênia;Êåíèÿ;Kenia;x
KNY_ADJ;Kenyan;Kényan;Kenianisch;Kenijski;Keniata;Cheniota;kenyai;keòskı;kenyai;Keniaan;Queniano;êåíèéñê.;kenialainen;x
KOK_presidential_dictatorship;Kyrgyzstan;Kirghizistan;Kirgisistan;Kirgistan;Kirguistán;Chirghisia;Kirgizisztán;Kyrgyzstán;Kirgizisztán;Kirgizië;Quirguistão;Êèğãèçèÿ;Kirgisia;x
KOK_presidential_dictatorship_ADJ;Kyrgyz;Kirghize;Kirgisisch;Kirgizja;Kirguiso;Chirghiso;kirgiz;Kyrgyzské;kirgiz;Kirgizische;Quirguiz;êèğãèçñê.;Kirgisian;x
KOK_proletarian_dictatorship;SSR Kyrgyzstan;RSS Kirghizistan;SSR Kirgisistan;SSR Kirgistan;SSR Kirguistán;RSS Chirghisa;SSR Kirgizisztán;SSR Kyrgyzstán;SSR Kirgizisztán;SSR Kirgizië;SSR Quirguizistão;ÑÑĞ Êûğãûçñòàí;SSR Kirgisia;x
KOK_proletarian_dictatorship_ADJ;Kyrgyz;Kirghize;Kirgisisch;Kirgizja;Kirguiso;Kirghizistan;kirgiz;Kyrgyzské;kirgiz;Kirgizische;Quirguiz;êèğãèçñê.;Kirgisian;x
KOL;Cologne;Cologne;Köln;Kolonia;Colonia;Colonia;kölni;kolínská;kölni;Keulen;Colônia;Ê¸ëüí;Köln;y
KOL_ADJ;Colognian;Colognien;Kölnisch;Kolonii;Coloniana;Colona;Colognian;Colognian;Colognian;kölsch;Colognian;Ê¸ëüíñê.;Colognian;y
KOM;Comoros;Les Comores;Die Komoren;Komory;Comoras;Comore;Comore-szigetek;Komory;Comore-szigetek;Comoren;Comores;Êîìîğñêèå;Komorit;x
KOM_ADJ;Comoran;Comorien;Komorisch;Komoran;Comoran;delle Comore;Comoran;Comoran;Comoran;Comoren;Comoran;Êîìîñê.;Komorien;x
KON;Kongo;Kongo;Kongo;Kongo;Congo;Kongo;Kongo;Kongo;Kongo;Kongo;Congo;Êîíãî;Kongo;z
KON_ADJ;Kongolese;Kongolais;Kongolisch;Konga;Congoleña;Kongolese;Kongolese;Kongolese;Kongolese;Kongolese;Congolês;Êîíãîëåçñê.;Kongolese;y
KOS;Kosovo;Kosovo;Kosovo;Kosowo;Kosovo;Cossovo;Koszovó;Kosovo;Koszovó;Kosovo;Kosovo;Êîñîâî;kosovo;y
KOS_ADJ;Kosovan;Kosovare;Kosovar;Kosowsk.;Kosovara;Cossovara;koszovói;Kosovskı;koszovói;Kosovan;Kosovar;êîñîâñê.;Kosovon;y
KRL;Karelia;Carélie;Karelien;Karelia;Carelia;Carelia;Karélia;Karelia;Karélia;Karelia;Carélia;Êàğåëèÿ;Karjala;z
KRL_ADJ;Karelian;Carélien;Karelisch;Karelii;Carela;Carela;karéliai;Karelian;karéliai;karelian;Careliano;Êàğåëüñê.;karjalainen;y
KRM;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Karaman;Êàğàìàí;Karaman;y
KRM_ADJ;Karamanid;Karamanide;Karamanid;Karamanu;Karamanesa;Karamanide;Karamanid;Karamanid;Karamanid;Karamanid;Karamanid;Êàğàìàíñê.;Karamanid;y
KRN;Carnatic;Carnatique;Karnatik;Karnataka;Carnatic;Carnatico;Carnatic;Carnatic;Carnatic;Carnatic;Carnática;Êàğíàòèê;Carnatic;z
KRN_ADJ;Carnatic;du Carnatique;Karnatik-;Karnataka;Carnatica;del Carnatico;Carnatic;Carnatic;Carnatic;Carnatic;Carnal;Êàğíàòèêñê.;Carnatic;y
KRT;Carthage;Carthage;Karthago;Kartagina;Cartago;Cartagine;Carthage;Kartágo;Carthage;Carthago;Cartago;Êàğôàãåí;Karthago;x
KRT_ADJ;Carthaginian;Carthaginois;Karthagisch;kartagiñski;cartaginés;Cartaginese;karthágói;Kartáginskı;karthágói;carthaags;cartaginês;êàğôàãåíñê.;Carthaginian;x
KRW;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Karagwe;Êàğàãâå;Karagwe;z
KRW_ADJ;Karagwean;du Karagwe;Karagwe-;Karagwe;de Karagwe;di Karagwe;Karagwean;Karagwean;Karagwean;Karagwean;Karagwean;Êàğàãâåíñê.;Karagwean;y
KSJ;Kasanje;Cassange;Kassandsche;Kasanje;Kasanje;Cassange;Kasanje;Kasanje;Kasanje;Kasanje;Kasanje;Êàñàíäæå;Kasanje;z
KSJ_ADJ;Kasanjean;du Cassange;Kassandsche-;Kasanje;Kasanje;di Cassange;Kasanjean;Kasanjean;Kasanjean;Kasanjean;Kasanjean;Êàñàíäæåéñê.;Kasanjean;y
KTI;Kutai;Kutaï;Kutai;Kutai;Kutai;Kutai;Kutai;Kutai;Kutai;Kutai;Kutai;Êóòàé;Kutai;x
KTI_ADJ;Kutai;du Kutaï;Kutai-;Kutai;Kutai;del Kutai;Kutai;Kutai;Kutai;Kutai;Kutai;Êóòàéñê.;Kutai;x
KUB;Kuba;Kubas;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Kuba;Êóáà;Kuba;z
KUB_ADJ;Kuban;Kuba;Kubanisch;Kuby;Kuban;Kubana;Kuban;Kuban;Kuban;Kuban;Kuban;Êóáàíñê.;Kuban;y
KUR;Kurland;Courlande;Kurland;Kurlandia;Curlandia;Curlandia;Kurland;Kurland;Kurland;Kurland;Curlândia;Êóğëÿíäèÿ;Kurland;z
KUR_ADJ;Couronian;Couronian;Kurländisch;Kurlandii;Curlandesa;Curona;Couronian;Couronian;Couronian;Couronian;Couronian;Êóğëÿíäñê.;Couronian;y
KWT;Kuwait;Koweit;Kuwait;Kuwejt;Kuwait;Kuwait;Kuvait;Kuvajt;Kuvait;Koeweit;Kuwait;Êóâåéò;Kuwait;x
KWT_ADJ;Kuwaiti;Koweïtien;Kuwaitisch;Kuwejcki;Kuwaití;Kuwaitiana;kuvaiti;kuvajtskı;kuvaiti;Koeweitse;Kuwaitiano;Êóâåéòñê.;kuwaitilainen;x
KYR;Kyrgyzstan;Kirghizistan;Kirgisistan;Kirgistan;Kirguistán;Kirghizistan;Kirgizisztán;Kyrgyzstán;Kirgizisztán;Kirgizië;Quirguistão;Êèğãèçèÿ;Kirgisia;x
KYR_ADJ;Kyrgyz;Kirghize;Kirgisisch;Kirgizja;Kirguiso;Chirghisa;kirgiz;Kyrgyzské;kirgiz;Kirgizische;Quirguiz;êèğãèçñê.;Kirgisian;x
KZB;Kazembe;Kazembe;Kazembe;Kazembe;Cazembe;Kazembe;Kazembe;Kazembeová;Kazembe;Kazembe;Kazembe;Êàçåìáå;Kazembe;z
KZB_ADJ;Kazembe;du Kazembe;Kazembe-;Kazembe;Cazembe;di Kazembe;Kazembe;Kazembeová;Kazembe;Kazembe;Kazembe;Êàçåìáåéñê.;Kazembe;y
KZN;Kazan;Kazan;Kasan;Kazañ;Kazán;Kazan';Kazan;Kazan;Kazan;Kazan;Kazan;Êàçàíü;Kazan;y
KZN_ADJ;Kazani;de Kazan;Kasanisch;Kazania;Kazanesa;di Kazan';Kazani;Kazani;Kazani;Kazani;Kazani;Êàçàíñê.;Kazani;y
LAN;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Ëàíüôàí;Lanfangin;x
LAN_ADJ;Lanfang;du Lanfang;Lanfang-;Lanfang;Lanfang;di Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Lanfang;Ëàíüôàí;Lanfangin;x
LAU;Lauenburg;Lauenbourg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Lauenburg;Ëàóåíáóğã;Lauenburg;x
LAU_ADJ;Lauenburger;Lauenbourgeois;Lauenburgisch;Lauenburger;Lauenburger;di Lauenburg;Lauenburger;Lauenburger;Lauenburger;Lauenburger;Lauenburger;Ëàóåíáóğãåğ;Lauenburger;x
LBN;Lebanon;Liban;Der Libanon;Liban;Líbano;Libano;Libanon;Libanon;Libanon;Libanon;Líbano;Ëèâàí;Libanon;z
LBN_ADJ;Lebanese;Libanais;Libanesisch;Libanu;Libanesa;Libanese;libanoni;libanonskı;libanoni;Libanees;libanês;Ëèâàíñê.;libanonilainen;y
LBX;Luba;Lubas;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Luba;Ëóáà;Luba;z
LBX_ADJ;Luban;Luba;Lubanisch;Luby;Luba;Lubana;Luban;Luban;Luban;Luban;Luban;Ëóáàíñê.;Luban;y
LBY;Libya;Libye;Libyen;Libia;Libia;Libia;Líbia;Libye;Líbia;Libië;Líbia;Ëèâèÿ;Libya;x
LBY_ADJ;Libyan;Libyen;Libysch;Libijczyk;libio;Libica;líbiai;Libyjskı;líbiai;Libisch;líbio;ëèâèéñê.;libyalainen;x
LDU;Lundu;Lundu;Lundu;Lundu;Lundu;Lundu;Lundu;Lundu;Lundu;lundu;Lundu;Ëóíäó;Lundu;z
LDU_ADJ;Lunduan;de Lundu;Lundu-;Lundu;Lunduana;di Lundu;Lunduan;Lunduan;Lunduan;Lunduan;Lunduan;Ëóíäóéñê.;Lunduan;y
LEI;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Ëåíñòåğ;Leinster;z
LEI_ADJ;Leinster;du Leinster;Leinster-;Leinster;Leinsteriense;di Leinster;Leinster;Leinster;Leinster;Leinster;Leinster;Ëåíñòåğñê.;Leinster;y
LEN;Lenape;Lenapes;Lenape;Delawarowie;Lenape;Lenape;Lenape;Lenape;Lenape;Lenape;Lenape;Äåëàâàğû;Lenape;z
LEN_ADJ;Lenape;Lenape;Lenape-;Delewarów;Lenape;di Lenape;Lenape;Lenape;Lenape;Lenape;Lenape;Äåëàâàğñê.;Lenape;y
LGB;Longobardia;Longobardie;Langobardenreich;Longobardowie;Langobardia;Longobardia;Longobardia;Longobardie;Longobardia;Longobardia;Longobardia;Ëîíãîáàğäèÿ;Longobardia;x
LGB_ADJ;Longobard;Longobarde;Langobardisch;Longobardowie;Langobardo;Longobarda;Longobárd;Longobard;Longobárd;Longobard;Langobardo;Ëîíãîáàğä;Longobard;x
LIE;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Lichtenštejnsko;Liechtenstein;Liechtenstein;Liechtenstein;Ëèõòåíøòåéí;Liechtenstein;x
LIE_ADJ;Liechtensteiner;Liechtensteinois;Liechtensteinisch;Liechtensteiner;Liechtensteiner;Liechtensteiniana;Liechtensteiner;Liechtensteiner;Liechtensteiner;Liechtensteiner;Liechtensteiner;Ëèõòåíøòåéíñê.;Liechtensteiner;x
LIG;Liège;Liège;Lüttich;Liège;Lieja;Liegi;Liège;Liège;Liège;Liège;Liège;Ëüåæ;Liège;z
LIG_ADJ;Liegian;Liégeois;Lüttich-;Liège;Liejana;di Liegi;Liegian;Liegian;Liegian;Liegian;Liegiano;Ëüåæñê.;Liegian;y
LIM;Limburg;Limbourg;Limburg;Limburgia;Limburg;Limburgo;Limburg;Limburg;Limburg;Limburg;Limburgo;Ëèìáóğã;Limburg;x
LIM_ADJ;Limburgeois;Limbourgeois;Limburgisch;Limburgeois;Limburgeois;Limburghese;Limburgeois;Limburgeois;Limburgeois;Limburgeois;Limburgeois;Ëèìáóğãñê.;Limburgeois;x
LIV;The Livonian Order;L'Ordre Livonien;Der Livländischen Orden;inflanckiemu;La Orden de Livonia;L'Ordine di Livonia;livóniai rendelés;Livonského rádu;livóniai rendelés;het Lijflandse Orde;A Ordem Livoniana;Ëèâîíñêèé Îğäåí;ritarikunnan;x
LIV_ADJ;Livonian;Livonie;Livländisch;Liwonii;Livonia;Livoniana;liv;Livonian;liv;Livonian;Livonian;Ëèâîíñê.;Liivin;y
LIV_democracy;Livonia;Livonie;Livonien;Liwonia;Livonia;Livonia;Livonia;Livonia;Livonia;Lijfland;Livônia;Ëèâîíèÿ;Livonia;z
LIV_proletarian_dictatorship;The Livonian Proletariate;Le Prolétariat de Livonie;Livland-Proletariat;Liwski Proletariat;El Proletariado de Livonia;Proletariato di Livonia;livóniai proletariátus;Livonian Proletariate;livóniai proletariátus;het Lijflandse proletariaat;O Proletariato Livoniano;Ëèâîíñêèé Ïğîëåòàğèàò;Liivin Proletariate;x
LNA;Lan Na;Lanna;Lan Na;Lanna;Lan Na;Lan-Na;Lan Na;Na Lan;Lan Na;Lan Na;Lan Na;Ëàííà;Lan Na;z
LNA_ADJ;Lan Na;du Lanna;Lan Na-;Lanny;Lannesa;di Lan-Na;Lan Na;Na Lan;Lan Na;Lan Na;Lan Na;Ëàííñê.;Lan Na;y
LND;Lunda;Lundas;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Lunda;Ëóíäà;Lunda;y
LND_ADJ;Lundan;Lunda;Lunda-;Lundy;Lunda;di Lunda;Lundan;Lundan;Lundan;Lundan;Lundan;Ëóíäàíñê.;Lundan;y
LOA;Loango;Loango;Loango;Loango;Loango;Loango;Loango;Loango;Loango;Loango;Luangu;Ëîàíãî;Loango;z
LOA_ADJ;Loangoan;de Loango;Loango-;Loango;Loango;di Loango;Loangoan;Loangoan;Loangoan;Loangoan;Loangoan;Ëîàíãñê.;Loangoan;y
LOR;Lorraine;Lorraine;Lothringen;Lotaryngia;Lorena;Lorena;Lorraine;Lorraine;Lorraine;Lotharingen;Lorena;Ëîòàğèíãèÿ;lothringen;z
LOR_ADJ;Lorrainian;Lorrains;Lothringisch;Lotaryngii;Lorena;Lorenese;Lorrainian;Lorrainian;Lorrainian;Lorrainian;Lorrainiano;Ëîòàğèíãñê.;Lorrainian;y
LOS;Los Altos;Les Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Ëîñ-Àëüòîñ;Los Altos;x
LOS_ADJ;Los Altos;des Altos;Los Altos-;Los Altos;Los Altos;di Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Los Altos;Ëîñ-Àëüòîñê.;Los Altos;x
LOU;Louisiana;Louisiane;Louisiana;Luizjana;Louisiana;Luigiana;Louisiana;Louisiana;Louisiana;Louisiana;Louisiana;Ëóèçèàíà;Louisiana;y
LOU_ADJ;Louisianan;Louisianais;Louisianisch;Luizjany;Louisianense;Luigiana;Louisianan;Louisianan;Louisianan;Louisianan;Louisianan;Ëóèçèàíñê.;Louisianan;y
LPL;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;La Plata;Ëà-Ïëàòà;La Plata;z
LPL_ADJ;La Platan;de la Plata;La Plata-;La Platy;Platense;della Plata;La Platan;La Platan;La Platan;La Platan;La Platan;Ëà-ïëàòñê.;La Platan;y
LSK;Alaska;Alaska;Alaska;Alaska;Alaska;Alaska;Alaszka;Aljaška;Alaszka;Alaska;Alasca;Àëÿñêà;Alaska;x
LSK_ADJ;Alaskan;Alaskain;Alaskisch;Alaskanin;Alasqueño;Alascana;Alaszkai;Aljašky;Alaszkai;Alaskse;Alasquiano;Àëÿñêèíñê.;Alaskan;x
LSK_anarcho_liberal;Liberal Economists;Économistes Libéraux;Liberale Wirtschaftswissenschaftler;Liberalni Ekonomiœci;Economistas Liberales;Economisti Liberali;Liberális Közgazdászok;Liberální Ekonomové;Liberális Közgazdászok;Liberale Economen;Economistas Liberais;Ëèáåğàëüíûå İêîíîìèñòû;Sosialistinen Puolue;x
LSK_communist;Bolsheviks;Les Bolcheviks;Die Bolschewiken;Bolszewików;Bolcheviques;Bolscevichi;Bolsevikok;Bolševiku;Bolsevikok;Bolsjewieken;Bolcheviques;Áîëüøåâèêè;Pohjois-Futuristit;x
LSK_conservative;Democratic Party;Parti Démocratique;Demokratische Partei;Partia Demokratyczna;Partido Democrático;Partito Democratico;Demokratikus Párt;Demokratická Strana;Demokratikus Párt;Democratische Partij;Partido Democrata;Äåìîêğàòè÷åñêàÿ Ïàğòèÿ;Demokraattinen Puolue;x
LSK_fascist;Northern Futurists;Futuristes du Nord;Nördliche Futuristen;Futurystami Pó³nocy;Futuristas del Norte;Futuristi del Nord;Északi Futuristák;Severní Futuristé;Északi Futuristák;Noordelijke Futuristen;Futuristas do Norte;Ñåâåğíûå Ôóòóğèñòû;;x
LSK_liberal;Republican Party;Parti Républicain;Republikanische Partei;Partia Republikañska;Partido Republicano;Partito Repubblicano;Republikánus Párt;Republikánská Strana;Republikánus Párt;Republikeinse Partij;Partido Republicano;Ğåñïóáëèêàíñêàÿ Ïàğòèÿ;Liberaaliset Taloustieteilijät;x
LSK_reactionary;Nationalist Party;Parti Nationaliste;Nationalistische Partei;Partia Nacjonalistyczna;Partido Nacionalista;Partito Nazionalista;Nemzeti Párt;Nacionalistická Strana;Nemzeti Párt;Nationalistische Partij;Partido Nacionalista;Íàöèîíàëèñòè÷åñêàÿ Ïàğòèÿ;Kansallinen Puolue;x
LSK_socialist;Socialist Party;Parti Socialiste;Sozialistische Partei;Partia Socjalistyczna;Partido Socialista;Partito Socialista;Szocialista Párt;Socialistická Strana;Szocialista Párt;Socialistische Partij;Partido Socialista;Ñîöèàëèñòè÷åñêàÿ Ïàğòèÿ;Bolshevikit;x
LTN;The Latin Empire;L'Empire Latin;Das Lateinische Reich;Imperium £aciñskie;El Imperio Latino;L'Impero Latino;A Latin Birodalom;Latinská ríše;A Latin Birodalom;Het Latijnse Rijk;O Império Latino;Ëàòèíñêàÿ Èìïåğèÿ;Latinalaisen Imperiumin;x
LTN_ADJ;Latin;Latin;Lateinisch;£acina;Latín;Latina;Latin;Latinskı;Latin;Latijns;Latim;Ëàòèíñê.;Latina;x
LTN_democracy;The Latin Republic;La République Latine;Die Lateinische Republik;Republika £aciñska;La República Latina;La Repubblica Latina;A Latin Köztársaság;Latinská Republika;A Latin Köztársaság;De Latijnse Republiek;A República Latina;Ëàòèíñêàÿ Ğåñïóáëèêà;Latvian Tasavalta;x
LTN_proletarian_dictatorship;The Union of Rhomania;L'Union de Rhomanie;Die Union von Rhomanien;Zwi¹zek Rhomania;La Unión de Rhomania;L'Unione della Rhomania;Az Rhomania Uniója;Unie Rhomania;Az Rhomania Uniója;De Unie van Rhomania;A União da Romania;Ñîşç Ğîìàíà;Rhomanian Unioni;x
LUN;Lüneburg;Lunebourg;Lüneburg;Lüneburg;Lüneburg;Luneburgo;Luneburg;Luneburg;Luneburg;Luneburg;Luneburgo;Ëşíåáóğã;Luneburg;z
LUN_ADJ;Luneburgian;Lunebourgeois;Lüneburgisch;Lüneburgu;Lüneburguesa;Luneburghese;Luneburgian;Luneburgian;Luneburgian;Luneburgian;Luneburgian;Ëşíåáóğãñê.;Luneburgian;y
LVN;Lombardy-Venice;Lombardie-Venise;Lombardei-Venedig;Lombardia-Wenecja;Lombardía-Venecia;Lombardia-Venezia;Lombardia-Velence;Lombardie-Benátky;Lombardia-Velence;Lombardije-Venetië;Lombardia-Veneza;Ëîìáàğäèÿ-Âåíåöèÿ;Lombardia-Venetsia;x
LVN_ADJ;Lombard-Venetian;Lombard-Vénitien;Lombardisch-Venetianisch;Lombard-wenecki;Lombardo-veneciano;Lombarda-Veneta;Lombard-Velencei;Lombard-benátskı;Lombard-Velencei;Lombard-Venetian;Lombard-veneziano;Ëîìáàğä-âåíåöèàíñê.;Lombard-venetsialainen;x
LXA;Lan Xang;Lan Xang;Lan Xang;Lang Czang;Lan Xang;Lan Xang;Lan Xang;Lan Xang;Lan Xang;Lan Xang;Lan Xang;Ëàíñàíã;Lan Xang;y
LXA_ADJ;Lan Xangi;du Lan Xang;Lan Xang-;Lang Czang;Xangana;di Lan Xang;Lan Xangi;Lan Xangi;Lan Xangi;Lan Xangi;Lan Xangi;Ëàíñàíãñê.;Lan Xangi;y
MAB;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Ìàëàáàğ;Malabar;z
MAB_ADJ;Malabar;de Malabar;Malabar-;Malabar;Malabar;di Malabar;Malabar;Malabar;Malabar;Malabar;Malabar;Ìàëàáàğ;Malabar;x
MAE;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Ìàıäà;Maeda;z
MAE_ADJ;Maeda;de Maeda;Maeda-;Maedy;Maeda;di Maeda;Maeda;Maeda;Maeda;Maeda;Maeda;Ìàıäñê.;Maeda;y
MAG;Magdeburg;Magdebourg;Magdeburg;Magdeburg;Magdeburgo;Magdeburgo;Magdeburg;Magdeburg;Magdeburg;Magdeburg;Magdeburgo;Ìàãäåáóğã;Magdeburg;z
MAG_ADJ;Magdeburgian;Magdebourgeois;Magdeburgisch;Magdeburga;Magdeburguesa;Magdeburghese;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgian;Magdeburgiano;Ìàãäåáóğãñê.;Magdeburgian;y
MAH;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Ìàõàğàøòğà;Maharashtran;x
MAH_ADJ;Maharashtran;du Maharashtra;Maharashtra-;Maharashtran;Maharashtran;del Maharashtra;Maharashtran;Maháráštran;Maharashtran;Maharashtran;Maharashtran;ìàõàğàøòğàíñê.;Maharashtran;x
MAI;Mainz;Mayence;Mainz;Moguncja;Maguncia;Magonza;Mainz;Mainz;Mainz;Mainz;Mogúncia;Ìàéíö;Mainz;z
MAI_ADJ;Mainzian;Mayençais;Mainzisch;Moguncji;Magunciana;Magonzana;Mainzian;Mainzian;Mainzian;Mainzian;Mainzian;Ìàéíöñê.;Mainzian;y
MAJ;Majeerteen;Midjourtine;Majeerteen;Majeerteen;Majeerteen;Migiurtina;Majeerteen;Majeerteen;Majeerteen;Majeerteen;Majeerteen;Ìàæåğòåí;majeerteenien;x
MAJ_ADJ;Majeerteen;Midjourtinois;Majeerteen-;Majeerteen;Majeerteen;Migiurtina;Majeerteen;Majeerteen;Majeerteen;Majeerteen;Majeerteen;Ìàæåğòåí;majeerteenien;x
MAL;Maluku;Moluques;Die Molukken;Maluku;Maluku;Maluku;Maluku;Maluku;Maluku;Maluku;Maluku;Ìàëóêó;Maluku;x
MAL_ADJ;Malukuan;des Moluques;Molukkisch;Malukuan;Malukuan;di Maluku;Malukuan;Malukuan;Malukuan;Malukuan;Malukuan;Ìàëóêóñê.;Malukuan;x
MAR;Maharashtra;Maharashtra;Maharashtra;Maharasztra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Maharashtra;Ìàõàğàøòğà;Maharashtra;x
MAR_ADJ;Maharashtran;du Maharashtra;Maharashtra-;Maharashtran;Maharashtran;del Maharashtra;Maharashtran;Maharashtran;Maharashtran;Maharashtran;Maharashtran;Ìàõàğàøòğàí;Maharashtran;x
MAS;Massina;Masina;Massina-Reich;Massina;Massina;Massina;Massina;Massina;Massina;Massina;Massina;Ìàçèíà;Massina;x
MAS_ADJ;Massinan;Masinais;Massina-;Massinan;Massinan;di Massina;Massinan;Massinan;Massinan;Massinan;Massinan;Ìàçèíñê.;Massinan;x
MAT;Matabele;Matabélé;Matabele-Reich;Matabele;Matabele;Matabele;matebele;Matabele;matebele;Matabele;Matabele;Ìàòàáåëå;Matabele;x
MAT_ADJ;Matabele;Ndébélé;Matabele-;Matabele;Matabele;di Matabele;matebele;Matabele;matebele;Matabele;Matabele;Ìàòàáåëå;Matabele;x
MAU;Mauritius;Maurice;Mauritius;Mauritius;Mauricio;Le Maurizio;Mauritius;Mauricius;Mauritius;Mauritius;Maurício;Ìàâğèê.;Mauritius;x
