;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME31521;The Dissolution of $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC31521;Austria is no more. With Vienna gone and what remains of the Empire a disarray of governments unwilling to maintain their cohesion without an Austrian government to hold it together, the nation has split apart at the seams. Whole portions of the Empire have either declared their outright independence or their intention to reunite with their homelands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC31530;Austrians have always walked a path slightly apart from those of their fellow Germans, and the notion of greater unification has never caught on in Austria as it has in the north. Lately there are those who question that path, citing the ascension of a great power who stands ready to lead us into a Greater Germany. Considering such a union could alarm the powers of Europe to a great degree, we have to wonder where our path should now lie?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC31531;The $FROMCOUNTRY_ADJ$ government met with the $COUNTRY_ADJ$ government in $CAPITAL$ today, expressing their desire to unite into a 'Greater Germany'. While such a nation would undoubtedly be a power unheard-of in the world, there are those who express caution: the world's great powers would likely object to such a union. Is Greater Germany worth the possibility of war?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME32509_NEW;the Alaskan Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32509_NEW;We hear word from the Russian ambassador that they are willing to sell their Alaskan colony to us, for the right price. Perhaps we should consider making an offer before someone else snaps it up? The land isn't worth much at the moment, but owning Alaska would be a boon to our prestige.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME32510_NEW;the Alaskan Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32510_NEW;We have received an offer from $FROMCOUNTRY$ to purchase the Alaskan colony. Should we accept?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME32512;Intervention in Hungary?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32512;The Hungarian revolution in Austria sets a dangerous precedent. There are far too many minorities in $COUNTRY$ who might look to the Hungarians as an inspiration, and who would rise up as well if we do not set a firm example. No matter our relation with the Austrian government, we must consider intervention against the Hungarian rebels or possibly face similar uprisings at home.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME32515;the Treaty of Tartu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32515;Now that Finland is free from $COUNTRY_ADJ$ rule, their government has approached us to engage in territorial talks. They are interested in the northern strip of land known as Petsamo, and the access to the Arctic Ocean it offers, as well as discussing Russian claims to Viipuri. If we give them what they're looking for, $COUNTRY$ looks good in the eyes of the international community and we gain an ally-- but perhaps we do not need Finland as an ally?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME32516;Russia Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32516;Russia has refused to sign the Treaty of Tartu, raising the spectre of war between our nations. Perhaps we should consider surrendering southern Karelia before the Russians come and take it from us?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME32550;The Belize Purchase?;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32550;Central American delegates have recently come in from London in hopes of purchasing British Belize. What should we do?;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME32551;$FROMCOUNTRY$ Accepts!;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32551;$FROMCOUNTRY$ has agreed to sell Belize to us! Long live the United States of Central America!;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME32552;$FROMCOUNTRY$ Declines!;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC32552;$MONARCHTITLE$, negotiations with $FROMCOUNTRY$ over Belize have stalled, and they have declined to sell us the colony.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME33006;Trade For Heligoland?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33006;$FROMCOUNTRY$ has approached us with a proposition: a trade of one of our colonial states in exchange for the island of Heligoland. It's an exorbitant price for such a small island, but the alternative would be to go to war. Shall we agree to the treaty?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME33007;Germany Agrees;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33007;Germany has agreed to the proposed trade for Heligoland.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME33008;Germany Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33008;Germany has refused the proposed trade for Heligoland.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME33009;For the Glory of Germany;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33009;The lands of Alsace-Lorraine rightfully belong in the hands of the German people. Perhaps the time has come to reclaim them from the French, and show the world what a united and glorious Germany can achieve? Either that or perhaps we should renounce our claims to those lands once and for all, despite the blow to our prestige and our pride.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME33010;Alsace-Lorraine is Lost;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33010;We have failed to recover Alsace-Lorraine from the hated French. Many are suggesting we should renounce our claims and move on, despite the blow to our national pride.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME33020;The League of Three Emperors;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33020;The German Kaiser has sent a delegation to $COUNTRY$ with a proposal: a resurrection of the Holy Alliance formed between Prussia, Austria and Russia which once existed after the defeat of Napoleon. It seems doubtful that such an alliance could bear fruit, but perhaps it is time to consider this idea. $COUNTRY$ has other concerns than constant conflict with the Germans, after all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME33025;The Spanish Pacific;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC33025;With the loss of our colonial base in Manila, the administration of the Pacific Islands has become incredibly difficult. We have been approached by the $FROMCOUNTRY_ADJ$ government regarding the possibility of selling any of our remaining holdings in the Caroline and Mariana Islands. The amount offered is not much, but then again the islands are not worth much-- indeed, they cost us far more than they provide. There is the additional notion that, should we disagree, $FROMCOUNTRY$ might attempt to take them by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME35305;The Guerra di Libia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC35305;The lands of Tripoli and Cyrenaica once belonged to Italy, and should again. We deserve a place in the sun!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME36215_NEW;Home Rule for Iceland;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36215_NEW;The Icelandic Althing has voted to request they be granted home rule, saying the time has come for greater independence. Under their plan, $COUNTRY$ would continue to manage the nation's foreign affairs and defense interests.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC36709;While Belgium's de facto independence from the Netherlands had been established by force of arms during the Belgian Revolution of 1831, it has not been confirmed de jure and we yet hold claims over Belgian territory. The British have offered to mediate a settlement-- in return for the surrendering of our claims and a guarantee of Belgium's neutrality, we would receive the Rhenish part of Luxembourg as our vassal… as well as a great deal of standing in the eyes of the European powers. That is, of course, if Belgium even agrees to the treaty.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME36710;The Treaty of London;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36710;In a meeting mediated by the British, the Netherlands has offered to sign a treaty which would see them relinquish all claims to Belgian territory-- but at the cost of surrendering Luxembourg to them as a vassal. Some are claiming this is too high a price, and that we should not allow ourselves to be bullied into such a treaty... but this may also be the only chance we have at peace with the Dutch.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME36711;Belgium Has Signed the Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36711;The Belgian government has agreed to the terms of the Treaty of London. We have surrendered all claims to their territory, in return for control over Luxembourg.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME36712;Belgium Has Refused the Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36712;The Belgian government has refuse the terms of the Treaty of London. This is a foolish move that only opens up the possibility of more war, but it seems the Belgians will not be moved.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME36715;The Fall of Amsterdam;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36715;Despite our best efforts, the unthinkable has happened: Amsterdam has fallen. It seems there is little choice but to surrender to the Belgians and allow them to dictate terms. If they are kind, they will simply force us to relinquish all claims to the southern Netherlands. If they are unkind, they may force us to give up territory-- though doing so will surely bring about the wrath of the European powers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME36716;The Dutch Surrender;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36716;Our forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch government has little choice but to accept any terms we dictate. The European powers are pushing for peace and conciliation -- they wish to see that Belgium keeps what it has and nothing more -- though if we dare risk their wrath we could certainly wrest territorial considerations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME36950;The Danish Gold Coast;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36950;The Danish Gold Coast exists on the coast of the Ashanti Union, primarily the fortress of Chistiansborg near the city of Accra. The Danish are willing to sell their holdings to us, though that is likely to result in conflict with the Ashanti government-- who will see the move as encroachment of their territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME36955;Conflict with Burma;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36955;A British Commodore who was recently dispatched to Burma to negotiate several matters regarding the Treaty of Yandabo, signed in 1826 after the First Anglo-Burmese War, has initiated a naval confrontation with the Burmese under questionable circumstances. While many are calling this Commodore an 'irrational jingoist', the British cannot let this matter drop without losing a great deal of prestige.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME36960;The Gold Coast Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36960;The $FROMCOUNTRY_ADJ$ government has approached us with the hopes of negotiating a treaty. They want to solidify control over the Gold Coast in Africa, specifically by annexing our colony at Sekondi. In return, they will recognize our colonial holdings elsewhere and encourage greater cooperation between our nations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME36965;The Lagos Slave Trade;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36965;We outlawed the $COUNTRY_ADJ$ slave trade many years ago, but it continues in many African nations-- and the coastal city of Lagos in particular. Lagos has been a haven for slavers, providing unwilling natives to the trade on markets in defiance of all decent conventions. The notion has arisen that we should consider sending our ships in to liberate the natives there and establish a colony where they can receive civilized government.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME36966;$FROMCOUNTRY$ Seizes Lagos!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36966;$FROMCOUNTRY_ADJ$ ships have sailed into Lagos, seizing the city and driving off the $COUNTRY_ADJ$ garrison. They claim they are 'liberating' the city from slavers, extending their benevolent rule on behalf of the locals. Resisting means war, but submitting would do nothing more than prove our lack of ability to face these foreigners. What should we do?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME36970;The Suez Canal Company;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36970;With the 'International Commission for the Piercing of the Isthmus of Suez' having completed, and assessed the Suez region as being possible to have a canal built," all that remains is to put the plan in motion. The Suez Canal Company intends to do just that, but in order for it to start it needs to put together a significant amount of capital-- thus it has been offering shares to various governments", hoping as well for the political clout to influence Egypt into allowing the venture to proceed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME36975;Intervention in Egypt?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC36975;We have received disturbing reports of rebellion in Egypt, on a scale where our interests in the Suez might become threatened. While it undoubtedly would appear to some that we are using this as an excuse, the $COUNTRY_ADJ$ government cannot idly stand by and watch such an important project be laid to waste by the ignorant. We must consider direct intervention.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37219_NEW;Persecution of French Missionaries;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37219_NEW;The Paris Foreign Missions Society has been actively spreading Catholicism in Asia for many years now, but they have encountered considerable persecution at the hands of Asian authorities. In Dai Nam, the execution of several missionaries has prompted the society to ask the French government for diplomatic intervention. This has gone nowhere, leaving us with little choice but to consider armed intervention.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME37230;The Kingdom of Pomare;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37230;The island of Tahiti in the Pacific Ocean, ruled by the primitive Queen Pomare IV," expelled two French catholic priests several years ago. Admiral Abel Aubert Dupetit-Thouars was dispatched to get reparations for the deed, but then proceeded-- without authorization-- to gain a request from the Queen's chiefs to request a protectorate", a treaty to which he then demanded the Queen acquiesce. We can approve the treaty, gaining use of Tahiti as a staging ground in the Pacific, but it may cause friction with the British Empire considering British colonists are also on the island.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME37710;Carlism Prevails;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37710;A new line of the Bourbon family has been established on the Spanish throne, descending from the Infante Carlos. To many traditionalists, this signals a rebirth of the true Spanish Empire. Others are not so optimistic.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37711;The First Carlist War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37711;The death of King Ferdinand in 1833 and the ascension of young Isabela (only three years old at the time) to the throne of Spain sparked a revolt by supporters of the King's brother, the Infante Carlos. He intends to depose Isabela and establish a separate branch of the Bourbon family, as well as restore the Spanish Empire to its traditional glory-- something liberals say simply cannot be done.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37712;The Carlists Defeated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37712;The Carlists have been routed and peace has been restored to Spain-- for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME37713;Return of the Carlists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37713;We thought the supporters of the Infante Carlos and his descendants had been completely routed, yet once again there are reports of a cell having been established in one of our provinces. Supporters of the current pretender are busy drumming up recruits and calling for the overthrow of the Spanish government. Rooting them out will not be easy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME37714;Carlist Sympathies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37714;It seems that sympathies for the Carlists among the locals in $PROVINCENAME$ have been increasing. Reports have it that another rebel cell has been established, and that a campaign of resistance against Spanish authorities has begun.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME37715;Carlist Cell Discovered!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37715;The Carlist cell in $PROVINCENAME$ has been found! After a battle with authorities, the majority of the rebels have been either captured or executed. We have found good information in their base, including the names of many of their supporters throughout $PROVINCENAME$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37716;The Christinos Prevail!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37716;The capital has been overrun, the pretender king driven into the provinces, and the original royal line descending from Ferdinand VII has been restored to the Spanish throne. Many liberals are breathing a sigh of relief, but reactionaries are furious. Already supporters of the pretender are seeking new allies in the countryside.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME37717;Rise of the Christinos;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37717;The supporters of the former royal line still exist, and we have begun to receive reports of a Christino cell having been established in one of our provinces. They are gaining a great deal of support among liberals in the province with their calls for an overthrow of the 'pretender' on the throne. The cell is well-hidden, and rooting them out will not be easy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37718;Christino Sympathies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37718;It seems that sympathies for the Christinos among the locals in $PROVINCENAME$ have been increasing. Reports have it that another rebel cell has been established, and that a campaign of resistance against Spanish authorities has begun.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME37719;Christino Cell Discovered!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37719;The Christino cell in $PROVINCENAME$ has been found! After a battle with authorities, the majority of the rebels have been either captured or executed. We have found good information in their base, including the names of many of their supporters throughout $PROVINCENAME$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37720;The Glorious Revolution;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37720;The death of Leopoldo O'Donnell has eroded Queen Isabella's support, to the point where a movement to overthrow her has rapidly developed. A mutiny by naval officers in Cadiz has provided the spark for a widespread revolt against Isabella's rule. Her chief minister and generals have deserted her, and Isabella was forced to flee into exile. For the moment, Spain stands without a ruler, and the provisional government argues over what its next step should be. Some favor abandoning the monarchy altogether, but most feel a new king should be selected. Isabella's heir, Prince Alfonso, is thought by many to be too much under her influence. Other choices are the moderate Prince Leopold of Hohenzollern and the liberal Prince Amadeo of Savoy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTNAME37721;The Spanish Succession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37721;With Queen Isabella II having been deposed by a revolt, the Spanish provisional government has been busy seeking a new monarch to assume the throne... and among the candidates considered was Prince Leopold of Hohenzollern. Our government objected strongly to the move, as this would spread Prussian influence to our southern border, and while this did convince Prince Leopold to turn down the throne it has not endeared us to the Prussians.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME37722;King Leopold of Spain;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37722;With Queen Isabella II having been deposed by a revolt, the Spanish provisional government has been busy seeking a new monarch... and the candidate they have chosen is none other than Prince Leopold of Hohenzollern. A German prince on the Spanish throne is a direct threat to our nation's security. We must do something about this immediately!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME37725;King Leopold Assassinated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37725;The Hohenzollern king of Spain, controversial since his ascension to the throne and constantly balked in the royal courts by moarchists advocating a return to the Bourbon line, was shot dead in his carriage shortly after arriving in Madrid following a country outing. The country is left in chaos and once again without a monarch on the throne.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37730;The Abdication of Amadeo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37730;King Amadeo, controversial since his ascension and constantly balked in the royal courts by moarchists advocating a return to the Bourbon line, has angrily declared Spain to be 'ungovernable' after the Hidalgo Affair forced him into conflict with the nation's military and has abdicated the throne. The country is left in chaos and once again without a monarch.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37735;A Return to Bourbon Rule;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37735;The Spanish Republic has been contentious since its inception. After a series of failed governments, many Spaniards have come to favor a return to the stability of Bourbon rule. In a coup led by Brigadier General Martinez Campos, the Republican army has declared its alliegiance to Prince Alfonso-- son of the exiled Queen Isabella II-- and named him King of Spain.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37740;The Treaty of Paris, $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC37740;We are losing the war with $FROMCOUNTRY$, and it's only a matter of time before we're forced to submit to a humiliating defeat. The $FROMCOUNTRY_ADJ$ government has made it clear it considers our colonial holdings to be beyond our ability to control, and is willing to purchase them for a 'fair' price. Failure to submit to their demands will mean the war dragging on to its inevitable conclusion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME37741;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37741;$FROMCOUNTRY$ has signed the Treaty of Paris. Their colonial holdings are ours, for a price.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME37742;$FROMCOUNTRY$ Has Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37742;$FROMCOUNTRY$ has refused to sign the Treaty of Paris. The war continues!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME37743;Carlist Propaganda;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37743;The Carlists have been spreading their propaganda into neighboring $PROVINCENAME$, and reports have it that their lies are finding a ready audience among the locals. We can put a stop to their efforts, though not without being rather indiscriminate in our arrests and reprisals among $PROVINCENAME$'s poor. Still, radical measures may be called for in order to stop the Carlists from gaining headway here.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME37744;Christino Propaganda;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37744;The Christinos have been spreading their propaganda into neighboring $PROVINCENAME$, and reports have it that their lies are finding a ready audience among the locals. We can put a stop to their efforts, though not without being rather indiscriminate in our arrests and reprisals among $PROVINCENAME$'s poor. Still, radical measures may be called for in order to stop the Christinos from gaining headway here.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME37745;Moroccan Border Dispute;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37745;A heated dispute has arisen between the Moroccans and our government over the boundaries of our holdings in Melilla. Some believe the Moroccans are attempting to gain sympathy from the French, but we have it on good authority that there will be no aid coming for them. Now may be the time for us to exert some of our authority over this African upstart.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC37750;We have lost the war with the Americans,and Cuba has been wrested from our grasp. The American government has approached us intent on a treaty, suggesting we no longer have the power to hold onto our Pacific and North American colonies. They seek to offer us a 'reasonable' price for them. Some in the $COUNTRY_ADJ$ govrnment fear that, if we do not agree, it could mean further wars with the Americans for years to come.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME37751;We Have Lost The War;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC37751;As impossible as it seems, we have lost the war against the Spanish. They retain their hold over Cuba and their other colonies. The American people are understandably shaken, but it seems their jingoistic fervor has only increased. A streak of anti-colonialism has arisen throughout the country, specifically targeting the powers of 'Old Europe'. Newspapers are demanding we gear up to liberate these colonies once and for all. If we agree, some fear this may be a tiger we cannot again cage.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME38505;Death of the Sultan;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC38505;The death of Sa'id bin Sultan Al-Busaid has left him with two sons, each of which has claimed Oman as their own to rule. The result of this struggle has brought in foreign mediation, with the resulting decree that the nation will be split into two sultanates: one in Zanzibar and one in Muscat, each ruled by one of Al-Basaid's sons.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME44122;Webster–Ashburton Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44122;We have concluded a treaty with $FROMCOUNTRY$, resolving several long-standing border disputes between our nations. In particular, the treaty has clearly established the border between Maine and the British colony of New Brunswick.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44125;The Western Territories;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44125;Mexico is not properly utilizing the lands between ours and the Pacific. It is our destiny to bring American rule and prosperity to all of North America, and our responsibility to take these lands from Mexico so they may flourish. To avoid further war with Mexico, we should approach their government and see if they will consider selling these lands to us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44126;$FROMCOUNTRY$ Demands Northwest Territories!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44126;The American ambassador has informed us that it would be in our best interests to sell the lands north of the Rio Grande to the United States. The amount they offer is considerable, and the northwest territories are of limited value to us, but it is almost an insult that they would think us so eager to give up our rightful territory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44127;Mexico Has Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44127;The Mexicans have refused our generous offer. Our only recourse is force of arms.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME44140;The Northern Alaska Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44140;$FROMCOUNTRY$ has approached the $COUNTRY_ADJ$ government to inquire about the possibility of purchasing our territory in northern Alaska. The land is not valuable, and since previous $FROMCOUNTRY_ADJ$ claims to the area will no doubt only lead to conflict, we should perhaps consider the sale.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44141;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44141;$FROMCOUNTRY$ has refused to sell the Alaskan territory. Considering that the $COUNTRY_ADJ$ people already consider the territory rightfully ours, many are calling for war to reclaim the land.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME44142;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44142;The Alaskan territory is ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME44145;The Hawaiian Islands Purchase;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44145;$FROMCOUNTRY$ has approached the $COUNTRY_ADJ$ government to inquire about the possibility of purchasing our Pacific Island territories near Hawaii. The land is not valuable, and previous $FROMCOUNTRY_ADJ$ claims to the area will no doubt only lead to conflict. We should perhaps consider the sale.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC44146;$FROMCOUNTRY$ has refused to sell the Hawaiian Islands territory. Considering the $COUNTRY_ADJ$ people already consider the territory rightfully ours, many are calling for war to reclaim the land.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC44147;The Hawaiian Islands are ours!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME44150;54-40 or Fight!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC44150;As American and British settlers begin to move to the west coast of North America, there has been a growing dispute as to who owns the Oregon Country. The entire region west of the Rockies (called Columbia by the British) has been explored by both countries and there are legitimate claims on either side. The British claim all the way south to the 42nd Parallel and the Americans north to the 54th Parallel. It's clearly a tense situation, and the specter of war with the British looms as politicians in the current election campaign are banging the drums of Manifest Destiny in order to gain support.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME44151;The Columbia District;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
