associationism;Thermodynamics;;
;;;Owens Glasblasautomat
;;;Mechanization of the act of glassblowing itself increased the output of the glassware industry tremendously.
;;;Drehrohröfen
;;;The rotary kiln allowed for cement to be heated with higher thermal efficiency than before, while simultaneously being mixed, with continuous feeding of raw material and removal of final cement. Its introduction increased both the quality and quantity of cement produced.
;;;Portland Zement
;;;By using calcium sulphate as the reactive ingredient, Portland cement yielded concrete that was both stronger and faster to settle than earlier formulas.
;;;Rauchfreier Sprengstoff
;;;Smokeless powder is gunpowder that combusts almost completely, leaving neither ash to foul the barrel nor smoke to impair vision on the battlefield. Not having to clean the barrel between shots greatly increases potential rates of fire.
;;;Kraft-Prozess
;;;The Kraft process is a chemical process using sodium hydroxide and sulfide to break down wood into pulp. Contrary to earlier processes, it allows for most of the pulping chemicals to be recovered afterwards. Simply put, our paper industry has developed a way to have its cake and eat it too!
;;;Aspirin
;;;Relatively cheap and easy to produce industrially, aspirin was one of the first mass-produced pharmaceutical products.
;;;Geräuscharme Signalübertragung
;;;Electromagnetic shielding, twisted pairs, differential transmission, and other methods of noise reduction can be used to allow for signal transmission over longer distances, and for more precise functionality in electric systems.
;;;Katalytisches Cracken
;;;Cracking is the breaking of large hydrocarbons into smaller parts. It allows for heavy, thick, ungainly oils to be turned into more fluid ones, improving the quality of refined fuel.
;;;Vakuumröhren
;;;A vacuum tube is a device where thermal emission is used to cause a controllable current. Different kinds of vacuum tubes can, in a fairly rudimentary way, fulfil the function of a diode or a transistor, allowing for actual electronics for the first time.
