Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;
HAS_GOODS;produces ;;;;;;;;;;;;;
shinto;Shinto;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
HAS_SIEGE;Under Siege;;;;;;;;;;;;;
regular;Regular;;;;;;;;;;;;;
regular_short;Reg;;;;;;;;;;;;;
horse_artillery;Mobile Artillery;;;;;;;;;;;;;
horse_artillery_short;M-art;;;;;;;;;;;;;
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;
active_p;Active;Actif;Aktiv;;;;;;;;;;;
au_fait;Au'fait;Au fait;Sicher;;;;;;;;;;;
apathetic;Apathetic;;;;;;;;;;;;;
audacious;Audacious;Audacieux;Kühn;;;;;;;;;;;
able;Able;Capable;Fähig;;;;;;;;;;;
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;
population_trend;Population Growth Trend;;;;;;;;;;;;;
population_trend_desc;Our nation has recently experienced a change in our population growth. It will likely remain stable for some time to come.;;;;;;;;;;;;;
point_five_children;Growth Rate: 0.5 Children;;;;;;;;;;;;;
point_five_children_desc;Our nation's growth rate is abysmal-- roughly equivalent to one child for every four healthy adults.;;;;;;;;;;;;;
one_child;Growth Rate: 1 Child;;;;;;;;;;;;;
one_child_desc;Our nation's growth rate is very low-- roughly equivalent to one child for every two healthy adults.;;;;;;;;;;;;;
one_point_five_children;Growth Rate: 1.5 Children;;;;;;;;;;;;;
one_point_five_children_desc;Our nation's growth rate is low-- roughly equivalent to three children for every four healthy adults.;;;;;;;;;;;;;
two_children;Growth Rate: 2 Children;;;;;;;;;;;;;
two_children_desc;Our nation's growth rate is stable-- roughly equivalent to two children for every two healthy adults.;;;;;;;;;;;;;
two_point_five_children;Growth Rate: 2.5 Children;;;;;;;;;;;;;
two_point_five_children_desc;Our nation's growth rate is above average-- roughly equivalent to five children for every four healthy adults.;;;;;;;;;;;;;
three_children;Growth Rate: 3 Children;;;;;;;;;;;;;
three_children_desc;Our nation's growth rate is high-- roughly equivalent to three children for every two healthy adults.;;;;;;;;;;;;;
four_children;Growth Rate: 4 Children;;;;;;;;;;;;;
four_children_desc;Our nation's growth rate is very high-- roughly equivalent to four children for every two healthy adults.;;;;;;;;;;;;;
bleeding;Bleeding State;;;;;;;;;;;;;
bleeding_desc;Caught between the forces of abolitionism and those supporting slavery, this state is in the throes of violence as the locals attempt to sway the entire populace one way or the other.;;;;;;;;;;;;;
submarine;Submarine;;;;;;;;;;;;;
###Slavery###;;;;;;;;;;;;;;x,,,,,,,,
slavepopupdated;Slaves population significant changes.;;;;;;;;;;;;;;x,,,,,,,,
slavepopupdated_desc; ;;;;;;;;;;;;;;x,,,,,,,,
southern_plantations;Southern Plantations;;;;;;;;;;;;;
reactionary_stronghold;Reactionary Stronghold;;;;;;;;;;;;;
conservative_stronghold;Conservative Stronghold;;;;;;;;;;;;;
liberal_stronghold;Liberal Stronghold;;;;;;;;;;;;;
anarcho_liberal_stronghold;Anarcho Liberal Stronghold;;;;;;;;;;;;;
socialist_stronghold;Socialist Stronghold;;;;;;;;;;;;;
communist_stronghold;Communist Stronghold;;;;;;;;;;;;;
fascist_stronghold;Fascist Stronghold;;;;;;;;;;;;;
EVTNAME500010;Minor growth in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500010;\n§YThe slave population in our country has experienced a minor growth.§W;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500011;Significant growth in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500011;\n§YThe slave population in our country has experienced a significant growth.§W;;;;;;;;;;;;;;x,,,,,,,,
EVTNAME500012;Decline in Slave population;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC500012;\n§YThe slave population in our country has recently experienced a decline.§W;;;;;;;;;;;;;;x,,,,,,,,
EVTDESC880010;A group of $COUNTRY_ADJ$ aristrocrats has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of reactionary thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880011;Reactionary Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880011;$PROVINCENAME$, once a bastion of reactionary support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the reactionaries is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880012;Reactionaries in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880012;A group of $COUNTRY_ADJ$ aristrocrats has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of reactionary thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880020;Conservatives in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880020;A group of $COUNTRY$'s wealthy elite has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of conservative thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880021;Conservative Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880021;$PROVINCENAME$, once a bastion of conservative support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the conservatives is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880022;Conservatives in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880022;A group of $COUNTRY$'s wealthy elite has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of conservative thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880030;Liberals in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880030;A group of $COUNTRY_ADJ$ agitators has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of liberal thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880031;Liberal Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880031;$PROVINCENAME$, once a bastion of liberal support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the liberals is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880032;Liberals in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880032;A group of $COUNTRY_ADJ$ agitators has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of liberal thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880040;Radicals in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880040;A group of $COUNTRY$'s intellectual elite has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of radical thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880041;Radicals Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880041;$PROVINCENAME$, once considered a bastion of radical support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the radicals is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880042;Radicals in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880042;A group of $COUNTRY$'s intellectual elite has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of radical thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880050;Socialists in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880050;A group of $COUNTRY_ADJ$ workers has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of socialist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880051;Socialist Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880051;$PROVINCENAME$, once considered a bastion of socialist support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the socialists is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880052;Socialists in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880052;A group of $COUNTRY_ADJ$ workers has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of socialist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880060;Communists in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880060;A group of $COUNTRY_ADJ$ marxists has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of communist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880061;Communist Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880061;$PROVINCENAME$, once considered a bastion of communist support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the communists is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880062;Communists in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880062;A group of $COUNTRY_ADJ$ marxists has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of communist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880070;Fascists in $STATENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880070;A group of $COUNTRY_ADJ$ nationalists has gathered support in $PROVINCENAME$, quickly turning all of $STATENAME$ into a stronghold of fascist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $STATENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880071;Fascist Support Wanes;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880071;$PROVINCENAME$, once considered a bastion of fascist support, has seen a shift in its ideology. Indeed, all throughout $STATENAME$ it seems that support for the fascists is crumbling. While some consider this a good thing, others in the $COUNTRY_ADJ$ government are concerned at what will next rise to take their place.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME880072;Fascists in $PROVINCENAME$;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC880072;A group of $COUNTRY_ADJ$ nationalists has gathered support in $PROVINCENAME$, quickly turning it into a stronghold of fascist thinking-- one that may endure for some time to come. It is almost certain that, should $COUNTRY_ADJ$ policies turn to something not of their liking, $PROVINCENAME$ will be one of the first regions where we see trouble begin.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
