end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
ten_days_campaign_title;A Campaign against Belgium;;;;;;;;;;;;;
ten_days_campaign_desc;We are creeping further and further toward losing the Southern Provinces due to the increasingly widespread revolution. The revolutionaries have even coronated their first king, making their nationhood already apparent and their independence seemingly inevitable. This nation-building must halt. We will need to commit as many troops as possible to destroying the revolution. This is all-out war.;;;;;;;;;;;;;
OHWELLDUTCHNVASION;The Dutch have crossed into Antwerp province, ready to engage our forces and crush our noble revolution. As of now, they are advancing into the forests around Ravels, and Zondereigen has been taken at the cost of 400 Belgian troops being repelled. These troops are clearly better trained and equipped than our own, and their leadership includes the Prince of Orange himself, eager to see his kingdom's reunification through by any means. We must not resign to possible defeat. Our future lies in our own hands, not the House of Orange's.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONFRA;The separatist Kingdom of Belgium requests our support in fighting off the Dutch for independence. Helping them is tempting, as it weakens the Netherlands and allows us to possibly place a new country on our border under our thumbs. Our people will also doubtlessly sympathize with Belgium's Walloons, who speak a Gallo-Romance dialect similar to French and were made our subjects during Napoleon I's rule.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONET;The rebels now have French backing. Should we continue our counterrevolution, we will need to contend with possible war with France, which would mean digging a hole for ourselves we may not be able to climb out of. Yet our dream of the Low Countries' unification still burns in our hearts. Is it worth surrendering that righteous dream now?;;;;;;;;;;;;
OHWELLDUTCHNVASIONREPLY;The French have accepted our plea for support! We shall charge together at the Dutch menace, humming La Marseillaise as we fire every round in the name of our liberation.;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGO;The dastardly Dutch would rather flee than face us alongside the French on the battlefield. They have retreated from Belgium and all but surrendered our land to its inevitable liberation!;;;;;;;;;;;;;
OHWELLDUTCHNVASIONLESGOO;The Dutch would rather flee than face us on the battlefield. They have retreated from Belgium and all but surrendered her Southern Provinces to their liberation.;;;;;;;;;;;;;
SAM_prov_gov_liberal;Military-Political System of Samos;;;;;;;;;;;;;
samoa_imean_samos_title;Impose Tributary Status on Samos;;;;;;;;;;;;;
samoa_imean_samos_desc;Samos, an archipelago of culturally Greek islands just off the Turkish side of Ionia, did not join Greece after the 1821 revolt, despite having fought against our invasions of the islands. Instead, Samian rebel leader Lykourgos Logothetis declared Samos an independent state that nonetheless would not accept Ottoman suzerainty. Well, words are meaningless if they cannot be backed up on the battlefield.;;;;;;;;;;;;;
GRE_prov_gov_liberal;Hellenic State;;;;;;;;;;;;;
the_cauca_war_title;The Cauca War;;;;;;;;;;;;;
the_cauca_war_desc;The newly-independent state of Ecuador under conservative president Gabriel Garc a Moreno has become socially unstable. This combined with unsettled border disputes can provide a pretext for military action in the country, in hopes of gaining valuable territories for reuniting the old borders of Gran Colombia.;;;;;;;;;;;;;
pasto_treaty_title;The Treaty of Pasto;;;;;;;;;;;;;
pasto_treaty_desc;Our invasion of Cauca can now end with the signing of a treaty. We shall negotiate the acknowledgement of a border between Colombia and Ecuador along the Carchi River, with the province of Pasto annexed into our territory. With this being our final agreed-upon borders after the dissolution of Gran Colombia, we will no longer have any hostilities with each other and can begin meaningful diplomatic relations.;;;;;;;;;;;;
DAINVASIONTOTHECAUCA;Troops from $FROM$ have crossed into the Valley of Cauca, presumably looking to start a fight over our disputed northern border. It is no secret that the New Granadans wish to reunite Gran Colombia, whose ashes we emerged from as a free nation. We must prepare our military to respond decisively and turn the tides of this new war.;;;;;;;;;;;;;
LONDONPROTOCOL;The Western great powers have convened to recognize the independence of Greece and organize it in their image as a European-style monarchy. They have agreed that Greece's borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state friendly to Western Europe's interests in the Mediterranean. However, we will still keep a large majority of ethnically Greek lands, including Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLYESGRE;The Ottoman Empire has agreed to the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. Both the Ottomans and the West agree that our borders shall span from the Cyclades to just below Thessaly, creating a small but regionally significant state that will provide a buffer to Ottoman expansion. However, the Ottomans will still keep a large majority of ethnically Greek lands, including Thessaly, Epirus, Macedonia, and Thrace, while Egypt will be ceded Crete for helping suppress the revolt there. As for the monarch, the western powers are eyeing Prince Otto of Bavaria as the new King of the Greeks.;;;;;;;;;;;;;
LONDONPROTOCOLNOGRE;The Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize our independence and organize our nation into a monarchy. We had hoped to win our independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now our fight has become all the more dire. The revolution must not die!;;;;;;;;;;;;;
LONDONPROTOCOLNOGPS;The Ottoman Empire has rejected the terms of the London Protocol, a pact between the UK, Russia, and France to recognize Greece's independence and organize it into a monarchy. The Greeks had hoped to win their independence by any means, and would have readily accepted the terms despite their generosity to the Ottomans--but now their fight has become all the more dire. As a signatory of the London Protocol, it is our duty to save Greece.;;;;;;;;;;;;;;;;;;;;;;;;;;
LONDONPROTONOGPSTUR;Greece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies in their futile struggle.;;;;;;;;;;;;;
LONDONPROTOYESBUTNOGPS;Greece has rejected the terms of the London Protocol, insisting there is far more land that must be liberated. Foolishly turning their backs on the European great powers willing to sponsor their independence, they have diplomatically isolated themselves, leaving them no worthwhile allies.;;;;;;;;;;;;;
KUNMINGQUAKE;An earthquake has struck Kunming, Yunnan, bringing catastrophic damage to the provincial capital. 48,888 houses collapsed, while many bridges and temples were reduced to rubble. 6,700 people are confirmed to have been killed.;;;;;;;;;;;;;
spanish_inquisition_title;End the Spanish Inquisition;;;;;;;;;;;;;
spanish_inquisition_desc; GLose 1 infamy ! The Tribune of the Holy Office of the Inquisition, commonly called the Spanish Inquisition, is the police force responsible for enforcing strict observance of Catholicism in the Spanish Empire. Established at the end of the Reconquista, it oversaw the mass conversion and expulsion of Jews and Muslims from Spain, and since then it has been responsible for enforcing the consolidation of the Spanish crown's rule by ensuring Catholicism unites its disparate subjects. But the Inquisition is not what it used to be. It was temporarily abolished under Joseph Bonaparte's reign and was reinstated by Ferdinand VII in 1814. Liberalism continues to weaken the Inquisition's strength to eradicate Christian heteroodoxy. The organization has been reduced to a censorship committee, rarely overseeing prosecutions anymore. Perhaps it is time to disband the Inquisition and bury its legacy in the sand dunes of history.;;;;;;;;;;;;;
BATTLEOFPESHAWAR;Sudden as a lightning strike, Ranjit Singh has conquered Peshawar and made it part of his Sikh Empire. The defenders, separated from our other forces by the Khyber Pass which was blocked by snow, were hard-pressed to ward the attackers off. Though they fought valiantly, due to the lack of reinforcements they were overwhelmed by the Sikh horde and Peshawar quickly fell.;;;;;;;;;;;;;
seize_peshawar_title;Seize Peshawar;;;;;;;;;;;;;
seize_peshawar_desc;Peshawar has been a part of our nemesis, the Barakzai Emirate, since the fall of the Durrani Empire. It is regarded as the breadbasket of Afghanistan, one of the few fertile regions that are key to the Afghan food supply. It would be easy to conquer due to its relative separation from the rest of Afghanistan: The only way to get from Kabul to Peshawar is via the Khyber Pass which is blocked by snow in Winter. Thus, the defenders would easily be overwhelmed before reinforcements could arrive. It is, however, possible that an Afghan force will arrive over the pass after Peshawar is in our hands to recapture it.;;;;;;;;;;;;;
july_ordinances_title;The July Ordinances;;;;;;;;;;;;;
july_ordinances_desc;Liberalism is a scourge upon the monarchy. It must be put down through a heavy-handed approach to ruling France's subjects, lest we fail to save the French people from their naive ideas of how they wish to be governed. Chief Minister Jules Armand de Polignac, an ultraroyalist who has long been targeted by the liberals, proposes a set of royal ordinances meant to reign France in: they include limitation of press freedom, a newly appointed set of reactionary Councillors of State, the dissolution of the Chamber of Deputies, and the exclusion of the middle class from future elections.;;;;;;;;;;;;;
SEIZUREOFLENATIONAL;In response to the July Ordinances' restrictions on press freedom, staff writers at the liberal newspaper Le National published a petition demanding restoration of their rights. Agents of the prince de Polignac then promptly raided the journal's offices. Le National originated as a liberal mouthpiece in light of de Polignac's rise to power, patronized by liberal officials such as the prince of Talleyrand and the duke of Broglie. The paper's existence proves a thorn in the state's backside. We maintain that the government acted fully in its authority.;;;;;;;;;;;;;
JULYREVOLUTION;The Bourbon monarchy is no longer in France as of today. After the surge of reactionary behavior under Chief Minister de Polignac--who was narrowly re-elected after having been voted out in a motion of no confidence--the French people were ignited to relaunch a revolution in the spirit of the first. De Polignac foolishly attempted to singlehandedly alter France's constitution by passing the draconian July Ordinances, attempting to create a newly authoritarian monarchy. Rioting and looting has dragged on for three days, until the people finally captured the H tel de Ville in Paris and declared a provisional government, after wholly defeating the last of the royalists' forces. A new monarchy is expected to emerge with Louis Philippe of Orl ans, a former Republican general, as king.;;;;;;;;;;;;;
LOUISPHILLIPETROLLS;France's new king has taken the throne: Louis Philippe of Orl ans. As duke of Chartres and a former general of the Revolutionary Wars, he served with distinction but later broke with the revolutionaries after they decided to kill King Louis XVI. He later exiled himself to Switzerland in 1793 after it was discovered he was conspiring to restore the monarchy. \n\nCharles X had named Louis Philippe his lieutenant general, though he not-so-secretly held ambitions to succeed Charles as king. Already popular among the masses, the Chamber of Deputies has appointed Louis Philippe I as the first in the Orl ans dynasty--hopefully marking a return to the center-right policies of Napoleon.;;;;;;;;;;;;;
ADDRESSOFTHETWOTWOONE;'Sire, it is with deep gratitude that your loyal subjects and the deputies of the departments, together around your throne, heard from your prestigious mouth the flattering testimony to the confidence that you granted them. [...] However, Sire, in the midst of the unanimous feelings of respect and affection with which your people surround you, there is manifested in people's minds a deep anxiety which disturbs the security which France had begun to enjoy, alters the sources of its prosperity, and could, if it were prolonged, become disastrous to his rest.'\nPresident of parliament Royer-Collard opened its new session with an address to Charles X approved by a 221 deputies, the liberal majority. This address demands that Chief Minister Polignac resign and that future ministers pledge to act in accordance with the wishes of Parliament.;;;;;;;;;;;;;
JUNEREBELLION;Fighting has broken out between the National Guard and republican rebels, who have conspired to overthrow the July Monarchy. After the funeral of former army commander and anti-monarchist Jean Maximilien Lamarque, riots emerged as citizens sympathetic to his beliefs attempted to make their opinions against the government heard. Attacks against our forces were swift and well-organized, carried out by secret societies such as the infamous Society of the Rights of Men, whose members stockpile weapons as if building an army. Their fighters were reinforced by disaffected Parisien youth and refugees from Germany, Poland, and Italy, each of whom were being pursued by their respective governments for participating in republican activism.;;;;;;;;;;;;;
PROVINCEUNITEITALIANE;Ever since the July Revolution in France, pro-unification rebellions in Italy have spread across each of the peninsula's domains--leaving us to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if we will have to intervene to crush that dream.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEITS;Ever since the July Revolution in France, pro-unification rebellions in Italy have spread across each of our peninsula's domains--leaving Austria to clean up the mess. With support from the militarized secret society known as the Carboneria, Italy is on the cusp of chaos. It remains to be seen whether or not Italy is destined to be unified--and if Austria will have a hand in that dream's crushing.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEWAR;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. Austrian troops will need to mobilize immediately to quell this uprising, lest Italy become more than just a geographic term and threaten Europe's power balance.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEOK;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nBut Austria and the states in its sphere of influence on the peninsula cannot allow this to go unchallenged. They are coming--and will destroy the new state without hesitation in the name of preserving the Concert of Europe.;;;;;;;;;;;;;
PROVINCEUNITEITALIANEWARFU;It is baffling that it has taken this long for the Italian states to finally unite under a provisional government. Now, the time has come. Following the popular uprising in Bologna, the Italian United Provinces have been declared, comprising Parma, Modena, Romagna, Perugia and Ancona. \n\nAustria has let events take their course, not intervening to prevent Italy from uniting. Modena, Tuscany and the Papal States will have to fight the uprising on their own to preserve their rule.;;;;;;;;;;;;;
VENDEEETCHOUANNERIE;Legitimist sentiment is rising in the departement of the Vend e, within Brittany. Legitimists pledge allegiance to the House of Orl ans as the rightful heir to the monarchy, and are willing to attack French forces to see the installment of an Orl ans dynasty through. Charles X, who was exiled to Scotland following the July Revolution, has given up on reclaiming the throne. It has thus been concluded that his daughter-in-law, Marie-Caroline de Bourbon-Siciles, must be orchestrating the unrest, for she has been promoting her young son Henri's claim to the throne.;;;;;;;;;;;;;
VENDEEETCHOUANNERIESTARTS;The struggle against the Legitimist rebels in the Vend e has escalated to open combat. Troops must now rally to engage the rabble! Legitimist generals like Louis de Bourmont and Charles de Beaumont d'Autichamp who left France when king Louis Philippe took the throne have returned to spearhead the revolt. But however good its generals may be, the rebellion is comprised of the very conservative rural populace of the region who have little to no experience in combat. Additionally, the rebels lack guns and ammunition which they had hoped to get in the form of foreign support of which there is none forthcoming. \n RNOTE: Merge the armies that spawn after this event! W;;;;;;;;;;;;;
VENDEEETCHOUANNERIEBOR;The Legitimist revolution is a success. France now has a new king: Henri of Orl ans, former Duke of Chambourd. Henri was not in the line of succession for the throne under the current Bourbon dynasty, though his mother, Marie-Caroline, Duchess of Berry, resented his exclusion. This is because Henri's birth to his two members of the Bourbon-Two Sicilies house created a perfect line of descendence from King Louis XVI, the first French Bourbon monarch. Thus, Marie-Caroline considers Henri the rightful king and herself regent. She collaborated with Legitimist militants to install her son--and the results now speak for themselves.;;;;;;;;;;;;;
VENDEEETCHOUANNERIEFRA;The Duchess of Berry has been connected to the now-defeated Legitimist insurrection in the Vend e. Having resented her son Henri's not being in the line of succession on the French throne, she collaborated with militants to see Henri installed. Her resentment is driven by how Henri is directly descended from King Louis XVI, and also has a mother from his same royal house. Because of this, some legitimists see Henri as the rightful king, after the abdications of Charles X and Louis Antoine. \n\nThe Duchess was arrested today and will remain incarcerated for the foreseeable future.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_FRA_BOR;The War in the Vend e and Chouannerie of 1832;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_FRA_BOR;The War in the Vend e and Chouannerie of 1832;;;;;;;;;;;;;
webley_n_scott_title;Webley & Scott;;;;;;;;;;;;;
webley_n_scott_desc;The Webley company was founded in the late 18th century by William Davies, who made bullet moulds. It has now been taken over by his son-in-law, Philip Webley, who has begun producing percussion sporting guns. With this specialisation in handgun manufacturing, Webley and Scott has the potential to become a major supplier of firearms to our armed forces.;;;;;;;;;;;;;
malones;Malones;;;;;;;;;;;;
malones_desc;The Malones are raids carried out by Mapuche warriors, who raid frontier settlements on horseback to obtain horses, cattle, provisions, and captives, often young women.;;;;;;;;;;;;
desert_campaign_malones_title;The Desert Campaign;;;;;;;;;;;;;
desert_campaign_malones_desc;Under the military command of our former national leader, Juan Manuel de Rosas, Argentina has finally taken the initiative to expand her borders into the desert in the southern Pampas and northern Patagonia. These lands are the homes of indigenous tribes such as the Mapuche and Ranqueles, whom we experience friction with due to frequent border raids on our territories by them. The campaign has several front lines, spanning from the Atlantic Ocean to the Andes. By its end, we will have subjugated the Indians and expanded our domain to allow immigrants to settle in its heretofore untamed frontiers.;;;;;;;;;;;;;
KAAHUMANU;Following the death of Kamehameha II during his visit to England, Queen Ka'ahumanu became the regent of Hawai i. The favorite wife of Kamehameha I, the founder of the kingdom, she wields a great amount of influence in the kingdom as she reigns over the minority of her stepson Kamehameha III. \nA devout Christian ever since her conversion in 1824, she has been notable for stamping out pagan practices in the islands.;;;;;;;;;;;;
AGAINSTANIMISTS;Today, the Kuhina Nui has proposed an edict against a range of Hawaiian religious practices, including the worship of idols, the consumption of the intoxicating  awa plant, and the Hula dance. \nIn effect, she proposes to outlaw native Hawaiian religion entirely. Although well supported by the priests and ruling chiefs, this move would be despised by much of the peasantry and traditionalist elements of the islands...;;;;;;;;;;;;;
KAAHUMANUDIES;The Kuhina Nui, Ka ahumanu, has died at the age of sixty-four. Both feared and beloved in life, her regency passes now to her step-daughter and daughter-in-law Kina'u. Many Hawaiians sill aligning with their native beliefs have breathed a sigh of relief at this news.;;;;;;;;;;;;;
LADDANDCOMILL;European industrialists, spurred on by our openness to western investment, have built a sugar plantation on the island of Kauai. As the sandalwood trade declines, many see sugar and fruit production as the economic future of our kingdom.;;;;;;;;;;;;
LONDONCONFERENCESTARTS;France, Russia and the UK have finished a conference in London to definitively delineate our borders and establish a permanent government. Their decision was to move our border a bit further North to the so-called Arta-Volos line and to install a Catholic Bavarian prince by the name of Otto Friedrich Ludwig von Bayern. Another demand of the three guarantors is the final abolition of slavery in Greece. While this agreement would hand a significant amount of currently Ottoman land to us, having a German Catholic on our throne is almost unacceptable. However, if we refuse to abide by the conference's terms, our former guarantors may abandon us in the event of an Ottoman attack.;;;;;;;;;;;;;
LONDONCONFERENCE1832;France, Russia and the UK have finished a conference in London to establish a permanent government in Greece and definitively delineate its borders. Their decision was to move the border a bit further North to the so-called Arta-Volos line and install a Catholic Bavarian prince by the name of Otto Friedrich Ludwig von Bayern. This means that we would lose even more land to the Greeks than had previously already been agreed on in the convention of 1830. However, if we refuse to conform to the will of the three guarantors of Greek independence, they will surely support Greek expansion.;;;;;;;;;;;;;
LONDONCONFERENCENOGRE;The Ottomans have refused to turn over the land they were made to hand over per the London Conference, instead launching an invasion to end our independence. The great powers will surely aid us in the coming conflict.;;;;;;;;;;;;;
LONDONCONFERENCENOGPS;We and the other two great powers guaranteeing Greek independence held a conference in London to establish Greece's permanent government and definitively delineate its borders. In lieu of this, the three guarantors--Russia, France and the UK--decided to install Otto Friedrich Ludwig von Bayern as the Greek king and extend the border North to the so-called Volos-Arta line. This has, however, infuriated the Ottomans, who refuse to amend the more favorable border agreed on in 1830. They have begun a full-scale invasion of Greece, and it is our duty to protect it.;;;;;;;;;;;;;
LONDONCONFENOGPSTUR;The Greek government has refused to abide by the terms of the London Conference in which France, Russia and the UK, the three guarantors of Greek independence, agreed on Greece's final borders and form of government. The insistance on having a Bavarian catholic be installed on the Greek throne was simply unacceptable. However, by rejecting the terms of the powers that had had its back, Greece has foolishly lost its international protection. We can use this opportunity to declare war on them to put an end to Greek independence.;;;;;;;;;;;;;
LONDONCONFEYESBUTNOGPS;We and the other two great powers guaranteeing Greek independence held a conference in London to establish Greece's permanent government and definitively delineate its borders. In lieu of this, the three guarantors, Russia, France and the UK, decided to install Otto Friedrich Ludwig von Bayern as Greek king and to extend the border North to the so-called Volos-Arta line. This has, however, infuriated the Greeks, who refuse to have a catholic Bavarian be put on their throne. With the Greeks having refused to abide by our resolution, if the Ottomans were to attack them, we would have no basis to intervene.;;;;;;;;;;;;;
AGRESSION_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_RGA;The Capture of B ne;;;;;;;;;;;;;
NORMAL_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_RGA;The Capture of B ne;;;;;;;;;;;;;
AGRESSION_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
NORMAL_WAR_TREATY_PORT_CASUS_BELLI_NO_INFAMY_NAME_FRA_ABA;The Capture of Bougie;;;;;;;;;;;;;
bone_french_war_title;The Capture of B ne;;;;;;;;;;;;;
bone_french_war_desc;We suspect the Ottoman troops in the Algerian city of B ne are not equipped nor trained well enough to face our army. An ambush on the city's shores could possibly spell victory for us, should we strike swiftly enough and do plenty of reconnaissance beforehand to assist us.;;;;;;;;;;;;;
bougie_french_war_title;The Capture of Bougie;;;;;;;;;;;;;
bougie_french_war_desc;Our success in capturing B ne may well be repeated if we strike at Algeria again. This time, the city of Bougie would be our target. Our battle-hardened troops will surely bring the incompetent Berber troops to their knees in one fell swoop!;;;;;;;;;;;;;
BATTLEOFMACTA;Our troops have been shown the folly of getting too cocky in their battles. After fighting a hard yet inconclusive battle against Emir Adbulkader's troops, the French army retreated toward Arzeu to resupply, when they were ambushed in the marshes by the Macta River. The attacking Arab force managed to force our soldiers to retreat even further, undoing our territorial gains in this war. The military governor of our North African possessions, Comte d'Erlon, has been recalled for this embarassment.;;;;;;;;;;;;;
strasbork_railroad_usa_title;The Strasburg Rail Road;;;;;;;;;;;;;
strasbork_railroad_usa_desc;A railway charter is in order to provide commerce to the Pennsylvania Dutch Country, a rural area home to modestly-living German immigrants. The Strasburg Rail Road will offer a short line through the town of Strasburg, run on steam and diesel locomotives. Trade and industry will greatly benefit from the railway's construction.;;;;;;;;;;;;;
FERDINANDEAISLAND;A mysterious island never seen before has been discovered off the southwestern Sicilian coast. Its discovery was preceded by reports of significant earthquakes and a smell of sulfur pervading the Sicilian town of Sciacca--the following day the Italian brig Gustavo reported a bubbling from the sea that seemed connected enough to the strange occurrences. \n\nWithin a few days, the island had materialized, presumably after surfacing from the ocean. \n\nThis island certainly will be useful for connecting trade routes in the Mediterranean--highly valuable real estate.;;;;;;;;;;;;;
FERDINANDEAISLANDF;As cruel fortune would have it! In the heat of disputes over control of the enigmatic Ferdinandea Island between the UK, France, Sicily, Spain, and France, the island disappeared into the ocean. The island's surface was made of tephra, or soft volcanic material easily swept away by waves. Ferdinandea likely gave out due to wave activity, and its surface retreated below sea level.;;;;;;;;;;;;;
ecuador_const_1830_title;The Ecuadorian Constitution;;;;;;;;;;;;;
ecuador_const_1830_desc;The separation of the Districto del Sur from Gran Colombia birthed the new state of Ecuador. As a former province of that once large yet eventually ungovernable country, we lack a national identity--and a constitution. President Juan Jos  Flores has called a assembly to draft our future constitution to proclaim the State of Ecuador. With this said, our intention is to eventually rejoin a future confederated Colombia as one of its constitutent countries. Thus the constitution will contain no clause contradicting Colombia's constitution.;;;;;;;;;;;;;
ecuador_const_1835_title;The Ecuadorian Constitution of 1835;;;;;;;;;;;;;
ecuador_const_1835_desc;Juan Jos  Flores' authoritarian policies have left him unpopular with the public--so much so that rebellions favoring the ascension of Vicente Rocafuerte to the presidency have broken out, leaving Flores' hands tied. He was forced to agree to handing the presidency to Rocafuerte while appointing himself as chief military commander. This power vacuum leaves us in a constitutional crisis. Our instability makes aspirations to rejoin Colombia impossible, and we must solidify our identity as a sovereign nation. Ecuador shall be independent forever.;;;;;;;;;;;;;
NAPOLEONTHESECONDDIES;The fated heir to Nap leon I's empire passed away today of tuberculosis. \n\nBorn in 1811, Nap leon II had been named Prince Imperial per the French Empire's constitution and was proclaimed King of Rome by his overly proud father. He reigned over France for two weeks after his father's second abdication in 1815, aged only three. The backdrop of the Allies' capture of Paris made an anticlimactic end to his ascension--though he ruled from Austria the entire time while living with his mother. Later he was granted the title of Duke of Reichstadt and was appointed as a cadet in the Austrian army. His military career fascinated and caused apprehension among European leaders, who feared he may usurp the French throne later as an adult. Alas, this never came to be. He died in Vienna's Sch nbrunn Palace at 21.;;;;;;;;;;;;;;
AMERICANANTISLAVERYSOCIETY;Slavery's continued existence in the United States continues to face challenges from outspoken critics. The American Anti-Slavery Society, formed by abolitionist journalist William Lloyd Garrison, has grown out of these outcries and vows to do all it can for the abolitionist cause. They are officially pacifist, but its members have signed a pact to show their willingness to become martyrs if necessary. \n\nThe abolitionists know slavery's status quo is slowly crumbling. With the Supreme Court already having proclaimed states cannot nullify federal laws, it is only a matter of time until an abolitionist Congress or president gains power and nationally outlaws slavery. The Anti-Slavery Society wishes in the meantime to appeal to Americans' morals to convince them of slavery's atrocity and sinfulness.;;;;;;;;;;;;;
NEWZEALANDINDEPENDENCE;The Maori people of New Zealand have codified their nationhood in a documet titled "He Whakaputanga o te Rangatiratanga o Nu Tireni"--the New Zealand Declaration of Independence. Thirty-four chiefs drafted and signed the document, creating a "Confederation of United Tribes." They hope to solicit the British for protection against French claims to the island, while also doing away with extraterritoriality the British settlers on the island enjoy. \n\nThe Maori chiefs are thankful for the British crown's efforts to officialize their nationhood by desgining a national flag, allowing them to legally trade with ports in New South Wales and Norfolk Island. But they may be terribly naive as to how willing Britain is to respect the independence of a small island nation ripe for colonizing.;;;;;;;;;;;;;
SIXTHXHOSAWAR;Xhosa border conflicts rage on, with no end in sight, but today's raid on the Cape Colony by the chief Maqoma's army was particularly brutal. They swept across the British settlements along the Keiskamma River, pillaging homes, razing farmland, and killing all those who resisted. The Cape government must mount a swift retaliation if we are to put these raids to an end.;;;;;;;;;;;;;
ARG_prov_gov_conservative;The Unitarian League;;;;;;;;;;;;;
ARC_prov_gov_conservative;The Federal League;;;;;;;;;;;;;
BATTLEOFONCATIVO;La Plata is in an on-off civil war, with armies fighting for control of the virtually non-existent federal government. The conflict's two factions, one supporting unitarianism and the other federalism, clashed today in a battle in Oncativo, C rdoba Province. The Unitarian forces of General Jos  Mar a Paz pushed back the Federalist troops led by Facundo Quiroga, showing potential weakness for the Federalist forces led by Buenos Aires. The Federalists had attempted a march toward the Platine interior through C rdoba. With this foiled, the Unitarians may push into the coast--unless Federalist provincial governors unite in a coalition against them.;;;;;;;;;;;;;
UNITARIANLEAGUE;The general Jos  Mar a Paz has declared the formation of the Unitarian League, or the League of the Interior, comprising all the western interior provinces of La Plata. These provinces' leaders vow to restore the unitarian form of government previously held under Bernardino Rivadavia, our first president. After our war with Brazil, the office of the president was declared in an attempt to consolidate La Plata's constantly feuding provinces, each trying to maintain autonomy under their respective caudillos. Rivadavia's authority was firmly rejected by the other provinces. Our country has been run as a weakly-bound confederacy since then. \n\nIf the League of the Interior succeeds, La Plata will be transformed: we will truly begin to think of ourselves as a nation. Nevertheless, they are a threat. Their belligerance challenges the caudillos' authority--and they will defend their lands to the death.;;;;;;;;;;;;;;
FEDERALPACT;In response to the Unitarian League's formation, the governors of Buenos Aires, Entre R os, and Santa F  have convened to sign the Federal Pact, pledging commitment to preserving the country's federalism. The pact was proposed by the Buenos Aires governor, Juan Manuel de Rosas, a de facto dictator who has enforced his will through a private militia to maintain supremacy over all the other provinces. \n\nEach of the Pact's members enjoys free trade with each other and a pledge of military protection from other provinces' invasions. It goes to show that La Plata's legal status is so far removed from its reality: it is a collection of virtually independent provinces at each others' throats. But if through federalism is how we are destined to survive, so be it.;;;;;;;;;;;;;;
UNITARYLEAGUEWAR;Federalist General  ngel Pacheco has made his first move in an offensive against the Unitarians. His Buenos Aires division landed an ambush on Unitarian troops in the town of Fraile Muerto, in C rdoba province. His troops' tactical upper hand was further guaranteed by how the ambushed division, led by General Jos  Mar a Paz, contained many former Federalist troops who were captured by the Unitarians and forced to fight for their side. These troops then switched sides again and asisted Pacheco's army. Together they are marching through C rdoba, forcing a Unitarian retreat and spelling true peril for their cause.;;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_ARC_ARG;The Argentine Civil War;;;;;;;;;;;;;
PAZCAPTURED;The Unitarian cause is now lost. With us having captured the interior, it was only a matter of time before Jos  Mar a Paz would wander into our troops on a reconnaissance mission and be immediately captured. Paz was then delivered to General Estanislao L pez in Santa F , where he is now incarcerated.;;;;;;;;;;;;;;
UNITARIANISMREVIVED;Rivadavia's government is avenged! A Unitarian victory has ensured La Plata will be united again as a centralized state, headed by the president in Buenos Aires. With the country's revival also comes an interest in reclaiming the former territories of our days as a Spanish viceroyalty. The future is teeming with possibilities for La Plata!;;;;;;;;;;;;;;
occupy_falklands_title;Reoccupy the Falklands;;;;;;;;;;;;;
